S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Syngene Intl.,434.25,46.65,17529.33,0.29,147.90,-16.84,1036.50,1.82,10.12
2.,Indegene,523.00,30.39,12599.71,0.38,79.70,-19.14,1003.40,32.80,18.82
3.,Suven Life Scie.,237.35,,6259.41,0.00,-45.60,-3.78,1.52,3.40,-76.92
4.,Vimta Labs,544.35,30.84,2431.58,0.37,21.11,15.23,109.25,15.68,25.23
5.,Fabtech Tech.,149.11,17.90,662.81,0.00,22.06,46.19,158.52,17.54,13.58
6.,Take Solutions,29.57,102.69,437.44,0.00,4.36,1353.33,54.19,,18.51
7.,Novelix Pharma.,65.50,61.14,156.51,0.00,0.91,405.56,25.19,20.76,9.98
8.,Jeevan Scienti.,77.38,134.03,154.13,0.00,1.84,223.85,21.29,111.63,5.01
9.,Bilcare,64.14,27.36,151.02,0.00,7.85,301.31,187.66,-3.28,5.56
10.,Adeshwar Meditex,18.41,21.09,26.57,0.00,0.53,-60.45,26.05,-30.44,5.21
11.,Vanta Bioscience,22.02,142.36,15.66,0.00,1.93,240.88,1.51,357.58,1.19
