S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Dr Lal Pathlabs,1536.90,48.84,25764.25,0.91,132.20,-15.18,702.70,16.61,28.29
2.,Vijaya Diagnost.,1372.40,81.64,14121.55,0.15,47.93,34.56,219.38,26.63,21.29
3.,Metropolis Healt,533.20,56.28,11054.94,0.38,50.96,74.43,424.68,22.99,17.77
4.,Thyrocare Tech.,518.00,51.27,8244.76,1.80,48.70,117.14,223.95,19.66,35.38
5.,Nephrocare Health Services,675.85,88.26,6781.53,0.00,30.37,22.11,265.62,21.18,15.48
6.,Krsnaa Diagnost.,551.90,17.44,1790.29,0.50,43.38,105.89,173.02,-0.93,12.70
7.,Suraksha Diagno.,275.20,44.53,1433.26,0.00,6.16,-15.02,81.41,25.07,16.97
8.,One Global Serv,544.20,15.30,1063.53,0.00,18.19,68.58,133.81,141.27,87.02
9.,Health X Platform,305.00,505.32,970.22,0.00,-12.97,-176.95,373.78,30.77,-0.05
10.,3B Blackbio,1120.60,16.42,961.77,0.36,9.81,13.81,35.43,57.47,25.48
11.,Gaudium IVF,105.80,31.45,770.09,0.00,8.36,29.41,30.35,12.74,29.27
12.,Chandan Healthca,236.70,19.79,578.78,0.00,6.92,23.59,75.58,20.64,23.27
13.,Star Imaging,81.02,7.32,141.14,0.00,9.23,-4.94,43.34,5.94,26.04
14.,Aspira Pathlab,125.00,2573.20,128.66,0.00,-0.69,-195.83,6.52,12.80,2.84
15.,Modern Diagnost.,60.00,17.26,90.60,0.00,2.08,,39.92,,12.18
16.,Choksi Laborator,122.95,57.09,85.64,0.00,1.03,11.96,12.82,12.46,9.64
17.,Invicta Diagnos.,64.50,16.52,81.09,0.00,0.79,,15.41,,20.28
18.,Bandaram Pharma,28.87,115.29,51.88,0.35,0.09,-40.00,26.26,209.31,4.42
19.,N G Industries,117.95,22.84,39.52,2.97,0.69,128.40,4.36,-2.46,5.88
20.,Sharma E I Hosp.,112.80,29.84,37.00,0.00,0.43,16.22,7.47,24.92,11.58
21.,Samsrita Labs,15.16,,34.49,0.00,-0.48,,0.02,,-62.42
22.,Deccan Healthcar,12.50,12.43,30.94,0.00,0.33,175.00,20.98,1.11,3.28
23.,Tejnaksh Health.,14.67,24.23,29.80,0.00,0.35,-29.41,2.55,-20.56,6.28
24.,Chennai Meena,38.80,,28.98,0.00,-0.02,-106.45,9.81,6.98,-3.07
25.,Transgene Biotek,3.11,,23.56,0.00,-0.46,35.21,0.05,-37.50,-2.36
26.,Nidan Laborator.,13.70,10.82,19.04,0.00,0.07,-86.36,12.42,-11.22,5.99
27.,Family Care,3.42,,18.47,0.00,-2.42,87.88,0.06,200.00,-25.62
28.,Dolphin Medical,7.52,284.00,11.36,0.00,0.01,114.29,0.19,35.71,0.64
29.,Clinitech Lab,37.80,20.55,8.63,0.00,0.12,-29.41,4.39,5.53,7.27
30.,Looks Health,8.21,431.00,8.62,0.00,0.01,-94.74,0.12,-69.23,0.20
31.,Dr Lalchand. Lab,9.94,143.50,8.61,0.00,-0.13,-148.15,2.13,-8.58,0.79
32.,Dhanvantri Jeev.,20.00,20.50,8.20,0.00,0.30,900.00,7.24,24.19,3.88
33.,Ashram Online,5.00,,6.00,0.00,-0.01,-200.00,0.14,27.27,0.84
34.,Gian Lifecare,5.77,,5.97,0.00,0.10,-71.43,1.12,-29.56,2.40
35.,Boston Commerce,6.93,,4.85,0.00,-0.65,-32.65,0.00,-100.00,0.11
