S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Hitachi Energy,36870.00,159.88,164338.31,0.02,330.46,79.71,2754.05,46.21,29.02
2.,A B B,7167.50,99.71,151885.33,0.55,1783.65,-25.23,3184.06,5.78,29.93
3.,CG Power & Ind,937.85,120.13,147707.37,0.14,363.46,33.67,3441.76,25.03,27.01
4.,B H E L,386.95,84.20,134738.44,0.13,1290.47,155.82,12310.37,36.88,8.51
5.,Siemens,3700.80,55.51,131793.08,0.00,370.40,-9.59,4617.50,14.60,21.22
6.,Siemens Ener.Ind,3647.90,96.35,129909.20,0.11,374.60,52.21,2394.10,27.38,67.75
7.,GE Vernova T&D,5067.00,101.42,129740.54,0.10,351.77,86.32,1637.08,42.04,76.43
8.,Suzlon Energy,55.31,23.83,75374.58,0.00,1114.35,-5.74,5493.25,44.94,35.07
9.,Thermax,4832.10,85.08,57577.52,0.29,244.40,17.86,3428.04,12.53,14.88
10.,Schneider Elect.,1172.20,125.76,28027.30,0.00,21.97,-71.64,589.69,0.48,29.63
11.,Triveni Turbine,686.90,60.44,21836.21,0.58,101.90,8.52,679.60,26.32,35.86
12.,TD Power Systems,1312.80,85.90,20509.67,0.10,72.19,36.16,589.19,69.21,33.43
13.,Atlanta Electric,2044.00,77.55,15717.67,0.00,102.19,129.07,747.62,81.69,45.26
14.,Inox Wind,86.79,37.03,14999.38,0.00,105.68,-51.16,1244.24,-2.40,10.48
15.,Azad Engineering,2207.70,107.30,14257.71,0.00,36.81,42.42,161.54,27.27,11.92
16.,Elecon Engg.Co,531.35,33.71,11923.49,0.38,6.00,-50.66,745.61,-6.51,20.86
17.,Volt.Transform.,9884.50,32.75,10000.27,1.01,47.90,-50.53,617.23,-1.21,24.08
18.,T R I L,321.10,36.45,9638.32,0.06,91.39,-2.55,782.67,15.70,23.30
19.,Quality Power El,1072.00,68.42,8302.01,0.09,50.55,72.95,280.81,159.24,31.53
20.,Transrail Light,493.25,15.92,6622.18,0.16,96.50,-23.76,1863.46,-4.24,29.18
21.,Powerica Ltd,499.80,23.67,6325.06,0.00,45.11,15.89,801.15,10.93,15.69
22.,Skipper,556.60,29.19,6286.09,0.02,75.61,70.33,1666.58,29.42,23.32
23.,GE Power,884.10,17.01,5943.58,0.00,113.21,418.10,316.40,18.78,79.96
24.,Indo Tech.Trans.,2657.60,30.42,2822.37,0.00,23.92,14.01,238.99,15.98,37.71
25.,Bajel Projects,200.55,93.75,2320.30,0.30,14.14,193.36,1007.77,25.75,10.24
26.,KP Green Engg.,373.65,13.75,1868.25,0.11,77.44,66.47,713.50,65.06,36.69
27.,Exicom Tele-Sys.,133.85,,1861.58,0.00,-54.31,13.57,387.95,46.10,-14.66
28.,Danish Power,918.00,25.82,1807.69,0.00,41.17,9.23,309.84,18.61,23.75
29.,Indosolar,406.00,6.85,1689.11,0.00,42.00,4.90,83.10,-56.72,123.80
30.,Jyoti Structures,13.11,27.93,1564.89,0.00,18.14,52.05,234.36,42.25,2.24
31.,Neueon Corporation,23.06,,1303.92,0.00,-206.39,-349.25,6.17,15.33,-40.43
32.,Solex Energy,1109.90,13.53,1198.97,0.05,54.80,363.47,839.48,232.34,34.04
33.,Swelect Energy,648.15,17.37,982.52,0.54,11.09,16.19,202.42,-7.49,8.52
34.,Australian Prem,318.10,11.35,641.29,0.03,28.39,8.94,388.18,43.96,55.94
35.,Avana Electrosystems,139.35,26.92,315.56,0.00,6.12,,48.11,,38.13
36.,United Van Der,41.68,55.05,287.38,0.96,0.36,-63.27,5.94,-32.88,12.83
37.,Star Delta Trans,608.05,15.28,182.43,0.00,4.42,46.36,46.44,23.41,18.09
38.,Vijaypd Ceutical,90.70,35.36,177.13,0.00,,,,,
39.,Jyoti,60.88,7.81,140.59,0.00,3.04,-63.00,83.31,-22.93,12.45
40.,Surana Solar,27.36,108.57,134.63,0.00,0.20,128.17,13.61,440.08,3.15
41.,Aartech Solonics,41.89,38.03,133.09,0.30,0.73,116.00,17.46,72.36,15.86
42.,Accord Transformer,59.88,27.38,123.19,0.00,3.25,-40.37,42.35,-26.39,14.50
43.,G G Engineering,0.49,,77.64,0.00,-6.26,-3377.78,27.98,-38.61,0.43
44.,Trom Industries,57.00,7.57,52.41,0.00,2.54,429.17,83.27,76.87,16.19
45.,Tarapur Trans,19.80,,38.61,0.00,-1.26,94.74,0.00,,5.72
