S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Bajaj Finserv,1703.20,27.44,272605.67,0.09,5226.26,5.05,38493.79,5.19,10.52
2.,Bajaj Holdings,10199.00,13.88,113504.67,1.42,2576.96,49.23,60.54,-58.32,11.00
3.,Choice Intl.,663.65,67.93,14784.56,0.00,67.84,16.70,306.71,21.23,17.96
4.,JM Financial,121.41,9.54,11612.46,2.68,161.92,-21.08,949.12,-5.46,11.63
5.,Edelweiss.Fin.,114.67,17.74,10853.88,1.31,131.96,-16.84,1918.10,-15.88,14.10
6.,Kama Holdings,2560.50,8.51,8216.79,1.62,584.02,12.69,4657.56,7.07,14.00
7.,Pilani Invest.,4224.80,150.61,4677.80,0.36,4.75,118.93,44.10,-22.13,1.41
8.,Rane Holdings,1446.20,23.76,2065.17,2.63,87.54,787.20,1608.65,17.11,9.57
9.,BF Investment,437.10,5.84,1646.12,0.00,114.24,3530.63,37.44,41.44,4.86
10.,Abans Financial,201.03,10.60,1021.09,0.00,-3.69,-113.65,8708.28,719.09,7.92
11.,Max India Ltd,160.54,,843.20,0.00,-19.29,58.25,65.63,58.07,-23.21
12.,GFL,46.98,11.46,516.08,0.00,25.56,239.75,0.89,5.95,2.07
13.,Nurture Well Industries,21.79,7.56,507.36,0.00,-1.18,-105.39,199.90,-16.81,22.92
14.,Nisus Finance,210.05,6.88,501.56,0.00,46.15,210.17,420.62,1222.29,32.00
15.,Tamboli Industri,179.99,17.42,178.55,0.56,4.10,63.35,22.75,14.90,11.82
16.,BIL Vyapar,4.28,,13.42,0.00,1.41,452.50,0.00,,
