S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Apollo Hospitals,8304.50,61.06,119405.97,0.23,551.30,35.86,6605.50,18.12,17.89
2.,Max Healthcare,977.25,64.09,95110.25,0.15,342.22,7.28,2142.89,12.21,14.72
3.,Fortis Health.,968.65,69.07,73129.02,0.10,271.19,22.42,2364.67,17.81,13.47
4.,Narayana Hrudaya,1969.20,47.25,40242.73,0.23,223.99,12.47,2593.81,75.80,15.36
5.,Aster DM Health.,754.00,95.71,39066.33,0.66,153.58,41.97,1182.38,18.20,11.40
6.,Global Health,1240.00,59.83,33339.60,0.04,141.65,4.71,1159.05,24.46,17.14
7.,Krishna Institu.,788.95,127.29,31568.96,0.00,33.10,-50.66,1074.60,34.85,9.29
8.,Dr Agarwal's Hea,459.95,110.05,14579.63,0.00,49.96,14.88,564.11,22.57,11.12
9.,Rainbow Child.,1343.30,48.82,13642.44,0.26,78.22,38.63,459.90,24.26,18.25
10.,Park Medi World,281.75,47.15,12169.65,0.00,76.77,58.03,460.41,30.09,19.34
11.,Health.Global,635.95,330.23,9494.87,0.00,4.04,162.36,652.33,11.48,8.31
12.,Jupiter Life Lin,1307.50,43.37,8572.76,0.08,50.26,8.66,387.84,15.20,15.37
13.,Yatharth Hospit.,808.90,44.44,7794.10,0.00,44.70,22.73,341.56,47.36,12.37
14.,Kovai Medical,5398.00,24.16,5905.41,0.19,63.35,15.81,413.62,15.87,22.19
15.,Artemis Medicare,268.20,40.16,4245.77,0.17,29.55,27.37,273.79,16.61,14.53
16.,Indrapr.Medical,396.00,19.77,3630.25,1.14,41.70,1.68,364.81,9.31,35.83
17.,Dr Agarwal's Eye,5070.20,34.95,2450.34,0.12,16.24,1.56,120.01,20.21,17.36
18.,Shalby,173.80,50.21,1877.21,0.00,18.46,266.24,287.45,8.52,6.48
19.,KMC Speciality,114.50,39.96,1867.50,0.00,14.63,223.67,82.25,34.99,26.04
20.,GPT Healthcare,149.64,29.08,1227.87,1.67,14.57,13.03,126.37,24.63,19.58
21.,Gujarat Kidney,131.05,66.66,1033.24,0.00,4.82,293.75,30.58,212.68,14.48
22.,Unihealth Hosp,457.80,28.18,727.90,0.00,17.09,18.98,65.32,17.06,27.39
23.,Asarfi Hospital,204.90,23.61,403.19,0.00,4.09,6.79,45.03,28.29,18.77
24.,Lotus Eye Hospit,124.62,3239.50,259.16,0.00,-0.32,-224.00,13.61,18.25,1.16
25.,Hannah Joseph,100.00,20.30,226.98,0.00,6.06,94.23,49.51,33.81,18.06
26.,Aashka Hospitals,75.00,61.80,175.50,0.00,2.56,197.67,12.57,22.28,4.05
27.,Abate As Indust,10.50,13.45,165.49,0.00,2.93,146.22,33.94,140.88,6.70
28.,Nephro Care,73.90,36.15,121.83,0.00,1.00,,26.75,,8.70
29.,Fortis Malar,54.56,24.70,102.26,0.00,-0.05,-113.89,0.00,,14.65
30.,Maitreya Medica.,150.90,,102.25,0.00,-2.43,-1720.00,21.15,-5.16,-2.18
31.,Sangani Hospital,45.00,20.74,62.00,0.00,2.51,123.60,86.49,673.61,17.37
32.,Shanmuga Hos.,38.41,12.42,52.29,0.00,2.20,21.55,22.82,-1.76,12.62
33.,Aatmaj Health,19.00,60.48,42.94,0.00,0.20,-39.39,13.51,22.48,3.56
34.,Soni Medicare,73.00,,31.13,0.00,-0.37,-205.71,6.58,-12.50,-12.07
35.,KK Shah Hospital,40.90,,27.85,0.00,-0.30,57.14,4.61,-7.24,-5.49
36.,Global Longlife,12.00,,12.60,0.00,-0.40,61.54,0.00,,-3.92
37.,Broach Lifecare,16.99,114.56,10.31,0.00,-0.23,-355.56,3.39,147.45,2.52
