S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1,Indian Hotels Co,657.6,54.29,93604.9,0.49,645.43,14.48,2765.29,14.03,17.06
2,ITC Hotels,153.18,36.46,31907.03,0.65,317.43,21.85,1253.7,18.2,10.73
3,EIH,291.95,25.51,18257.51,0.51,249.1,-11.57,895.22,8.19,20.69
4,Chalet Hotels,777.45,26.36,17025.7,0.13,163.01,31.64,558.22,6.94,17.07
5,Ventive Hospital,640.95,34.78,14968.85,0,259.23,82.23,778.79,11.58,10.81
6,Leela Palaces Hotels,419.35,34.29,14004.52,0,171.72,46.17,484.42,14.06,8.72
7,Lemon Tree Hotel,109.91,35.09,8707.58,0,116.45,9.57,416.4,10.01,13.95
8,Valor Estate,114.45,,6207.85,0,-58.9,-370.87,86.91,-83.82,1.55
9,I T D C,669.95,69.11,5746.12,0.43,28.27,12.03,142.01,-28.97,29.89
10,Juniper Hotels,205.27,26.31,4567.31,0,50.38,23.71,301.48,8.62,8.05
11,Mahindra Holiday,215.52,58.17,4354.71,0,41.49,-43.13,820.29,5.32,7.75
12,Samhi Hotels,162.05,8.73,3599.69,0,399.4,408.35,344.86,8.17,8.92
13,Apeejay Surrend.,114.2,36.47,2436.73,0.44,11.88,-54.63,183.7,3.6,9.43
14,Brigade Hotel,62.34,40.51,2367.94,0,25.11,102.47,136.39,1.7,12.84
15,TajGVK Hotels,331.9,13.5,2081.06,0.6,319.75,36.09,158.52,27.06,13.25
16,Oriental Hotels,102.12,26.6,1823.85,0.49,32.41,66.98,136.46,2.97,12.13
17,EIH Assoc.Hotels,297.3,20.14,1811.64,1.18,37.63,-18.69,127.19,-9.09,21.14
18,Benares Hotels,10256.5,30.76,1333.35,0.24,15.35,-4.36,48.6,-1.06,29.8
19,Asian Hotels (N),303.95,478.17,1295.84,0,31.31,564.07,102.91,12.46,3.45
20,Viceroy Hotels,139.99,51.64,946.04,0,6,-39.76,48.37,36.91,7.12
21,Mac Charles(I),700,,917,0,-15.34,57.98,32.02,1567.71,5.41
22,Royal Orch.Hotel,320.35,28.38,878.57,0.78,8.21,-47.15,113.17,30.47,10.84
23,U P Hotels,1420,23.78,766.8,0,14.37,17.5,50.78,3.23,21.87
24,Advent Hotels,133.07,14.79,717.82,0,3.67,-62.31,115.41,6.8,6.78
25,Asian Hotels (W),569.95,8.14,664.06,0,10.83,2253.96,121.5,5.86,19.66
26,Praveg,236.45,,618.1,0.42,-4.93,-242.36,73.6,26.77,1.72
27,Kamat Hotels,178.68,12.32,526.75,0,17.46,41.69,110.12,19.2,15.83
28,HLV,7.89,101.79,520.16,0,8.6,-29.74,63.45,7.07,1.62
29,Sayaji Hotels,282,,494.01,0,6.06,68.46,37.65,-5.04,-0.02
30,Advani Hotels.,52.81,19.88,488.17,3.6,11.71,3.4,35.51,5.97,10.86
31,Sinclairs Hotels,74.27,42.07,380.71,1.08,-0.86,-122.75,16.76,16.63,10.16
32,Sayaji (Indore),1100,37.7,335.13,0.07,0.18,-72.01,29.6,0.3,11.27
33,Apollo Sindoori,1281.5,28.36,333.24,0.2,2.71,-7.41,182.35,32.08,10.93
34,Grand Continent,127.55,25.61,317.85,0,10.09,129.02,84.83,108.02,11.92
35,Robust Hotels,181.03,12.67,313.03,0,7.75,-24.61,40.29,1.69,5.62
36,Espire Hospi,209.45,37.21,312.55,0,8.19,193.55,40.97,-0.53,16.74
37,Suba Hotels,119.9,16.14,290.67,0,12.77,7.95,70.56,41.6,16.9
38,Asian Hotels (E),157.18,112.78,271.79,0.64,-52.63,21.33,36.93,13.46,11.76
39,Emerald Leisures,169.85,,255.09,0,-0.6,74.79,5.18,29.18,9.09
40,Sayaji Hot. Pune,828,13,252.26,0,3.63,-0.55,21.52,7.6,28.4
41,Country Club Hos,12.77,26.36,208.74,0,-16.84,-4.19,18.33,42.87,2.51
42,HBG Hotels,99,73.6,203.14,0.25,1.24,51.22,10.02,15.17,0.73
43,Graviss Hospital,28.76,,202.81,0,-0.14,34.78,20.04,3.09,1.11
44,Savera Industrie,157,16.87,187.3,1.91,0.7,-81.63,27.58,26.34,15.04
45,The Byke Hospi.,35.51,27.71,185.64,0,1.68,118.18,27.81,3.92,5.72
46,CHL,30.16,393.64,165.33,0,8.86,832.23,35,-0.6,6.37
47,Eco Hotels,14.69,,77.18,0,-5.5,-467.01,2.47,1800,-18.1
48,Gujarat Hotels,188.65,12.63,71.5,1.59,1.57,-6.55,1.62,23.66,14.07
49,Jungle Camps,46,17.6,71.29,0,2.39,,8.84,,9.74
50,Saj Hotels,38.95,21.73,62.81,0,0.85,7.78,4.65,-1.48,5.02
51,Royale Manor,30.5,25.31,60.49,0,1.56,-13.81,7.08,-5.35,5.81
52,Blu.Coast Hotel.,29.99,,59.02,0,-0.14,95.35,1.23,,
53,Mac Hotels,86,146.76,48.43,0,-0.13,-533.33,2.47,-0.4,4.65
54,Jindal Hotels,63.61,17.39,44.53,0,1.82,329.27,14.97,19.28,11.66
55,Reliable Ventur.,33.69,,37.09,0,-0.22,-4.76,0,,-2.82
56,Kaushalya Infra.,873.9,91.7,30.26,0,-0.37,-152.86,0.07,75,0.58
57,Aruna Hotels,7.95,33.27,26.95,0,0.57,-62.75,6.23,1.96,12.36
