S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,LG Electronics,1499.50,60.40,101781.92,0.00,692.73,-8.19,8053.55,8.12,32.23
2.,Voltas,1298.30,109.25,42958.77,0.31,113.43,-51.80,4887.83,2.52,9.04
3.,Blue Star,1581.80,58.41,32524.15,0.54,227.18,10.41,4072.06,1.32,21.17
4.,Amber Enterp.,7822.00,139.32,27586.45,0.00,161.96,-19.47,4147.52,10.49,10.25
5.,Crompton Gr. Con,266.60,49.01,17166.77,1.13,-536.81,-31.74,2083.30,10.90,18.98
6.,V-Guard Industri,310.45,49.36,13563.28,0.48,95.35,22.15,1687.16,13.99,17.03
7.,Whirlpool India,800.15,32.31,10151.65,0.62,80.50,-29.67,2180.77,8.78,11.07
8.,Eureka Forbes,440.80,44.87,8525.23,0.00,51.09,3.84,683.83,11.64,5.86
9.,TTK Prestige,533.65,40.72,7308.39,1.12,36.08,212.18,729.17,12.26,12.48
10.,IFB Industries,1255.70,33.05,5088.10,0.00,42.67,128.46,1498.20,12.33,20.31
11.,Symphony,687.40,,4720.47,1.89,-218.00,-198.73,338.00,-30.74,20.37
12.,Orient Electric,178.38,37.07,3806.02,0.84,40.28,32.15,948.25,10.02,19.83
13.,Bosch Home Comfort,1373.30,286.79,3734.00,2.62,40.87,-30.75,965.35,3.52,4.64
14.,Bajaj Electrical,311.50,,3594.48,0.96,-67.53,-268.45,1239.52,-2.05,3.14
15.,Carysil,1102.00,31.65,3134.38,0.22,27.38,45.86,233.72,14.47,17.77
16.,Epack Durable,225.30,665.04,2168.03,0.00,0.02,-99.95,591.05,-8.12,4.55
17.,Stove Kraft,649.25,51.19,2149.49,0.46,6.05,317.24,414.52,32.44,11.30
18.,Wonder Electric.,94.54,139.07,1266.91,0.32,7.18,-38.26,252.22,-19.17,9.87
19.,Butterfly Gan Ap,656.30,25.08,1173.46,0.00,11.44,26.69,218.17,16.56,18.02
20.,Elin Electronics,108.84,23.23,541.04,0.00,-0.76,-104.41,324.19,2.67,6.85
21.,Singer India,70.01,32.75,435.60,0.00,5.90,42.72,166.32,36.70,10.78
22.,Forbes & Co,315.95,30.39,407.58,0.00,-1.97,-125.79,17.19,-80.62,8.76
23.,Greenchef Appli.,51.70,,120.32,0.00,-4.24,-471.93,207.45,2.65,-1.94
24.,Aspire & Innovat,14.60,8.66,22.16,0.00,1.66,-4.05,116.24,73.83,6.91
25.,Jaipan Industrie,26.05,48.15,15.89,0.00,0.06,-14.29,5.01,-29.04,5.68
26.,Dolphin Kitchen Utensils,9.80,3.63,12.99,0.00,0.03,-98.52,8.37,-80.23,7.50
