S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Jyothy Labs,200.50,22.10,7362.65,1.75,67.52,-15.23,717.41,7.73,29.58
2.,Eveready Inds.,332.35,16.51,2415.76,0.45,141.76,790.21,327.23,9.43,17.18
3.,High Energy Bat.,500.10,27.48,448.28,0.60,7.59,-14.81,29.50,-18.24,20.40
4.,Indo National,359.95,,269.96,1.39,-21.00,-26237.50,107.12,10.31,-5.47
5.,Panasonic Energy,289.90,40.57,217.43,3.25,1.73,47.86,71.66,13.01,9.21
6.,Pee Cee Cosma,312.15,9.92,82.72,0.96,0.84,29.23,43.36,22.21,21.13
7.,Yuvraaj Hygiene,6.80,18.63,61.65,0.00,0.88,-40.94,12.18,33.85,29.67
8.,Ambica Agarbat.,24.94,12.42,42.84,0.00,0.82,142.27,22.27,-28.28,8.15
9.,Hipolin,85.62,,26.80,0.00,0.01,100.42,3.94,-10.45,-1.69
10.,Photoquip India,13.32,,7.99,0.00,-0.92,-1122.22,4.84,5.22,1.57
