S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Bajaj Housing,84.14,27.27,70108.26,0.00,669.19,14.06,2902.61,15.92,8.84
2.,Piramal Finance.,1977.40,171.88,44823.25,0.56,501.77,-901.31,3424.01,19.99,6.49
3.,LIC Housing Fin.,549.75,5.40,30239.71,1.82,1492.63,8.68,7211.92,-1.25,8.59
4.,PNB Housing,997.70,11.35,25999.06,0.50,655.80,19.15,2181.53,7.90,9.40
5.,Sammaan Capital,184.28,,21355.39,0.00,-8101.41,-594.46,1357.66,-35.58,4.92
6.,Aadhar Hsg. Fin.,468.15,18.44,20431.94,0.00,310.92,26.99,984.56,18.25,11.38
7.,Aptus Value Hou.,265.30,14.09,13284.70,1.70,260.95,26.04,574.34,18.66,15.40
8.,Home First Finan,1078.90,20.86,11270.03,0.48,149.45,42.75,501.41,20.92,11.13
9.,Can Fin Homes,807.90,9.91,10757.52,1.49,345.67,47.77,1073.65,7.52,9.17
10.,AAVAS Financiers,1297.80,15.71,10289.97,0.00,181.67,18.21,714.68,12.33,9.92
11.,INDIA SHELTE FIN,756.70,16.36,8231.77,0.66,137.59,27.24,408.23,24.73,12.83
12.,Repco Home Fin,367.85,4.84,2301.32,1.22,135.18,12.04,453.52,6.42,10.17
13.,GIC Housing Fin,149.65,5.22,805.87,3.01,53.58,23.60,272.70,0.38,7.71
14.,SRG Housing,282.10,13.64,443.07,0.00,9.25,49.43,57.23,33.87,11.77
15.,Reliance Home,2.09,,101.38,0.00,-0.69,89.78,0.00,-100.00,-432.21
16.,Star Housing Fin,7.18,8.54,56.70,1.39,0.49,-75.98,25.82,7.45,12.10
17.,Ind Bank Housing,47.80,,47.80,0.00,-0.02,60.00,0.00,,-1.11
18.,India Home Loans,30.83,440.30,44.03,0.00,0.00,-100.00,3.70,-0.80,8.48
19.,Sahara Housing,41.46,85.35,29.02,0.00,0.07,-65.00,1.87,-13.02,2.87
20.,Manraj Hsg.Fin.,42.00,,21.00,0.00,-0.04,0.00,0.00,,-2.49
