S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,L&T Technology,3212.70,25.22,34076.66,1.81,332.70,23.41,2857.90,8.34,26.71
2.,Tata Technolog.,771.20,51.08,31314.72,1.08,204.17,-8.66,1572.22,22.29,20.90
3.,Inventurus Knowl,1659.10,39.47,28480.63,0.00,205.97,39.36,857.65,18.47,36.86
4.,Netweb Technol.,4666.00,129.09,26568.52,0.05,70.59,65.67,773.70,86.59,37.50
5.,Affle 3i,1476.10,45.69,20782.95,0.00,119.51,15.95,724.38,20.28,16.84
6.,Black Box,1072.90,69.40,19054.62,0.09,64.76,1.93,1690.94,9.48,22.20
7.,Sagility,40.02,19.75,18734.68,0.12,257.73,41.17,2024.26,29.06,13.37
8.,Cyient,877.20,20.41,9748.26,2.96,65.50,-59.60,1926.90,0.93,12.40
9.,E2E Networks,452.90,,9310.03,0.00,6.44,-52.68,95.64,185.66,-0.51
10.,Amagi Media Labs,421.30,127.17,9114.36,0.00,34.26,423.21,396.97,28.51,8.00
11.,Datamatics Glob.,799.65,19.75,4726.44,0.63,44.87,31.10,519.26,4.45,20.81
12.,eMudhra,465.95,36.89,3858.61,0.27,29.57,21.22,193.40,31.67,15.69
13.,Cigniti Tech.,1260.30,11.36,3471.74,0.00,80.30,31.76,579.40,12.20,34.09
14.,Sasken Technol.,2181.20,56.18,3312.47,1.15,29.00,144.70,334.02,125.67,10.18
15.,KS Smart Technlogies,185.50,40.84,3043.50,0.00,56.58,,814.69,,
16.,R Systems Intl.,255.30,13.10,3024.96,4.90,65.41,69.50,574.77,29.90,19.48
17.,Network People,1442.40,73.70,3009.35,0.14,12.24,134.87,61.98,135.22,19.67
18.,Zaggle Prepaid,200.81,20.32,2700.06,0.00,37.77,18.18,592.71,44.05,13.49
19.,Protean eGov,616.60,24.11,2504.43,1.62,30.38,51.37,307.54,38.44,12.69
20.,Brightcom Group,12.09,2.79,2439.67,0.00,310.60,27.53,2231.94,33.33,12.32
21.,BLS E-Services,229.68,36.29,2086.79,0.44,18.24,11.67,323.37,35.18,17.00
22.,Dynacons Sys.,1288.70,19.36,1641.43,0.04,19.13,5.28,402.12,21.63,29.73
23.,IZMO,917.40,28.86,1372.67,0.00,17.30,151.09,109.16,82.51,12.58
24.,Aurum Proptech,190.08,,1369.41,0.00,16.44,151.57,123.85,82.80,1.84
25.,Digitide Solutio,89.76,130.83,1338.42,0.00,-5.01,-118.68,799.95,9.21,10.86
26.,Expleo Solutions,857.10,9.84,1330.20,5.83,41.67,66.03,286.28,11.92,24.77
27.,Ivalue Infosolut,237.34,12.70,1296.60,0.00,42.65,10.37,272.60,4.60,25.12
28.,Orient Tech.,263.05,48.04,1204.92,0.62,-4.99,,184.07,,
29.,Genesys Intl.,274.85,31.77,1148.61,0.00,12.72,-34.78,104.22,10.68,8.23
30.,String Metaverse,9.85,11.19,1146.86,0.00,34.70,176.39,359.40,133.60,41.56
31.,Excelsoft Tech.,85.77,21.15,987.08,0.00,16.60,-16.55,81.16,16.08,13.64
32.,Unified Data,415.20,20.47,834.14,1.32,23.48,94.05,138.97,21.47,45.25
33.,Kellton Tech,15.68,9.09,833.24,0.00,19.52,1.67,313.89,9.63,14.96
34.,Veefin Solutions,312.55,35.04,798.23,0.00,15.98,,131.35,,9.85
35.,Vakrangee,6.41,61.77,694.33,0.00,1.62,-17.32,56.74,-10.19,7.51
36.,Sahana Systems,785.55,10.23,694.20,0.13,47.10,21.60,216.99,89.00,39.81
37.,Allied Digital,121.35,19.10,686.46,1.24,-3.39,55.32,267.77,31.03,7.32
38.,Onward Technolog,255.10,12.44,580.62,1.96,9.55,-8.26,137.12,7.72,22.95
39.,Panache Digilife,356.95,31.83,571.62,0.00,8.51,402.27,94.55,57.53,23.67
40.,Tera Software,443.00,22.35,554.28,0.23,7.22,144.75,74.74,122.71,24.37
41.,DigiSpice Tech.,20.32,19.58,476.85,0.00,2.76,569.73,107.17,-8.25,12.08
42.,TechD Cybersec.,624.00,33.24,466.74,0.00,7.67,149.84,33.63,98.76,40.88
43.,Inspirisys Sol.,114.74,10.70,454.56,0.00,8.77,23.87,141.77,17.81,28.42
44.,Sattrix Infor.,377.00,51.92,427.83,0.00,6.07,70.68,32.77,46.03,9.60
45.,Sigma Solve,40.17,17.29,412.85,0.12,5.37,-21.26,24.64,4.67,48.33
46.,Exato Technologies,363.35,22.73,365.73,0.00,4.35,-10.68,60.77,5.01,26.66
47.,iStreet Network,45.94,65.30,323.88,0.22,0.39,11.43,41.49,586.92,23.57
48.,FCS Software,1.80,87.92,307.72,0.00,5.40,55400.00,26.77,203.86,2.40
49.,Bartronics India,7.43,38.10,226.30,0.00,2.09,2188.89,34.39,285.97,15.52
50.,Intense Tech.,90.96,14.02,214.89,1.10,-22.39,240.44,28.13,-20.36,7.55
51.,Airan,16.79,17.17,209.91,0.00,0.47,114.78,30.97,13.40,10.20
52.,ACS Tech,34.39,26.24,208.89,0.00,2.23,16.67,121.22,196.24,10.28
53.,Infinity Infoway,361.20,28.10,196.96,0.00,4.21,89.64,15.62,136.67,35.12
54.,Optivalue Tek,79.60,13.54,186.35,0.00,6.54,12.37,60.25,80.12,27.18
55.,DCM,98.03,63.36,183.10,0.00,-1.51,-260.64,18.87,13.47,14.59
56.,Dev Information,28.46,140.71,160.41,0.70,8.96,645.08,53.87,4.50,3.46
57.,VL E-Governance,13.97,,151.51,0.00,-0.59,41.00,1.19,-76.06,-2.46
58.,Enfuse Solutions,170.00,,150.41,0.00,-6.90,-850.00,24.53,10.55,-22.06
59.,Elnet Technolog,332.20,6.61,132.88,0.57,5.02,6.13,6.16,17.78,15.41
60.,Enser,15.00,14.69,130.74,0.00,4.80,44.97,50.03,59.84,24.08
61.,Meta Infotech,68.00,11.80,128.39,0.00,0.44,-85.62,59.89,72.00,23.16
62.,Sancode Tech.,239.00,263.40,123.80,0.00,0.59,-64.00,8.30,3.11,6.56
63.,Prodocs Solution,174.90,13.03,123.30,0.00,6.63,,30.81,,
64.,Cressanda Railwa,2.62,,108.70,0.00,-4.44,-387.91,0.29,-94.18,0.29
65.,Matrix Geo Sol.,68.35,9.91,99.67,0.00,6.05,116.07,26.04,96.97,30.04
66.,WEP Solutions,26.34,47.09,97.01,1.90,1.19,32.22,17.68,-2.54,6.06
