S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Lloyds Metals,1778.60,31.38,100096.96,0.06,1065.59,426.30,4912.94,311.71,35.86
2.,NMDC,92.90,10.96,81675.99,3.55,2027.17,37.19,11343.13,61.94,27.58
3.,G M D C,657.75,37.20,20916.45,1.54,194.09,-24.66,814.05,3.53,10.80
4.,Gravita India,1630.70,31.77,12035.94,0.39,91.81,-3.42,1172.76,13.08,17.02
5.,Ashapura Minech.,702.75,16.55,6713.10,0.14,120.64,28.03,1968.63,254.55,20.72
6.,MOIL,297.80,22.66,6059.79,1.89,92.61,-19.92,444.49,2.56,12.64
7.,Orissa Minerals,4076.70,,2446.02,0.00,4.34,157.94,20.61,-0.05,-38.52
8.,Petro Carbon,294.95,28.68,728.53,0.00,22.47,1788.24,316.25,164.60,14.21
9.,20 Microns,195.77,10.29,690.80,0.64,17.59,14.99,261.06,14.80,17.43
10.,NILE,1727.60,9.38,518.28,0.29,13.68,41.30,229.78,20.95,25.28
11.,Goa Carbon,381.85,,349.39,0.00,4.49,168.65,201.13,52.15,-4.48
12.,Asi Industries,24.16,9.59,217.62,1.66,5.54,-37.68,48.66,1.78,9.02
13.,Raw Edge Indust.,23.58,,23.72,0.00,0.20,121.98,10.61,-0.75,1.95
14.,South. Magnesium,77.50,178.85,23.25,0.00,0.06,185.71,0.90,11.11,3.65
15.,Kachchh Minerals,31.59,,16.75,0.00,-0.05,28.57,0.00,,-57.30
