S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Aditya Infotech,3501.90,112.16,41270.06,0.00,169.13,207.73,1422.03,45.49,29.61
2.,Honeywell Auto,34700.00,57.46,30674.80,0.32,159.70,14.61,1180.70,5.94,16.78
3.,Syrma SGS Tech.,1226.80,73.69,23656.44,0.12,119.23,55.84,1465.01,58.49,16.73
4.,Kaynes Tech,3121.80,57.22,20926.88,0.00,91.22,-21.47,1242.64,26.22,13.24
5.,LMW,15679.00,119.46,16749.88,0.22,63.69,33.86,933.16,16.12,6.91
6.,Jyoti CNC Auto.,634.30,42.93,14425.45,0.00,90.57,-16.89,599.16,4.08,21.32
7.,Tega Inds.,1847.70,97.31,13881.34,0.11,42.67,-58.13,526.78,-1.74,8.09
8.,Lloyds Engineeri,72.69,55.94,10620.97,0.34,46.49,156.60,495.02,113.41,17.08
9.,Dynamatic Tech.,10544.00,143.16,7160.90,0.05,12.56,10.88,433.16,13.79,9.98
10.,Praj Industries,353.45,335.20,6496.87,1.70,11.62,-74.38,844.56,-1.76,6.31
11.,Kennametal India,2861.60,45.41,6289.29,1.40,51.40,110.66,403.10,39.19,17.55
12.,Omnitech Engg.,505.20,78.66,6247.61,0.00,29.34,43.19,148.72,38.46,17.56
13.,Centum Electron,3459.90,50.70,5106.47,0.17,1.64,16.05,340.43,27.46,25.58
14.,DEE Development,671.15,58.90,4648.61,0.00,27.68,-16.38,361.57,26.26,10.92
15.,John Cockerill,9164.50,,4525.26,0.08,7.36,331.62,344.52,55.96,
16.,Texmaco Rail,104.37,21.52,4246.45,0.72,58.04,45.21,1166.97,-13.32,11.38
17.,WPIL,422.00,26.06,4121.71,0.47,46.53,3032.35,511.24,-10.60,14.57
18.,Hind Rectifiers,1128.40,96.89,3878.56,0.09,-1.59,-129.43,279.82,51.21,18.57
19.,The Anup Enginee,1915.30,34.40,3836.63,0.89,26.54,-15.85,207.86,-6.24,20.68
20.,Cyient DLM,453.40,49.10,3598.38,0.00,22.44,-27.71,369.08,-13.78,9.88
21.,GMM Pfaudler,788.00,46.36,3542.63,0.25,15.34,17.24,943.55,16.98,13.96
22.,Pitti Engg.,932.95,29.82,3512.89,0.16,26.61,-26.37,501.09,6.89,14.83
23.,Marine Electric.,248.85,58.74,3482.52,0.12,18.57,45.55,277.48,10.66,18.22
