S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Jio Financial,236.89,101.73,156421.82,0.21,272.22,-13.88,1018.51,106.49,1.86
2.,Aditya Birla Cap,357.50,24.65,93729.10,0.00,1164.72,29.46,13459.25,10.19,8.72
3.,Tata Inv.Corpn.,669.70,78.13,33883.67,0.51,63.83,69.22,39.98,143.34,1.57
4.,TVS Holdings,13583.00,16.05,27481.27,0.68,865.36,52.43,15587.53,32.09,16.98
5.,Chola Financial,1449.00,11.15,27208.95,0.09,1625.55,11.99,10366.20,16.30,9.75
6.,Mah. Scooters,12470.00,45.89,14251.42,1.76,4.01,-0.25,6.03,-9.32,1.06
7.,JSW Holdings,12506.00,93.50,13881.66,0.00,13.54,37.24,33.14,12.49,0.51
8.,Tsf Investments,399.45,17.00,8871.94,1.68,164.23,50.36,297.57,502.98,4.13
9.,Religare Enterp.,228.14,88.35,7594.56,0.00,95.65,-16.52,2467.42,20.84,3.06
10.,Nalwa Sons Invst,5587.00,52.67,2871.72,0.00,5.51,121.44,27.38,122.96,0.48
11.,Elcid Investment,118000.00,21.75,2360.00,0.02,-41.22,-110.95,-63.72,-264.53,1.43
12.,Kalyani Invest.,4982.00,59.21,2177.13,0.00,19.31,-24.81,21.80,1.68,0.49
13.,Shipping Land,45.29,73.20,2109.60,1.21,-0.84,99.63,5.81,19.06,1.31
14.,PNB Gilts,94.45,9.43,1700.20,1.06,12.99,-82.51,424.11,1.28,6.14
15.,Summit Securitie,1522.00,15.86,1659.25,0.00,-23.24,-400.86,11.43,16.51,1.52
16.,Jindal Poly Inve,1095.60,1.34,1151.48,0.00,35.16,-47.25,47.28,503.83,63.41
17.,Jindal Photo,1081.50,,1109.44,0.00,-5.66,-119.37,0.46,-14.81,-1.38
18.,GKW,1822.70,,1088.15,0.00,-5.61,-247.63,-3.50,-148.48,0.48
19.,Vardhman Hold.,3386.50,5.00,1080.29,0.15,53.62,-23.10,0.33,-85.00,6.28
20.,Indl.& Prud.Inv.,6426.50,16.90,1076.98,1.71,17.49,7.17,0.45,-19.64,7.72
21.,STEL Holdings,502.90,46.76,928.12,0.00,0.52,-94.79,0.26,-98.07,1.58
22.,Hexa Tradex,165.43,,914.00,0.00,-3.32,10.03,1.45,-3.33,-0.12
23.,BEML Land Assets,184.89,76997.00,769.97,0.00,0.50,219.05,0.98,,-192.83
24.,VLS Finance,232.42,33.53,729.30,0.65,-74.54,-87.15,-98.86,-103.08,0.96
25.,Welspun Investme,1780.00,214.42,649.70,0.00,-0.13,,0.13,116.67,0.58
26.,Oswal Green Tech,23.49,16.94,603.24,0.00,-83.16,2768.85,10.76,-45.74,1.75
27.,Aryaman Capital,401.50,17.30,480.88,0.00,4.32,-18.80,7.69,-70.08,31.88
28.,SIL Investments,423.00,11.86,448.38,0.59,-9.46,-238.29,-5.64,-1072.41,1.75
29.,Nahar Capital,255.35,6.77,427.61,0.59,18.19,-14.24,7.83,135.14,5.03
30.,MKVentures Cap.,911.85,33.03,350.46,0.03,0.47,108.87,2.28,-20.83,13.23
31.,Naperol Invest.,603.75,32.46,346.98,1.49,11.22,14.37,19.53,20.78,1.07
32.,Fundviser Capit.,407.30,171.15,321.77,0.00,0.70,62.07,13.30,-49.98,9.64
33.,Indl. Inv. Trust,136.50,,307.77,0.00,-25.47,-238.33,-41.18,-666.85,-3.50
34.,P. H. Capital,877.80,81.28,263.35,0.03,-1.60,76.15,22.16,-33.73,8.47
35.,Sakthi Finance,26.99,10.12,174.64,2.96,5.62,22.44,49.28,-6.49,10.87
36.,Tilak Ventures,1.16,16.12,155.10,0.00,3.85,151.63,14.02,120.09,7.35
37.,Worth Investment,4.05,42.90,150.14,0.00,1.30,6600.00,8.26,560.80,5.21
38.,Trustedgecapital,150.15,251.93,138.56,0.00,0.64,320.69,2.24,729.63,0.91
39.,Garnet Intl.,59.47,24.58,116.77,0.00,0.54,42.11,0.42,-76.27,11.24
40.,Indian Infotech,0.61,74.67,103.05,0.00,-3.26,41.47,35.92,773.97,0.65
41.,BLB,16.88,2.68,89.24,0.00,4.34,243.71,71.61,21.56,40.25
42.,Jolly Plastic,33.01,8048.00,80.48,0.00,-0.27,-222.73,0.07,133.33,0.15
43.,Haryana Capfin,147.00,7.85,76.57,0.00,5.36,1814.29,0.30,-33.33,3.71
44.,Paras Petrofils,1.99,,66.51,0.00,-1.29,-59.26,0.00,,-1.74
45.,Banas Finance,6.90,5.46,61.81,0.00,6.81,-19.98,20.81,407.56,7.86
46.,Hiliks Technolog,57.37,73.42,61.67,0.00,0.69,2200.00,15.94,677.56,5.39
47.,3P Land Hold.,31.79,26.25,57.22,0.00,0.42,13.51,1.01,10.99,2.38
48.,Arman Holdings,107.50,58.96,56.01,0.00,0.64,392.31,1.79,-51.23,18.65
49.,MASK INVESTMENTS,151.30,769.50,46.17,0.00,0.06,,0.14,800.00,0.10
50.,Lak. Fin. & Indl,146.08,,43.82,2.05,-2.77,-4.92,2.00,18.34,-2.10
51.,Srestha Finvest,0.24,,42.18,0.00,0.47,101.76,1.29,37.23,-5.57
52.,Pan India Corpor,1.91,,40.92,0.00,-0.08,97.80,0.00,,-6.28
53.,BSEL ALGO,4.60,,39.84,0.00,-42.84,-556.05,-46.21,-531.28,-7.48
54.,Nagreeka Cap.,28.20,4.80,35.58,0.00,-2.34,-131.08,7.41,-53.48,14.46
55.,Yamini Invest,0.66,182.63,34.70,0.00,-0.36,87.63,1.43,68.24,0.36
56.,Williamson Magor,27.65,,30.30,0.00,-2.53,-116.43,0.06,-87.76,0.43
57.,Amrapali Fincap,20.67,35.62,27.78,0.00,0.55,1275.00,16.00,-35.97,0.41
58.,Stanrose Mafat.,67.00,,26.60,0.00,-0.89,0.00,1.72,,-8.15
59.,Jindal Leasefin,80.62,26.37,24.26,0.00,1.18,195.16,2.48,248.50,24.97
60.,Consecutive Commodities,1.07,6.35,17.14,0.00,0.88,60.00,16.40,7.82,17.44
61.,Blue Chip India,2.49,,13.77,0.00,0.09,400.00,0.18,,
62.,Jackson Invest,0.45,5.71,13.08,0.00,2.14,318.37,0.12,-20.00,5.33
63.,DCM Financial,5.79,,12.81,0.00,-0.13,83.95,0.00,,-4.92
64.,Dalal Street Inv,357.30,,11.43,0.00,0.13,131.71,0.15,,0.48
65.,V B Industries,6.82,63.86,8.94,0.00,-0.90,-172.73,6.50,1411.63,0.21
