S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,JSW Steel,1284.00,34.50,313996.29,0.55,19243.00,115.02,51180.00,14.19,10.90
2.,Tata Steel,206.77,22.81,258121.89,1.93,2965.00,116.55,63270.13,12.54,12.52
3.,Jindal Steel,1181.30,29.89,120503.01,0.17,1041.24,172.66,16217.93,23.02,9.70
4.,S A I L,190.56,20.53,78711.29,0.84,1835.47,62.96,30813.49,5.11,7.79
5.,Jindal Stain.,690.65,17.59,56938.54,0.43,834.21,47.20,11337.19,11.17,19.30
6.,Sarda Energy,546.55,17.53,19259.40,0.27,155.15,45.61,1253.57,1.19,17.39
7.,NMDC Steel,49.96,249.34,14641.31,0.00,391.91,182.79,3879.00,36.67,3.06
8.,Jai Balaji Inds.,69.56,48.00,6345.89,0.00,21.37,-69.48,1745.17,9.79,9.73
9.,Prakash Industri,144.30,7.76,2584.15,1.04,93.32,2.74,919.87,8.91,9.55
10.,Mukand,138.96,3.32,2007.91,1.44,554.98,4991.56,1269.09,14.65,23.13
11.,Manaksia Steels,66.90,11.49,438.42,0.00,18.71,332.10,310.08,63.09,13.42
12.,Scan Steels,36.66,11.24,222.70,0.00,6.91,93.02,281.66,16.78,7.05
13.,KIC Metaliks,37.55,126.94,133.29,0.00,1.43,132.50,247.03,37.97,4.02
14.,Ankit Met.Power,1.52,,21.45,0.00,-76.06,-76.27,146.87,-25.51,-34.20
