S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,APL Apollo Tubes,1822.60,42.06,50606.02,0.32,354.35,20.89,6269.16,13.81,31.64
2.,Welspun Corp,1388.80,22.71,36635.24,0.36,371.46,19.76,4312.56,9.87,22.91
3.,Shyam Metalics,1001.30,26.12,27949.47,0.45,311.54,45.87,5240.36,26.60,13.01
4.,Godawari Power,280.20,23.17,18860.19,0.36,280.22,32.53,1610.27,9.69,20.37
5.,Ratnamani Metals,2614.90,37.43,18328.36,0.54,115.90,-52.04,1084.82,-36.75,17.92
6.,Jindal Saw,250.57,16.29,16024.16,0.80,123.68,-52.13,4633.48,-8.19,10.43
7.,Gallantt Ispat L,648.90,32.33,15656.72,0.19,122.83,5.61,1204.81,12.37,18.23
8.,Usha Martin,513.10,31.04,15636.30,0.58,148.03,56.00,979.26,9.28,20.18
9.,Jayaswal Neco,96.46,19.89,9366.25,0.00,190.87,87.79,1974.24,17.85,20.67
10.,Mah. Seamless,623.95,11.88,8360.41,1.60,102.84,-56.91,1280.11,-9.71,14.29
11.,Sunflag Iron,372.10,32.21,6705.97,0.20,34.28,-20.74,1000.69,13.31,4.06
12.,Technocraf.Inds.,2505.60,19.91,5680.90,0.80,77.74,15.33,711.70,1.34,16.10
13.,Surya Roshni,258.17,19.66,5618.71,1.65,98.30,-24.44,2163.25,0.81,15.84
14.,Aeroflex,419.75,100.03,5554.58,0.07,17.64,57.08,125.84,37.25,18.77
15.,Bansal Wire Inds,305.55,29.30,4783.57,0.00,40.07,24.52,1136.36,20.86,13.79
16.,Electrost.Cast.,74.00,24.11,4574.57,1.89,15.99,-90.51,1492.74,-12.23,5.21
17.,Goodluck India,1339.60,24.64,4452.63,0.30,56.10,30.07,1088.46,-1.46,14.42
18.,Shivalik Bimetal,712.70,42.52,4105.45,0.38,26.05,23.75,162.63,22.80,26.79
19.,Man Industries,537.55,23.65,4032.14,0.00,50.85,-25.39,1157.30,-5.02,16.21
20.,Kalyani Steels,809.50,13.54,3533.72,1.24,71.03,-9.30,484.39,-11.01,14.67
21.,Welspun Special.,51.53,150.61,3414.44,0.00,4.26,19.66,219.75,9.79,10.17
22.,Sambhv Steel,105.71,21.74,3114.97,0.00,55.78,238.88,685.31,38.37,19.07
23.,Venus Pipes,1449.00,29.34,3001.76,0.07,25.50,6.96,302.20,17.07,22.50
24.,JTL Industries,70.62,27.40,2697.98,0.18,37.86,104.58,692.68,47.55,9.57
25.,Vardhman Special,275.45,21.83,2663.21,1.09,33.98,72.23,457.92,6.98,15.38
26.,Rhetan TMT Ltd,30.66,237.21,2443.22,0.00,2.22,362.50,8.49,30.82,10.93
27.,MSP Steel & Pow.,41.10,17.20,2329.53,0.00,85.20,351.85,816.32,7.40,9.69
28.,Hi-Tech Pipes,87.22,23.26,1771.51,0.03,17.60,-0.17,1480.36,101.76,9.77
29.,Steel Exchange,12.34,58.32,1573.99,0.00,12.37,159.87,287.33,-1.40,9.76
30.,Mahamaya Steel,911.95,164.70,1498.74,0.00,4.07,-24.77,263.12,11.41,8.40
31.,Bharat Wire,209.63,19.84,1437.74,0.00,16.46,-20.10,141.48,-17.66,12.32
32.,BMW Industries,60.18,16.70,1354.57,0.71,33.02,88.20,209.50,33.32,12.35
33.,Hariom Pipe,422.45,17.25,1308.21,0.14,30.18,75.06,507.27,26.91,15.82
34.,Electrotherm(I),970.60,,1236.82,0.00,13.63,-88.22,1139.99,-1.82,0.45
35.,Ratnaveer Precis,168.90,17.86,1148.44,0.00,17.03,59.01,248.96,22.57,12.29
36.,Aeroflex Enter.,100.83,17.60,1140.24,0.30,25.67,120.59,199.58,24.09,12.58
37.,Tembo Global,597.05,12.12,1107.24,0.33,30.07,83.56,345.96,26.27,22.84
38.,Manaksia Coated,104.53,27.19,1106.28,0.05,5.37,6.76,227.46,9.41,19.86
39.,Rajputana Stain.,130.60,21.91,1091.39,0.00,13.10,58.40,254.91,2.82,25.22
40.,Gandhi Spl. Tube,850.95,14.97,1034.07,1.76,9.36,-22.93,47.21,8.95,31.62
41.,Cosmic CRF,1061.80,19.33,977.52,0.00,26.06,127.60,412.15,77.46,13.60
42.,Modern Malleable,79.18,47.71,922.64,0.00,8.79,-18.76,53.45,104.24,15.06
43.,India Homes,22.36,47.70,890.11,0.00,22.85,792.42,24.48,244700.00,17.52
44.,Uni Abex Alloy,4499.20,18.85,888.59,0.78,257.63,75.47,78.29,29.53,19.25
45.,Rama Steel Tubes,5.30,68.93,867.10,0.00,3.79,-37.43,246.15,-16.05,5.57
46.,Scoda Tubes,125.82,19.41,753.77,0.00,6.32,-7.47,123.57,-0.12,16.54
47.,Beekay Steel Ind,391.10,20.27,745.91,0.26,-20.10,-465.38,338.62,2.46,5.48
48.,Kamdhenu,24.98,8.99,704.14,1.00,17.43,1.99,207.64,4.96,29.39
49.,Azad India,104.20,239.37,567.30,0.00,1.41,683.33,8.76,-2.99,3.20
50.,Panchmahal Steel,295.15,,563.15,1.02,-2.12,-4.43,105.96,16.17,3.11
