S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Mayur Uniquoters,733.65,16.63,3187.90,0.68,59.43,43.20,273.35,9.10,24.74
2.,Bhartiya Intl.,696.95,69.54,934.64,0.00,-8.78,-158.85,312.70,29.68,8.05
3.,Mirza Internatio,30.06,,415.43,0.00,-13.22,-200.45,102.56,-15.90,-1.84
4.,Superhouse Ltd,154.47,46.28,170.30,0.52,-1.29,-244.94,154.95,-11.98,4.15
5.,Anka India,21.76,,112.16,0.00,-0.51,-2450.00,2.65,-50.74,0.42
6.,Zenith Exports,206.50,48.69,111.51,0.00,-0.12,74.47,13.10,-37.29,4.47
7.,Super Tannery,7.28,11.68,78.60,0.69,2.70,46.24,57.24,-17.04,8.23
8.,AKI India,4.85,25.93,50.05,0.00,0.76,16.92,36.58,52.29,4.67
9.,Aritas Vinyl,13.88,5.75,27.33,0.00,1.87,-13.43,51.73,3.13,11.65
10.,Amin Tannery,1.68,82.45,18.14,0.00,0.04,-63.64,6.13,-36.28,5.28
11.,Welterman Intl.,24.79,,11.01,0.00,-0.26,-1200.00,0.00,,
12.,NB Footwear,6.85,,9.25,0.00,-0.02,71.43,0.00,,
