S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Container Corpn.,450.95,27.66,34345.16,2.04,263.50,-12.39,2263.30,-1.07,12.41
2.,Delhivery,445.25,186.76,33336.65,0.00,72.40,-2.29,2850.00,30.04,2.82
3.,Shadowfax Technologies,201.07,102.08,11757.62,0.00,55.27,648.31,1205.81,73.62,9.66
4.,Blue Dart Expres,4700.10,39.76,11153.34,0.53,48.85,-11.26,1533.47,8.20,16.64
5.,Transport Corp.,933.30,15.70,7162.50,0.96,124.50,8.23,1323.80,12.30,19.54
6.,TVS Supply,129.67,30.77,5720.78,0.00,18.36,543.40,3032.22,21.35,9.88
7.,VRL Logistics,234.99,17.36,4110.84,3.19,72.14,-2.87,852.85,5.42,17.92
8.,Sindhu Trade,25.59,68.69,3945.80,0.00,13.96,123.67,115.26,-61.24,4.44
9.,Mahindra Logis.,348.95,1374.15,3462.37,0.72,22.36,399.11,1791.41,14.14,7.28
10.,Gateway Distri,56.14,10.88,2805.00,3.56,63.70,25.51,533.65,-0.24,10.83
11.,Afcom Holdings,898.45,21.15,2578.43,0.00,44.66,72.83,190.33,89.59,33.49
12.,TCI Express,528.05,24.41,2028.71,1.52,16.03,-9.50,328.08,6.77,13.86
13.,Navkar Corporat.,97.50,48.68,1467.56,0.00,13.98,175.45,200.77,92.55,3.05
14.,Allcargo Logist.,8.80,263.61,1318.05,12.50,20.00,-66.67,514.00,0.19,2.05
15.,Rel. Indl. Infra,762.60,92.94,1151.53,0.46,3.22,0.62,8.43,-32.51,3.01
16.,Western Carriers,96.08,25.23,979.59,0.00,8.26,-41.34,495.72,15.67,6.79
17.,Tejas Cargo,390.00,44.63,931.82,0.00,8.32,-19.92,326.84,31.48,12.13
18.,Shree Vasu Logis,747.90,148.72,859.61,0.00,3.37,206.36,62.45,52.61,14.36
19.,Ritco Logistics,259.40,20.64,742.47,0.00,4.01,-53.22,391.83,13.44,10.14
20.,Snowman Logistic,37.54,148.99,627.25,2.66,5.54,41.28,142.31,3.87,3.77
21.,TransIndia Real,25.40,16.83,624.07,1.97,9.86,61.63,21.58,7.79,3.81
22.,Glottis,65.26,15.99,603.02,0.00,10.71,-5.72,195.85,-36.23,23.53
23.,S J Logistics (I,380.75,7.68,582.29,0.00,43.43,49.50,370.89,33.62,32.38
24.,Sical Logistics,72.24,443.71,576.37,0.00,-8.78,-134.67,105.17,29.65,9.85
25.,DJ Mediaprint,111.29,38.11,382.59,0.09,5.35,134.65,46.42,95.86,16.21
26.,Lancer Containe.,10.44,65.51,368.81,0.00,10.90,133.60,138.87,17.97,1.95
27.,Tiger Logistics,34.46,16.93,364.33,0.00,2.22,-65.53,162.55,41.97,17.62
28.,Iware Supplych.,339.00,24.12,363.27,0.00,8.63,,164.23,,28.38
29.,Blue Water,284.25,12.40,312.68,0.00,9.19,111.75,135.38,157.72,31.40
30.,Committed Cargo,265.90,26.31,307.77,0.19,5.03,34.11,129.57,20.27,16.48
31.,OneClick Logisti,442.70,104.62,297.13,0.00,1.91,0.47,92.43,105.86,8.61
32.,AVG Logistics,151.74,13.80,283.88,0.79,5.36,-2.37,133.77,-6.01,12.61
33.,Globe Intl. Car.,25.16,28.75,281.68,0.00,1.53,-7.58,54.65,13.59,15.88
34.,Om Freight Forwa,82.17,17.99,276.71,0.00,4.05,-42.96,149.54,21.20,10.05
35.,Paradeep Pari.,157.95,8.17,251.42,0.00,14.38,-24.32,208.00,4.89,22.05
36.,Global Ocean,159.95,22.56,231.01,0.00,5.70,42.14,100.57,-0.89,38.96
37.,Aspinwall & Co,240.54,20.90,188.06,2.70,6.01,165.93,130.30,46.06,6.35
38.,North Eastn.Car.,15.13,19.52,151.30,0.00,0.70,-60.23,96.23,9.23,5.91
39.,Jayesh Logistics,165.00,14.23,143.41,0.00,5.31,-18.06,69.97,4.32,21.78
40.,Rapid Fleet,189.00,11.25,140.52,0.00,8.35,155.96,129.29,47.91,19.22
41.,Sanco Trans,694.65,16.50,125.04,0.65,2.45,619.57,35.48,25.50,7.76
42.,Autoriders Intl.,336.25,12.95,117.04,0.05,2.51,-21.81,28.58,14.73,17.66
43.,Jet Freight,23.54,16.06,109.23,0.00,3.08,1711.76,128.01,12.87,28.51
44.,Orissa Bengal,51.15,,107.84,0.00,-4.43,-288.60,93.71,19.57,-2.08
45.,Premier Roadline,45.60,7.62,104.25,0.00,6.04,-39.20,189.79,8.16,14.71
46.,Patel Integrated,13.76,9.97,95.75,2.18,2.99,60.75,96.63,11.54,8.06
47.,Flomic Global,50.88,298.19,92.44,0.20,3.53,82.90,108.01,-8.64,7.72
48.,Zeal Global Serv,69.00,8.24,91.84,0.00,6.53,21.15,114.20,-42.16,16.57
49.,Chart.Logistics,6.66,,84.68,0.00,-3.64,-275.26,17.72,-2.21,2.19
50.,Accuracy Shippi.,5.54,21.28,83.41,0.00,2.08,166.23,160.85,-31.99,6.98
51.,Total Transport,50.11,10.36,80.81,0.00,0.29,-93.97,154.69,-1.00,11.69
52.,Ashapura Logi.,54.65,8.21,74.08,0.00,2.55,-55.81,153.32,11.57,9.63
53.,Kesar Terminals,67.50,33.07,73.75,2.59,2.26,91.53,9.48,9.09,8.17
54.,Shreeji Translog,8.96,19.82,62.62,0.00,1.14,83.87,62.27,21.60,7.72
55.,Brace Port,53.95,16.61,60.97,1.58,2.49,-19.94,32.94,-8.58,12.08
56.,Cargotrans Marit,102.17,11.31,60.50,0.49,2.77,40.61,59.68,34.20,19.52
57.,Pranik Logistics,51.00,7.98,56.15,0.00,2.03,0.50,45.71,51.61,16.88
58.,Neptune Logitek,40.50,8.94,55.49,0.00,1.75,-49.55,108.26,-20.19,15.38
59.,Shipwaves Online,3.77,14.94,53.34,0.00,-0.84,-116.86,50.19,-19.80,8.38
60.,Sunsky Logistics,42.55,18.56,52.91,0.00,1.05,-12.50,13.05,11.83,20.01
61.,Deccan Transcon,23.00,6.41,52.26,0.00,3.83,194.62,86.80,-3.25,8.31
62.,Rapid Multimodal,132.50,26.72,50.50,0.00,1.41,42.42,73.33,23.85,16.95
63.,East WestFreight,2.76,,35.21,0.00,0.08,,36.47,-32.60,1.60
64.,GB Logistics,38.00,2.33,31.14,0.00,7.10,180.63,68.12,33.99,28.20
65.,Arshiya,1.18,,31.09,0.00,-0.06,-101.15,4.50,0.00,
66.,Timescan Logist.,41.50,4.58,29.00,0.00,4.45,9.34,169.88,24.39,25.91
67.,Transvoy Logist.,85.00,12.94,22.64,0.00,0.55,-61.81,34.82,67.48,10.97
68.,Containerway Int,17.98,,20.81,0.00,-0.24,33.33,2.19,-71.96,-19.91
69.,Marinetrans Indi,15.90,33.72,20.23,0.00,0.29,11.54,70.44,-10.79,5.32
70.,Cargosol Logist.,18.25,,18.62,0.00,-0.50,-155.56,64.09,5.39,7.35
71.,PDP Shipping,59.00,13.93,17.55,0.00,0.34,-81.82,15.14,25.23,9.51
72.,MFL India,0.42,9.58,15.13,0.00,-0.40,51.81,18.23,-65.12,-9.96
73.,BLT Logi.,31.00,3.87,14.87,0.00,2.18,-22.14,30.56,11.49,22.82
74.,Amiable Logistic,79.95,14.56,13.98,0.00,0.47,370.00,10.45,14.46,12.81
75.,Dhillon Freight,35.10,10.19,13.76,0.00,0.72,-47.06,11.54,4.34,16.42
