S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Castrol India,183.52,18.62,18152.37,4.77,242.18,3.74,1545.24,8.67,60.27
2.,Gulf Oil Lubric.,905.90,12.21,4485.72,5.30,90.02,-1.75,1040.24,13.68,27.46
3.,Savita Oil Tech,560.50,19.82,3842.81,0.71,50.34,45.79,1223.96,21.71,15.68
4.,Veedol Corporat,1475.80,13.42,2571.43,3.93,57.46,-3.75,606.98,14.04,24.23
5.,Panama Petrochem,344.75,9.81,2085.52,1.45,71.08,60.56,822.77,18.35,19.15
6.,Gandhar Oil Ref.,160.73,11.62,1573.22,0.47,37.05,248.59,1093.37,13.69,13.19
7.,GP Petroleums,42.20,7.45,215.15,0.00,9.33,19.72,162.66,-10.95,10.90
8.,Arabian Petrol.,67.00,6.48,72.98,0.00,5.21,3.37,200.25,36.98,18.41
9.,Greenhitech Ven.,47.01,81.41,61.06,0.00,0.64,-36.00,18.53,118.77,2.40
10.,Sundrex Oil,30.45,7.67,40.78,0.00,2.90,-16.18,67.25,96.29,21.24
