S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Prime Focus,240.19,79.36,18638.52,0.00,117.70,-24.77,1384.47,41.42,11.50
2.,Saregama India,476.20,43.05,9181.59,0.94,74.14,35.42,287.44,19.36,17.76
3.,Tips Music,690.95,40.75,8832.52,1.88,59.06,92.94,103.93,32.41,122.19
4.,Netwrk.18 Media,33.41,140.38,5151.82,0.00,-29.61,9.14,615.78,9.70,3.02
5.,Balaji Telefilms,87.34,,1064.69,0.00,-14.16,-114.98,47.62,-28.12,-9.54
6.,Ent.Network,112.79,275.73,537.67,1.77,8.27,-18.52,142.14,-10.16,-0.75
7.,Basilic Fly Stud,201.35,9.96,508.71,0.00,15.40,-29.81,113.40,-15.12,22.32
8.,Gretex Industrie,251.00,278.00,389.20,0.00,0.10,-92.09,27.60,43.97,3.01
9.,Shemaroo Entert.,113.47,,326.00,0.00,-71.97,-1308.59,139.48,-31.72,-39.45
10.,Phantom Digital,177.35,8.66,282.39,0.00,20.69,150.18,84.98,139.11,17.61
11.,Music Broadcast,6.35,,219.51,0.00,-47.96,-26.11,40.79,-25.39,-8.28
12.,Bluegod Enterta.,2.05,23.31,134.48,0.00,5.08,2108.70,12.00,4515.38,
13.,Cinevista,16.06,15.12,92.24,0.00,0.82,103.17,7.30,-36.36,14.45
14.,Maxposure,32.00,7.68,72.77,0.00,4.38,25.86,42.55,32.10,15.27
15.,Digikore Studios,56.70,5.68,71.81,0.00,6.53,165.10,31.55,134.05,24.67
16.,Studio LSD,10.30,,53.45,0.00,2.49,-47.47,32.84,-21.72,-1.38
17.,Shalimar Prod.,0.47,,46.26,0.00,-0.27,-35.00,0.00,-100.00,-1.15
18.,Next Mediaworks,3.80,,25.42,0.00,-1.93,6.20,0.00,,-0.62
19.,Identical Brains,17.30,15.35,24.26,0.00,0.21,-86.45,9.61,-31.75,5.41
20.,Silly Monks,16.80,,20.93,0.00,-1.12,-11100.00,5.07,-21.64,-17.68
21.,Radiowalla,28.50,154.54,20.09,0.00,0.40,2.56,10.07,4.03,1.87
22.,Radaan Media.,3.03,,16.41,0.00,-0.78,-59.18,1.65,-28.26,-38.00
23.,Inspire Films,10.05,36.97,13.68,0.00,2.10,256.72,3.22,-14.13,2.92
24.,Creative Eye,6.74,,13.52,0.00,-0.14,-147.83,0.42,-65.00,-4.54
