S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Poly Medicure,1419.80,43.98,14391.02,0.25,65.04,-27.81,534.51,21.25,14.04
2.,Fischer Medical,33.42,70.52,2187.39,0.01,-7.10,-641.98,97.73,98.76,11.43
3.,Laxmi Dental,229.90,37.79,1263.58,0.00,10.10,149.50,73.95,21.89,14.86
4.,Q-Line Biotech,494.85,25.60,1154.40,0.00,,,,,24.73
5.,Tarsons Products,210.73,74.45,1121.22,0.00,4.18,-60.59,120.93,7.31,4.56
6.,OSEL Devices,484.25,29.46,861.70,0.00,14.06,16.78,145.81,47.10,24.40
7.,Vasa Denticity,435.30,70.03,754.96,0.00,1.36,-68.52,72.41,-0.54,9.21
8.,Hemant Surgical,378.15,27.05,493.05,0.00,12.83,159.19,166.73,189.16,19.64
9.,Prevest Denpro,385.00,21.57,462.12,0.26,6.06,15.43,18.90,1.94,24.67
10.,Aprameya Enginee,167.55,63.30,319.02,0.00,-1.72,-109.64,12.61,-90.03,12.64
11.,Nureca,236.20,108.36,225.38,0.00,-6.09,-346.56,35.41,11.56,3.28
12.,Vaidya Sane,188.20,22.01,197.86,0.00,4.16,-0.24,56.96,18.37,15.14
13.,QMS Medical,92.50,17.66,178.87,0.54,2.02,-48.50,44.42,-0.36,13.18
14.,Earkart,119.00,33.20,163.67,0.00,3.08,,31.75,,17.48
15.,Choksi Asia,140.15,14.99,79.90,0.00,0.75,5.63,11.86,-2.39,18.49
16.,Mohini Health,36.00,,65.65,0.00,-11.23,-143.48,70.92,-7.09,-2.69
17.,Royal Sense,110.05,8.23,58.88,0.00,3.10,-21.72,59.89,50.82,26.15
18.,Shree Pacetronix,141.75,16.93,53.15,0.00,1.11,146.67,5.37,25.47,23.30
19.,Amkay Products,56.85,21.30,49.21,0.00,0.34,-77.48,19.02,-7.45,12.77
20.,KMS Medisurgi,132.80,175.28,43.82,0.04,0.01,-97.22,5.59,-8.66,4.87
21.,GKB Ophthalmics,62.00,16.41,31.25,0.00,1.12,112.47,29.79,-3.97,11.00
22.,Centenial Surgic,82.51,,30.10,0.00,-2.31,-95.76,12.58,-5.48,2.52
23.,Galaxy Medicare,19.25,8.54,29.21,1.82,1.40,-15.66,21.27,-3.14,13.62
