S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Bajaj Finance,889.40,28.83,553736.38,0.61,5553.30,21.99,21605.79,18.10,10.82
2.,Shriram Finance,923.30,21.67,217236.85,1.17,3020.95,40.94,12513.43,9.25,11.47
3.,Tata Capital,314.80,27.39,133628.48,0.00,1466.27,42.82,8160.10,9.12,8.58
4.,Cholaman.Inv.&Fn,1503.20,24.49,128138.95,0.13,1645.20,30.62,8416.71,19.46,9.70
5.,Muthoot Finance,3153.10,11.95,126587.03,0.95,3397.48,126.67,9288.71,65.23,15.77
6.,L&T Finance Ltd,268.60,22.41,67297.90,1.02,809.16,26.79,4771.03,18.60,8.40
7.,SBI Cards,589.60,25.89,56106.88,0.42,609.30,14.06,4934.50,5.57,10.10
8.,HDB FINANC SER,641.95,20.96,53303.53,0.62,750.60,41.38,4745.40,11.24,9.09
9.,Sundaram Finance,4105.40,21.57,45612.58,0.97,554.17,1.41,2560.40,13.34,9.45
10.,M & M Fin. Serv.,289.85,13.64,40288.31,2.59,940.48,105.16,5538.73,13.37,8.72
11.,Authum Invest,462.70,20.35,39293.66,0.04,57.54,-96.61,310.71,-78.60,13.67
12.,Poonawalla Fin,389.85,63.34,34319.15,0.00,254.79,308.78,2115.49,81.39,7.50
13.,Manappuram Fin.,308.20,28.86,28950.34,1.14,404.79,311.30,2613.83,10.71,8.26
14.,IIFL Finance,516.90,13.24,21985.05,0.77,623.26,182.57,3692.50,42.50,10.78
15.,Capri Global,202.77,20.55,19509.60,0.10,282.82,59.12,1384.98,44.67,11.67
16.,Five-Star Bus.Fi,436.70,11.73,12890.30,0.46,269.27,-3.53,816.95,8.60,14.76
17.,SBFC Finance,92.96,22.83,10293.52,0.00,122.77,30.05,454.04,25.92,11.80
18.,Bengal & Assam,7109.00,9.76,8107.03,0.70,203.67,-9.15,630.17,20.94,3.96
19.,Dhenu Buildcon,10.84,,6432.23,0.00,-2.65,-6733.33,-0.94,-9500.00,0.04
20.,Fedbank Financi.,160.58,17.49,6010.87,0.00,100.53,40.31,616.45,14.96,9.06
21.,MAS FINANC SER,306.15,14.83,5555.20,0.56,104.48,25.04,542.47,23.54,11.26
22.,Paisalo Digital,57.87,22.13,5263.40,0.17,72.23,57.98,260.92,34.65,12.33
23.,Northern Arc,296.85,11.81,4796.26,0.00,132.65,250.90,741.66,23.09,9.71
24.,Indostar Capital,234.83,,3794.41,0.00,-423.93,-3491.44,346.67,-6.95,-2.58
25.,SG Finserve,570.35,29.44,3758.32,0.00,42.27,77.68,105.41,94.88,9.32
26.,Aye Finance,146.86,18.72,3624.27,0.00,85.91,111.08,528.44,29.16,11.32
27.,Mrugesh Trading,40.70,,2940.37,0.00,-0.50,-61.29,6.51,-16.32,-0.49
