S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,L T Foods,384.85,21.37,13364.03,0.78,135.67,-15.48,2906.70,30.44,17.74
2.,KRBL,356.65,12.60,8163.36,0.98,155.38,0.76,1525.50,5.77,15.16
3.,Guj. Ambuja Exp,155.86,23.27,7148.84,0.16,135.32,322.57,1466.51,15.78,12.51
4.,Kaveri Seed Co.,858.40,14.93,4415.53,0.58,-27.81,-21.23,107.11,18.68,18.79
5.,TruAlt Bioenergy,505.15,45.15,4331.79,0.00,60.94,-46.39,595.52,-34.34,10.44
6.,GRM Overseas,152.18,42.42,3153.32,0.00,21.61,5.52,597.20,104.95,13.99
7.,Sanstar,117.96,62.40,2149.75,0.00,20.49,271.20,216.78,-4.47,5.69
8.,Chamanlal Setia,278.85,12.08,1386.60,0.90,38.27,55.89,428.37,16.50,18.32
9.,Gulshan Polyols,201.64,11.72,1257.64,0.15,37.54,434.76,550.82,6.98,18.31
10.,A C J K Exports,120.81,12.11,1251.01,0.00,19.96,65.64,694.68,19.70,15.70
11.,AVT Natural Prod,69.16,16.25,1053.31,1.01,22.02,53.34,226.49,44.43,14.22
12.,Bombay Super Hyb,96.60,38.02,1013.69,0.00,4.41,4.50,66.43,44.70,15.97
13.,Regaal Resources,84.48,14.34,867.81,0.00,16.54,47.94,244.61,-5.39,12.05
14.,Modi Naturals,448.30,12.85,596.53,0.00,19.67,96.20,243.08,28.00,22.02
15.,Sukhjit Starch,171.72,19.86,536.52,0.58,14.59,421.07,401.69,11.66,7.62
16.,Mangalam Global,15.47,14.00,509.82,0.06,12.48,160.54,1063.96,98.23,16.83
17.,Sarveshwar Foods,3.77,14.62,464.72,0.00,7.35,-14.53,382.62,9.41,10.41
18.,Shreeji Global,161.90,18.50,368.48,0.00,8.81,54.29,472.92,58.13,25.62
19.,Sayaji Industr,135.65,250.31,342.92,0.00,10.63,241.60,267.59,8.53,8.18
20.,Sheetal Univer.,295.50,29.41,338.52,0.17,9.98,25.22,127.69,169.33,22.49
21.,Nath Bio-Genes,169.33,8.88,321.79,1.18,-0.01,-101.06,51.59,-0.73,7.10
22.,Aelea Commoditi.,154.05,14.72,313.78,0.00,12.61,583.14,207.81,120.14,20.91
23.,Prime Fresh,222.65,23.39,309.04,0.00,3.24,47.67,79.91,49.98,21.39
24.,Halder Venture,245.46,10.62,305.31,0.41,19.14,290.47,299.91,104.03,13.48
25.,Sawaliya Food,300.20,37.22,297.74,0.00,5.28,,21.40,,24.98
26.,Tierra Agrotech,42.84,,281.00,0.00,-1.27,74.70,21.67,345.88,-6.53
27.,BharatRohan Air.,122.50,23.02,244.06,0.00,5.96,-4.37,52.49,273.59,21.28
28.,Indo US Bio-Tech,97.70,14.93,195.91,0.26,1.97,-46.47,26.02,-22.05,14.50
29.,Nag. Agri Tech.,51.74,118.37,158.61,0.00,1.15,2480.00,22.46,,
30.,SC Agrotech,19.79,45.03,150.39,0.00,0.38,150.67,43.35,,7.17
