S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1,Midwest Gold,3992.75,,5179.47,0,-3.45,,5.76,,-2.55
2,Ramco Inds.,307.25,8.87,2668.21,0.33,87.63,128.93,501.83,18.74,4.57
3,Arisinfra Solu.,113.89,17.11,931.18,0,21.66,1332.3,343.36,55.26,15.57
4,Everest Inds.,353.7,,560.82,0.71,-47.17,-31346.67,327.17,-27.72,-8.54
5,Vishnusurya Pro.,156.8,11.42,406.51,0.64,8.01,7.23,127.38,35.93,19.92
6,Nidhi Granites,418,43.54,334.4,0,1.94,320.45,16.66,58.97,51.01
7,Sahyadri Industr,268.5,9.98,293.91,0.37,10.55,147.07,194.52,28.46,9.71
8,Marble City,90.55,32.4,231.04,0,2.43,-63.6,34.42,35.73,13.77
9,Teamtech Formwork,76.4,19.76,229.02,0,7.33,,31.74,,41.17
10,Glittek Granites,42.66,,110.74,0,0.26,-99,0,-100,-3.38
11,Ravi Leela Gran,64.33,6.86,68.1,0,3.89,1791.3,22.68,40.09,20.89
12,Divyashakti,46.58,45.55,47.83,4.29,0.08,-82.98,8.71,-52.33,0.76
13,Lerthai Finance,575.25,,40.27,0,-0.25,-31.58,0,,-3.94
14,MCON Rasayan,49.95,12.05,36.64,0,1.8,76.47,36.86,26.32,11.06
15,Associated Cera.,170,16.71,34.76,0,-0.19,-176,9.25,-17.92,9.83
16,Inani Marbles,11.21,115.83,20.85,0.36,0.41,158.57,10.47,-6.01,2.46
17,Shiva Granito,13.5,1784,17.84,0,0,-100,2.15,18.13,2.25
18,Jai Mata Glass,1.7,,17,0,-0.06,89.66,0,-100,-10.27
19,Solid Stone Co,26.49,28.5,14.25,0,0.3,50,9.06,18.59,7.22
20,Neelkanth Rock,23.9,52.39,12.05,0,0.24,-35.14,0,,3.92
21,Sashwat Technoc,322.25,,9.99,0,-0.08,-166.67,0,,-11.02
22,Milestone Global,18.97,12.69,9.52,0,0.31,416.67,3.13,-3.99,9.49
23,Mayur Floorings,18.35,62.07,9.31,0,0.09,1000,2.53,75.69,6.58
24,Triveni Glass,6.6,,8.33,0,-0.27,-92.86,0,,-20.39
25,Jain Marmo Inds,22.05,230,6.9,0,0.01,109.09,0.47,67.86,2.95
