S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Waaree Energies,3053.00,22.37,87819.95,0.07,1126.26,70.64,8480.25,111.80,38.78
2.,Apar Inds.,13878.00,55.69,55753.80,0.37,253.44,3.66,6602.81,26.74,31.12
3.,Premier Energies,1080.10,32.48,49031.30,0.09,456.84,64.44,2230.30,37.60,33.32
4.,Emmvee Photovol.,334.35,21.40,23148.56,0.00,392.38,89.43,1738.81,62.25,44.83
5.,Avalon Tech,1607.90,95.08,10738.79,0.00,41.15,69.48,479.89,40.00,19.54
6.,Diamond Power,203.60,72.71,10729.13,0.00,57.21,638.19,714.62,114.08,24.20
7.,Waaree Renewab.,970.25,21.15,10124.15,0.10,155.71,60.69,1102.40,131.31,83.61
8.,Fujiyama Power,328.30,33.13,10075.58,0.00,106.32,107.49,900.77,87.52,34.95
9.,Genus Power,308.40,15.84,9382.84,0.79,171.76,41.08,1537.13,64.09,23.94
10.,Vikram Solar,213.04,16.27,7719.08,0.00,110.42,21.86,1452.82,21.73,30.53
11.,Saatvik Green,463.55,16.35,5891.95,0.00,60.42,-33.60,1607.66,74.95,32.92
12.,Websol Energy,110.76,15.81,4808.79,0.00,124.50,152.31,401.45,132.07,63.18
13.,Shilchar Tech.,4069.00,29.43,4655.02,0.31,28.39,-48.72,151.65,-34.59,50.72
14.,Ram Ratna Wires,391.50,33.36,3654.62,0.32,39.23,116.84,1752.85,83.21,23.63
15.,Oriana Power Ltd,1686.40,13.58,3426.62,0.00,130.41,19.02,1032.49,64.51,39.61
16.,Bharat Bijlee,2841.00,26.74,3211.22,1.23,39.30,-21.88,767.09,23.90,8.14
17.,Alpex Solar,1000.45,12.64,2555.45,0.00,53.27,50.27,671.96,105.25,43.53
18.,Servotech Renew,104.26,64.94,2354.66,0.05,11.73,49.43,209.64,66.21,15.52
19.,Ravindra Energy,128.11,28.38,2289.25,0.00,12.62,-52.63,133.06,-16.31,15.89
20.,Marsons,128.92,47.92,2218.71,0.04,22.58,149.89,92.26,65.34,25.39
21.,Yash Highvoltage,703.00,51.69,2011.29,0.14,23.72,68.89,135.57,46.53,28.66
22.,Rishabh Instrum.,512.45,24.28,1979.26,0.00,20.03,212.20,204.86,9.29,14.46
23.,Modern Insulator,386.25,22.82,1820.93,0.00,23.84,186.54,202.51,26.60,19.40
24.,RIR Power Electr,170.20,201.54,1354.32,0.12,1.39,-45.49,23.95,-9.49,7.96
25.,Modison,362.70,14.95,1176.96,0.96,36.00,442.75,287.32,120.90,30.86
26.,Salzer Electron.,619.05,20.53,1094.65,0.40,10.02,13.61,462.09,26.40,11.38
27.,Mangal Electrica,319.35,20.44,882.37,0.00,12.75,-8.47,179.42,17.24,14.73
28.,Hindusthan Insulators &,1222.70,28.32,882.11,0.04,20.91,229.62,108.88,28.90,10.71
29.,Vivid Electromech,967.10,27.19,859.54,0.00,22.16,41.69,129.57,27.96,58.63
30.,Prostarm Info,137.72,23.34,810.82,0.00,8.76,28.07,102.95,32.04,17.71
31.,Ganesh Green,320.55,10.58,795.00,0.00,42.34,147.60,724.85,300.98,36.81
32.,Permanent Magnet,847.15,45.94,728.55,0.24,3.99,134.18,66.54,46.95,14.07
33.,Spel Semiconduct,157.25,,725.24,0.00,0.77,118.66,2.18,-11.02,0.12
34.,Kirl. Electric,107.31,44.02,712.69,0.00,-0.63,83.64,163.57,26.67,18.25
35.,Indo SMC,280.00,19.76,639.95,0.00,20.93,344.37,197.20,186.09,33.91
36.,Supreme Power,245.20,29.98,612.78,0.00,11.03,-3.84,109.42,21.62,21.51
37.,Parth Electrical,440.00,42.23,601.39,0.00,8.13,35.73,117.61,12.26,21.05
38.,Magnus Steel,114.65,133.19,600.70,0.00,1.52,590.91,7.14,385.71,170.70
39.,Urja Global,10.81,423.90,568.02,0.00,0.36,66.67,17.58,2.33,1.27
40.,GP Eco Solutions,461.60,13.61,546.11,0.00,32.94,424.16,292.91,79.56,38.27
41.,S & S Power Swit,397.80,48.56,490.95,0.00,1.90,1457.14,65.07,17.24,9.29
42.,Saakshi Medtech,246.20,35.37,434.69,0.00,5.66,349.21,57.19,19.22,14.32
43.,GEE,80.14,27.24,416.54,0.00,3.54,135.88,112.16,27.50,11.12
44.,Artemis Electri.,16.30,46.18,409.19,0.03,3.10,-18.64,40.75,8.70,12.97
45.,Delton Cables,421.85,25.05,364.48,0.47,1.26,-73.14,320.31,58.39,14.81
46.,RMC Switchgears,300.95,14.15,318.46,0.00,9.27,-5.89,142.94,-13.71,22.01
47.,Sahaj Solar,138.70,10.31,304.75,0.36,25.22,7.01,308.07,32.98,21.62
48.,Sugs Lloyd,120.00,9.71,278.57,0.00,16.88,58.95,177.69,57.47,29.04
49.,Kaycee Inds.,818.40,52.15,259.72,0.24,0.86,-54.01,16.80,9.23,21.86
50.,Dhanashree Elect,178.00,68.45,252.58,0.06,1.19,-19.05,48.30,15.86,10.00
