S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,CRISIL,3878.90,33.79,28366.40,0.64,233.26,45.93,1057.66,30.06,32.55
2.,RRPSemiconductor,9259.35,,12614.94,0.00,-0.18,88.68,0.00,-100.00,-32.66
3.,Onemi Technology,269.85,16.15,4546.51,0.00,82.18,51.71,619.35,67.76,22.59
4.,Colab Platforms,152.05,657.17,3101.82,0.01,0.83,-12.63,50.85,148.90,24.27
5.,Algoquant Fin,54.66,46.93,1536.47,0.00,15.88,1398.11,77.28,43.35,31.43
6.,LKP Finance,176.35,62.10,1354.51,0.00,6.17,130.19,302.48,1992.87,6.77
7.,Centrum Capital,21.94,,1068.10,0.00,-31.27,-573.32,1029.69,-7.75,7.45
8.,Prime Securities,300.90,107.71,1020.06,0.50,-13.22,-287.01,30.20,144.93,8.25
9.,Wealth First Por,926.95,25.55,987.67,2.16,10.49,345.22,16.51,606.44,34.63
10.,RNFI Services,248.65,21.50,623.13,0.00,8.36,66.45,239.34,11.59,27.26
11.,The Invest.Trust,99.24,17.63,518.45,0.00,6.09,6.78,53.12,-43.48,8.54
12.,NDL Ventures,129.73,480.02,436.82,0.39,0.15,7.14,0.00,,2.04
13.,Corporate Merch,54.78,142.35,347.33,0.00,0.33,-84.36,0.00,,2.68
14.,Alacrity Sec.,68.72,51.63,320.65,0.00,-5.55,-7.77,124.97,48.26,9.20
15.,Stellant Secu.,544.90,14.16,301.66,0.00,-4.99,-2872.22,5.89,1684.85,71.73
16.,Regency Fincorp,32.69,20.96,281.24,0.00,3.53,36.29,10.28,40.82,10.51
17.,Akiko,254.00,17.84,273.55,0.00,5.52,2.60,57.72,48.11,37.12
18.,Hi-Klass Trading,86.50,,261.38,0.00,-2.32,-217.81,0.64,1500.00,-1.46
19.,Gamco Ltd,41.82,,225.96,0.24,-47.84,-164.89,70.52,1259.87,-9.04
20.,Delphi World,9.20,72.79,225.65,0.00,-1.86,-172.47,68.52,445.11,8.95
21.,Kartik Invest.,8777.10,41.99,214.16,0.00,0.01,200.00,0.00,,94.69
22.,Yash Trad.& Fin.,189.70,1355.00,189.70,0.00,0.00,100.00,12.75,,6.21
23.,Shree Salasar,239.50,9.15,166.98,0.00,5.07,1117.50,29.68,81.09,20.28
24.,Jhaveri Credits,168.50,58.55,159.84,0.00,2.88,-65.22,47.80,-8.52,2.63
25.,Available Fin.,152.75,1.45,155.86,0.00,19.91,-37.90,0.16,14.29,0.02
26.,Paul Merchants,500.95,16.92,154.49,0.00,2.29,225.07,482.12,-17.23,2.54
27.,Iconik Sports,45.10,35.17,152.63,0.00,1.14,-64.04,18.35,44.37,10.46
28.,Thacker & Co.,1392.40,7.89,151.45,0.00,4.38,-24.09,1.26,-33.33,2.30
29.,Reliable Data,145.26,21.57,149.91,0.03,1.28,-64.86,55.03,3.81,12.16
30.,Maha Rashtra Apx,48.17,,135.76,0.00,-4.96,-135.99,0.06,-80.00,-1.47
31.,Pioneer Invest,107.45,8.30,132.13,0.00,1.69,-40.49,3.90,-60.65,10.95
32.,Nexome Cap. Mkt.,112.60,10.06,120.88,1.33,9.45,3412.90,21.91,122.21,10.26
33.,Escorp Asset Mgt,100.00,37.31,111.17,0.00,0.12,-93.30,0.46,-77.56,5.36
34.,Arunjyoti Bio,5.29,,98.60,0.00,-5.40,-33.67,7.24,37.12,-0.64
35.,Tomorrow Tech.,8.50,,97.58,0.00,-0.80,23.08,0.01,-66.67,-3.39
36.,Prithvi Exchange,110.85,27.46,91.45,1.80,-0.37,366.67,940.75,30.42,8.18
37.,My Mudra Fin.,76.80,7.29,87.49,0.00,6.63,7.98,58.89,26.29,26.18
38.,Transcorp Intl.,26.55,10.13,85.00,2.26,3.91,132.74,195.99,-22.31,15.11
39.,Charter. Capital,264.70,29.40,79.67,0.00,-3.41,-347.10,-3.28,-223.31,2.35
40.,GACM Tech,0.53,8.65,67.74,0.00,1.57,2.61,4.85,17.15,10.07
41.,B N Rathi Sec.,16.13,7.13,67.34,3.10,2.62,592.11,14.85,77.42,18.94
42.,Apoorva Leasing,33.00,206.00,65.92,0.00,0.06,120.69,0.72,305.71,0.23
43.,HB Portfolio,60.11,239.63,64.70,1.66,-3.44,-12.42,11.75,173.26,0.72
44.,Guj. Credit Corp,24.90,778.12,62.25,0.00,0.50,308.33,0.00,,0.07
45.,SPA CAPT SER,199.00,69.52,61.18,0.00,0.44,345.45,10.95,-21.84,3.64
46.,Elixir Capital,104.65,20.04,60.73,1.19,-7.34,9.98,-1.10,-389.47,6.61
47.,Real Touch Fin,46.55,11.38,59.08,0.00,0.97,42.65,11.32,44.57,11.13
48.,Bridge Securitie,14.35,35.99,55.79,0.00,0.39,181.25,0.80,,43.60
49.,Futuristic Solu,52.00,69.79,54.44,0.00,0.26,620.00,5.38,,7.04
50.,ARC Finance,0.58,70.21,50.55,0.00,0.48,114.12,5.64,54.52,1.28
51.,ISL Consulting,20.84,,50.02,0.00,-2.82,-80.77,4.27,-39.77,-17.01
52.,Caspian Corporat,37.30,70.48,47.22,1.34,0.06,140.59,28.33,45.36,4.23
53.,Toyam Sports,0.73,,42.18,0.00,-6.18,31.15,0.00,-100.00,-3.64
54.,Share Samadhan,34.15,72.24,41.90,0.00,0.10,-89.18,2.41,-75.88,1.58
55.,Nam Securities,75.39,290.36,40.65,0.00,-0.25,-31.58,8.39,84.80,1.75
56.,Ajcon Global,6.06,161.13,37.06,0.00,-0.52,35.06,19.80,489.29,3.01
57.,Relic Tech.,65.88,,36.83,0.00,-2.93,-356.82,0.47,0.00,-34.37
58.,Biogen Pharma,0.34,41.63,35.80,0.00,-0.36,-130.51,0.58,-57.04,1.01
59.,MPIL Corporation,620.00,,35.34,0.07,-3.65,-54.66,0.01,0.00,-21.60
60.,Supra Trends,14.58,,34.49,0.00,-0.45,48.28,2.68,2877.78,-7.17
61.,Shyamkamal Inv,13.05,149.87,34.47,1.53,-0.49,-146.67,-0.10,-113.51,5.15
62.,Sumedha Fiscal,39.39,13.00,31.45,2.54,-2.30,-951.85,28.73,71.62,4.91
63.,Darjeeling Industriies,34.99,16.18,27.51,0.00,0.07,116.67,0.75,,22.21
64.,West Leisure,90.00,549.60,27.48,0.11,0.01,106.67,0.10,190.91,0.51
65.,Bervin Invest.,46.00,,27.13,0.00,1.86,72.22,0.00,,-50.22
66.,Navigant Corp.,80.78,27.99,25.47,0.00,0.39,-52.38,2.30,-37.84,10.23
67.,Vertex Secur.,2.74,,25.09,0.00,-1.44,-166.67,1.11,-23.45,-12.04
68.,Ashirwad Cap.,2.72,23.54,24.48,0.00,0.09,28.57,0.19,5.56,6.70
69.,Jindal Capital,32.86,20.96,23.69,0.00,0.34,254.55,1.35,75.32,11.16
70.,Roselabs Finance,22.00,,22.00,0.00,-0.16,-220.00,0.00,-100.00,-166.67
71.,KJMC Corporate,54.90,11.00,21.56,0.00,-0.17,60.47,2.29,92.44,5.87
72.,Visagar Finan.,0.36,,21.02,0.00,-0.96,58.97,2.75,-76.29,1.06
73.,Step Two Corp.,28.22,,20.87,0.00,-1.36,-162.96,3.16,22.96,-32.15
74.,Richfield Fin,26.58,56.97,19.94,0.00,-0.16,-245.45,4.30,150.00,9.08
75.,CMX Holdings,16.83,,19.09,0.00,-0.18,-28.57,0.00,,-1250.00
76.,NDA Securities,31.52,,18.75,0.00,0.50,-46.24,5.25,288.89,0.00
77.,Munoth Fin.Serv.,32.64,,16.76,0.00,-1.27,-195.35,0.00,-100.00,-7.06
78.,Bharat Bhushan,24.37,183.11,16.48,2.46,-0.43,-126.32,-0.21,-50.00,0.76
79.,Classic Leasing,52.80,14.14,15.84,0.00,0.46,475.00,0.51,104.00,10.83
80.,Guj. Lease Fin.,5.80,314.60,15.73,0.00,0.06,20.00,0.00,,0.84
81.,Gajanan Sec.Serv,49.35,22.19,15.31,0.00,0.19,-20.83,-0.04,,0.71
82.,KBS India,1.39,167.11,15.04,0.00,-0.10,-266.67,-0.05,-111.63,0.39
83.,Stellar Capital,5.97,,14.90,0.00,-0.77,61.50,0.65,-33.67,-0.19
84.,Yogi Infra Proj.,8.82,,14.86,0.00,11.09,3065.71,47.96,-77.61,3.65
85.,Trio Merc. Trad.,2.17,1474.00,14.74,0.00,0.08,100.00,1.27,1487.50,0.53
86.,Market Creators,13.92,,14.62,0.00,-0.21,-176.19,5.28,-25.53,5.58
87.,Daulat Securitie,29.00,,14.50,0.00,-2.95,-52.06,-2.84,-65.12,-9.59
88.,DJS Stock,1.89,713.00,14.26,0.00,0.00,-100.00,0.00,,0.61
89.,Triumph Intl.,18.97,3.64,14.23,0.00,0.89,-41.45,0.00,,8.58
90.,Comfort Comtrade,13.90,,13.93,3.60,-13.16,-19.96,-17.28,-28.00,-27.07
91.,NPR Finance,22.75,64.90,13.63,0.00,-0.08,0.00,1.00,-48.72,0.58
92.,Mid East Port.,27.02,15.80,13.59,0.00,-0.50,-350.00,0.00,,22.66
93.,Svaraj Trading,8.31,21.89,12.26,0.00,-0.04,82.61,0.00,,1.07
94.,Yunik Managing,8.15,,11.65,0.00,-0.06,-700.00,0.00,,-108.70
95.,Ontic Finserve,1.22,20.33,10.98,0.00,-0.17,-440.00,0.00,,19.26
96.,Nexus Surgical,19.40,14.35,10.62,0.00,0.24,166.67,2.05,38.51,69.23
97.,Modern Shares,34.00,49.85,9.97,0.00,-0.06,-20.00,0.73,-6.41,2.62
98.,Longspur Intl,7.29,18.77,9.95,0.00,-0.29,-238.10,1.47,-4.55,2.26
99.,Libord Securitie,19.75,,9.88,0.00,-0.32,45.76,0.00,,-1.37
100.,Inani Securities,20.90,119.12,9.53,0.00,0.00,-102.86,0.30,-6.25,1.44
101.,GACM Tech-DVR,0.49,1.08,9.29,0.00,1.66,-5.14,6.00,23.97,11.27
102.,Aarcon Facilitie,15.08,149.83,8.99,0.00,-0.04,87.50,0.07,-72.00,1.26
103.,Mehta Securities,27.47,,8.49,0.00,0.04,-77.78,0.09,,0.15
