S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,EID Parry,735.20,18.87,13081.12,0.00,-287.17,-90.86,7882.33,15.73,17.81
2.,Manorama Indust.,1476.10,37.79,8813.58,0.04,59.52,40.81,382.30,64.21,35.45
3.,Orkla India,626.55,28.79,8583.06,0.00,73.43,33.93,625.80,4.97,15.24
4.,Krishival Foods,400.80,49.76,1068.84,0.06,5.59,32.68,102.07,38.42,16.21
5.,Shri Ahimsa,368.80,28.73,864.13,0.00,15.24,24.41,62.80,14.00,22.96
6.,Apis India,60.73,33.04,836.57,0.00,10.35,27.31,97.89,8.57,14.59
7.,Proventus Agro.,1551.00,37.88,535.62,0.00,7.58,196.84,535.38,85.81,11.48
8.,Freshara Agro,216.05,13.54,507.70,0.00,,,,,
9.,Pajson Agro,190.55,18.31,453.69,0.00,10.57,8.97,137.35,36.21,31.35
10.,Megastar Foods,308.45,38.03,348.35,0.00,2.17,60.74,146.06,21.91,11.64
11.,Nutricircle,290.80,1075.97,322.79,0.00,0.02,-97.44,4.87,289.60,4.23
12.,Wardwizard Foods,12.07,236.92,310.37,0.00,2.99,339.71,40.45,3.35,4.33
13.,Hoac Foods,666.00,65.70,289.07,0.00,2.33,48.41,28.77,86.21,32.12
14.,Madhusudan Masa,155.05,14.62,236.30,0.00,5.23,26.63,87.06,36.91,16.25
15.,Shivashrit Foods,119.50,15.54,218.31,0.00,6.54,12.18,52.33,-2.91,19.15
16.,Mother Nutri,171.00,18.41,214.35,0.00,6.31,453.51,73.03,50.14,21.17
17.,Goyal Salt,111.00,17.51,198.69,0.00,4.97,26.79,111.41,80.54,19.64
18.,Chemkart India,135.00,8.31,163.34,0.00,9.51,6.85,111.60,23.79,27.66
19.,Srivari Spices &,175.75,9.31,150.62,0.28,9.04,87.94,95.65,61.90,29.16
20.,Elfin Agro India,70.00,23.57,135.98,0.00,3.50,18.64,104.77,34.08,24.80
21.,Jeyyam Global,28.55,9.87,135.60,0.00,2.82,-77.51,270.55,-30.09,10.84
22.,Shyam Dhani Ind.,63.35,15.32,130.86,0.00,4.34,12.73,81.99,25.81,16.98
23.,Tirupati Starch,127.35,18.56,122.12,0.00,2.45,60.13,89.86,-7.84,10.26
24.,Leo Dryfruits,54.40,9.23,97.33,0.00,4.76,,53.46,,
25.,Vistar Amar,162.00,9.98,93.31,0.00,2.25,293.97,53.93,1486.18,25.53
26.,Rukmani Devi Gar,104.00,10.40,92.31,0.00,4.26,,158.42,,18.51
27.,Kovil. Lak. Rol.,101.50,19.20,91.77,0.49,2.99,-17.31,99.86,-7.65,10.05
28.,Gujarat Peanut,85.00,11.82,87.23,0.00,4.20,50.00,212.50,30.14,17.93
29.,NHC Foods,1.31,7.27,86.17,0.00,6.65,644.19,258.40,92.08,11.52
30.,Team24 Consumer,29.50,244.10,75.67,0.00,0.07,40.00,1.11,382.61,2.39
31.,IEL,5.62,407.11,73.28,0.00,0.59,368.18,0.42,4100.00,0.72
32.,Kothari Ferment.,44.75,,67.13,0.00,1.27,20.95,32.47,0.90,0.24
33.,Oceanic Foods,57.95,9.67,65.19,0.00,1.87,23.84,39.11,-11.40,15.97
34.,Saboo Sodium,12.09,220.61,50.74,0.00,-3.51,10.91,14.69,9.87,3.69
35.,Abram Food,80.30,17.61,41.39,0.00,0.60,-54.20,56.20,159.11,13.48
36.,Baba Food,24.90,,40.65,0.00,-2.74,-242.71,104.35,-14.02,1.31
37.,Jetmall Spices,66.97,,40.13,0.00,-0.72,0.00,0.20,-47.37,-4.77
38.,Spectrum Foods,12.44,103.10,29.90,0.00,-3.35,20.43,5.20,7.88,1.06
39.,Sanwaria Consum.,0.22,,16.19,0.00,-1.21,6.92,0.27,3.85,-1.63
40.,Progrex Ventures,29.58,,10.66,0.00,-0.05,44.44,0.00,,-1.93
41.,Tricom Fruit,1.81,,3.46,0.00,-0.07,,0.00,,
