S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,PTC Industries,18523.00,273.44,27770.70,0.00,59.91,140.02,225.47,84.93,8.43
2.,HBL Engineering,794.95,26.30,22035.61,0.25,63.73,44.18,604.12,27.03,58.45
3.,Inox India,1578.80,55.08,14329.74,0.13,75.24,11.19,460.65,24.70,33.48
4.,Esab India,5924.50,47.09,9119.59,1.27,43.55,-8.18,395.75,7.62,64.87
5.,KRN Heat Exchan,1216.80,104.16,7964.99,0.00,23.36,57.09,179.48,36.49,16.06
6.,Subros,718.85,27.35,4689.47,0.36,49.33,6.77,1049.76,15.55,19.75
7.,Harsha Engg Intl,404.85,23.75,3685.92,0.37,47.23,200.64,473.91,27.06,14.34
8.,Kirloskar Indus.,3211.40,20.73,3374.98,0.40,110.35,1.17,1827.41,4.55,6.98
9.,Ador Welding,1132.30,22.23,1970.52,1.77,33.53,53.77,317.96,3.24,22.45
10.,Diffusion Eng,324.95,23.91,1216.17,0.46,15.97,22.81,141.57,38.08,16.42
11.,MIC Electronics,43.32,,1044.06,0.00,-18.35,-614.01,50.79,13.24,8.55
12.,Oriental Rail,140.40,22.29,941.51,0.07,11.88,121.23,153.48,9.46,12.17
13.,Vilas Transcore,352.25,21.80,862.31,0.00,15.18,-26.24,231.91,21.66,16.12
14.,Sahasra Electro.,297.40,52.38,743.28,0.00,6.31,384.57,78.12,57.66,6.00
15.,Mallcom (India),962.35,19.99,600.51,0.31,6.30,-29.61,146.69,6.63,11.44
16.,Tankup Engi.,954.10,105.69,505.20,0.00,2.74,174.00,35.60,162.73,18.95
17.,Megatherm Indu.,228.00,17.71,429.57,0.00,11.64,2.08,187.18,8.47,18.10
18.,Sealmatic India,383.75,40.38,416.75,0.24,3.82,-59.62,49.43,-13.34,12.77
19.,Simplex Castings,507.15,18.99,415.82,0.00,6.18,83.33,54.76,-18.39,24.28
20.,Creative Graphic,145.00,18.77,352.15,0.00,6.57,-43.46,170.09,23.23,17.98
21.,Quest Flow,230.60,,236.54,0.00,-5.40,-290.81,36.14,-3.86,3.38
22.,Indian Link Ch.,867.85,,232.15,0.00,-0.05,-266.67,0.00,,-1.60
23.,Alphalogic Indu,163.00,30.81,166.08,0.00,2.81,157.80,20.17,-11.81,28.55
24.,Shubhshree Bio.,309.00,15.38,161.98,0.00,6.86,59.85,105.78,24.01,32.58
25.,Expo Engineering,68.59,89.86,156.36,0.00,-0.66,-142.04,17.28,-56.62,9.08
26.,United Heat,82.15,31.16,156.12,0.00,4.17,86.16,51.44,33.92,11.84
27.,Envirotech Sys.,80.95,12.56,152.11,0.00,6.13,-45.37,31.54,0.73,22.66
28.,W H Brady,548.60,28.26,139.89,0.00,-0.20,-59.31,21.24,-30.29,8.53
29.,Aeron Composites,80.25,15.42,136.59,0.00,1.48,-75.83,103.01,-5.14,9.77
30.,Mauria Udyog,8.98,4.99,119.61,0.00,2.17,-9.58,70.54,-27.29,21.77
31.,Beardsell,28.91,9.97,114.01,0.35,4.38,134.22,71.78,-4.83,16.72
32.,Rappid Valves,218.00,17.47,113.19,0.00,3.10,-14.84,24.41,-24.92,16.22
33.,Holmarc Opto,109.55,26.99,110.10,0.37,3.83,56.00,26.04,29.17,18.12
34.,Narmadesh Brass,354.70,30.98,109.99,0.00,-0.76,,61.95,,10.67
35.,WOL 3D India,157.25,15.21,101.46,0.00,2.84,6.77,56.06,119.76,20.65
36.,Classic Electrod,47.00,6.66,84.44,0.00,6.20,12.93,120.81,20.51,19.34
37.,Gabriel Pet,112.00,15.87,83.78,0.00,1.73,,128.20,,
38.,Ameya Precision,107.35,14.40,80.51,0.00,2.71,10.16,20.01,1.68,25.31
39.,Siyaram Recycli.,36.00,20.70,78.44,0.00,0.71,-89.70,149.84,-43.65,7.34
40.,Excellent Wires,173.95,51.50,77.76,0.00,1.06,37.66,12.72,8.72,9.68
41.,Srivasavi Adhes.,51.20,12.22,72.57,0.00,2.92,17.27,54.87,9.74,15.29
42.,Delta Manufact.,60.08,,65.19,0.00,-2.62,17.54,18.49,18.60,-0.45
43.,Paramount Specia,29.05,13.42,57.18,0.00,2.07,-27.87,61.61,-1.57,9.41
44.,Rolcon Engg. Co.,597.90,14.07,45.44,0.42,0.84,-56.48,12.03,-14.26,13.29
45.,Welcast Steels,710.00,,45.44,0.00,1.38,626.32,2.92,-85.97,-4.10
46.,ARC Insulation,43.05,23.83,44.33,0.00,1.00,,10.85,,6.50
47.,Storage Tech,33.40,,42.89,0.90,-1.77,-170.63,37.76,-25.89,-4.46
48.,Indobell Insul.,48.87,38.49,30.79,4.09,0.33,-81.25,8.58,-57.50,6.40
49.,Abril Paper,38.50,20.49,30.73,0.00,0.43,-24.56,27.05,-2.31,12.28
50.,Carnation Inds.,84.90,,29.35,0.00,0.76,255.10,1.70,,11.27
51.,Sprayking Ltd,1.28,14.24,27.05,0.00,-0.40,-294.40,44.72,58.92,7.99
52.,Poojawes. Metal.,19.97,12.66,20.25,5.01,-0.23,-141.82,22.59,52.84,10.72
53.,Jiwanram Sheo,5.20,12.74,12.87,0.00,0.36,-66.97,42.77,21.75,2.77
54.,Associated Coat.,87.00,10.23,11.76,0.00,0.61,-11.59,5.16,37.97,20.27
