S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,K P R Mill Ltd,1086.55,42.86,37139.80,0.46,227.17,11.06,1784.65,0.89,20.16
2.,Vardhman Textile,631.40,24.53,18277.50,0.79,189.26,-22.17,2497.98,-0.42,8.86
3.,Welspun Living,143.13,63.02,13728.35,0.07,106.16,-21.33,2435.43,-7.95,6.25
4.,Trident,24.37,32.93,12418.84,2.05,101.98,-23.47,1632.53,-12.43,9.86
5.,Garware Tech.,665.50,31.63,6606.14,1.20,57.26,-5.11,426.41,-1.42,21.96
6.,Indo Count Inds.,328.60,51.37,6508.07,0.61,24.20,14.96,1057.68,3.43,8.14
7.,Alok Industries,12.45,,6181.72,0.00,-192.54,-14.31,982.97,3.15,-3.25
8.,Raymond Lifestyl,767.65,31.31,4676.80,0.00,-52.06,124.39,1776.45,18.89,3.66
9.,Sanathan Textile,397.85,43.41,3358.02,0.00,21.57,-50.58,1169.18,59.68,6.71
10.,Nitin Spinners,535.80,16.97,3012.27,0.56,57.36,23.70,859.79,2.20,12.21
11.,Jindal Worldwide,29.39,42.21,2946.65,0.00,26.13,18.66,640.18,5.72,8.94
12.,Siyaram Silk,615.65,12.10,2793.21,1.95,97.78,35.71,853.29,15.91,20.10
13.,Sangam India,526.40,29.20,2644.98,0.38,33.55,234.23,866.21,19.47,10.68
14.,Bombay Dyeing,122.95,90.95,2539.35,0.33,21.04,81.58,395.84,10.26,1.99
15.,Ganesha Ecosphe.,929.55,65.19,2490.82,0.48,23.21,-2.31,423.94,23.10,5.42
16.,Filatex India,51.85,12.52,2302.44,0.48,40.25,-2.73,985.49,-8.75,16.97
17.,Sportking India,180.38,19.15,2292.12,0.55,32.76,-7.30,636.78,1.27,13.00
18.,Aayush Art,1179.85,228.97,1806.61,0.00,7.53,382.69,168.63,257.34,18.86
19.,Sumeet Industrie,27.39,53.18,1441.61,0.00,7.50,100.25,265.72,9.34,13.23
20.,Pashupati Cotsp.,89.59,136.10,1414.09,0.06,1.62,-77.47,160.28,25.74,10.07
21.,Faze Three,547.60,47.48,1331.71,0.00,14.36,-15.48,238.27,19.86,8.25
22.,AYM Syntex,222.74,199.02,1305.57,0.00,9.03,344.83,365.77,1.43,5.35
23.,Indo Rama Synth.,45.78,7.82,1195.38,0.00,64.13,25.57,1201.68,0.27,17.94
24.,Raj Rayon Inds.,20.39,33.36,1133.85,0.00,14.03,4.39,294.82,43.22,13.60
25.,Century Enka,518.90,10.99,1133.80,1.93,39.91,458.03,483.53,8.90,9.01
26.,Ruby Mills,337.85,25.92,1129.77,0.52,11.07,-30.86,123.38,51.28,6.80
27.,Sunrakshakk Inds,337.75,29.94,1047.25,0.00,12.10,87.89,197.59,92.32,29.25
28.,Nahar Spinning,280.05,44.73,1010.01,0.36,23.42,1.20,916.82,4.71,3.20
29.,Jaybharat Text,25.89,,991.17,0.00,-7.47,-56.28,8.38,444.16,-29.09
30.,Himatsing. Seide,76.09,15.44,956.77,0.33,1.41,-98.53,617.22,-6.04,8.80
31.,GHCL Textiles,98.77,14.79,944.10,0.61,27.66,94.79,363.69,28.24,5.75
32.,Ambika Cotton,1633.90,13.07,935.41,2.26,24.53,54.67,215.16,57.85,11.41
33.,RSWM Ltd,197.10,14.92,928.37,0.00,33.84,2190.60,1141.96,-9.10,6.00
34.,Mafatlal Inds.,127.13,9.90,917.61,1.97,17.94,-22.59,883.70,96.47,12.91
35.,Precot,758.25,25.38,909.90,0.40,11.74,-25.37,257.66,13.13,10.85
36.,Borana Weaves,321.25,13.24,855.98,0.00,17.21,57.89,100.73,27.99,32.74
37.,Sarla Performanc,100.21,13.29,836.78,2.00,-59.72,37.01,102.53,2.19,10.12
38.,Rajapalayam Mill,838.65,6.81,773.25,0.06,29.61,639.96,269.34,21.32,1.81
39.,United Polyfab,33.69,31.83,773.24,0.00,7.06,81.03,172.03,12.12,17.75
40.,Voith Paper,1518.60,14.77,666.67,0.66,9.15,-10.14,53.25,1.37,14.92
41.,Sutlej Textiles,38.91,,637.46,0.00,-18.18,46.07,693.19,2.14,-2.17
