S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Nestle India,1386.20,77.44,267302.93,0.87,1114.11,28.84,6747.79,22.60,84.21
2.,Britannia Inds.,5120.50,48.68,123336.61,1.77,679.68,21.14,4718.92,6.47,56.02
3.,Bikaji Foods,654.95,62.82,16421.98,0.19,56.04,26.14,720.88,17.99,19.74
4.,Zydus Wellness,504.60,69.17,16054.39,0.24,162.00,-5.76,1484.70,62.60,4.96
5.,The Bombay Burmah,1529.10,8.83,10668.82,1.11,780.80,39.72,4817.99,6.62,33.00
6.,Mrs Bectors,172.20,44.51,5286.38,0.70,29.92,3.74,449.48,9.17,12.94
7.,Gopal Snacks,284.65,79.71,3548.64,0.35,29.95,119.01,409.63,29.02,12.14
8.,ADF Foods,282.80,32.79,3106.94,0.42,25.91,57.60,196.73,23.68,22.82
9.,Prataap Snacks,1165.90,259.81,2787.73,0.04,1.14,109.55,420.18,4.89,3.08
10.,Tasty Bite Eat.,7854.00,56.56,2015.34,0.03,6.01,-2.91,117.70,-11.99,13.90
11.,Lotus Chocolate,701.90,9012.40,901.24,0.00,-4.47,-414.79,126.78,-19.48,9.71
12.,Ganesh Consumer,208.92,19.92,844.31,1.20,9.54,108.75,218.04,-0.94,19.35
13.,Euro India Fresh,229.21,116.25,568.44,0.00,4.65,77.52,60.02,71.58,9.84
14.,Emrock Corporation,300.60,393.02,475.55,0.00,0.41,156.25,0.94,88.00,8.48
15.,Mishtann Foods,4.03,1.65,434.28,0.00,0.04,-99.95,30.84,-90.70,22.50
16.,Foods & Inns,56.04,14.88,412.07,0.54,19.49,-16.42,288.89,-27.29,8.85
17.,Shah Foods,170.15,120.58,396.70,0.00,3.40,,3.98,,
18.,Annapurna Swadi.,139.95,10.01,305.37,0.00,15.97,100.19,270.59,32.51,12.63
19.,Gujjubhai Industries,137.45,54.88,287.56,0.00,1.78,8.28,39.61,43.88,21.35
20.,Aveer Foods,550.30,62.11,246.56,0.05,0.37,-29.51,35.23,31.02,15.14
21.,Magson Retail,170.00,258.56,219.78,0.00,0.64,100.00,70.62,100.40,3.31
22.,Chatha Foods,74.40,26.74,179.17,0.00,3.50,23.67,81.71,-1.94,9.50
23.,Bambino Agro Ind,213.20,17.08,170.77,0.75,0.41,-60.58,98.61,6.79,12.31
24.,Aayush Wellness,30.82,37.32,150.01,0.08,0.62,-43.64,48.40,116.55,36.06
25.,Sampre Nutrition,11.52,35.54,109.45,0.00,1.35,118.37,15.10,94.34,2.69
26.,Tanvi Foods,85.00,50.72,109.04,0.00,1.69,745.00,54.27,31.76,5.60
27.,Palash Securi.,97.97,6.10,98.00,0.00,-4.14,44.87,0.12,-99.13,2.65
28.,Galaxy Supermarket,18.18,66.06,90.50,0.00,1.67,54.55,11.85,120.26,60.30
29.,Nakoda Group,41.30,48.29,72.43,0.00,0.74,130.33,11.10,-20.60,8.42
30.,Ceeta Industries,41.27,101.42,59.84,0.00,0.16,420.00,3.94,-21.51,3.62
31.,Italian Edibles,37.25,13.66,55.04,0.27,1.35,26.17,53.69,24.80,10.61
32.,SSMD Agrotech,61.50,13.88,53.30,0.00,5.53,227.22,115.35,82.46,20.57
33.,Dangee Dums,3.34,,51.43,0.00,-1.06,-523.53,7.05,8.29,2.05
34.,Anjani Foods,17.45,49.77,48.77,0.00,0.03,72.22,15.11,5.89,10.86
35.,Ruparel Food,147.25,,45.38,0.00,-0.06,-700.00,0.22,-92.52,-3.96
36.,Jhandewala Foods,26.70,6.74,40.73,0.00,3.13,25.70,74.94,147.57,14.27
37.,Panjon,20.55,48.99,35.27,0.00,0.19,-17.39,12.12,-12.36,4.97
38.,Swojas Foods,7.09,32.91,29.29,0.00,-0.05,-109.26,46.23,65.88,8.55
39.,Chordia Food,70.07,36.19,28.23,0.00,0.27,107.69,1.57,96.25,6.72
40.,KMG Milk Food,50.00,663.00,26.52,0.00,-0.12,73.91,0.00,-100.00,9.55
41.,Sonalis Consumer,54.00,2.96,25.64,0.00,6.07,145.75,62.08,2.12,47.07
42.,Jay Kailash,47.21,19.66,23.59,0.00,0.36,-40.98,7.55,21.38,8.24
43.,Tapi Fruit,49.85,,21.44,0.00,-0.82,1.20,13.35,60.84,-5.97
44.,Lake Shore,60.07,131.38,21.02,0.00,-0.06,-127.27,0.00,,1.13
45.,Shivamshree Busi,2.30,116.00,17.40,0.00,0.64,252.38,4.57,167.25,4.80
46.,BKV Industries,10.84,,16.75,0.00,-0.01,,0.20,0.00,-1.83
47.,Astron,16.90,4.21,14.53,0.00,1.86,-4.12,34.34,75.83,21.61
48.,Suryo Foods,19.78,,13.71,0.00,-0.36,-271.43,0.00,,-111.54
49.,Chothani Foods,9.13,86.00,9.46,0.00,-0.01,-112.50,4.38,-7.98,2.23
50.,Super Bakers (I),30.66,19.70,9.26,0.00,0.13,-7.14,0.00,,10.65
51.,52 Weeks Enter.,1.21,38.36,4.22,0.00,0.22,833.33,0.00,,0.61
