S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,EPL Ltd,217.33,16.93,6960.64,2.30,103.30,-0.56,1300.50,17.65,17.84
2.,AGI Greenpac,598.95,10.88,3875.05,1.17,115.60,19.66,742.39,5.33,19.60
3.,Uflex,426.40,9.27,3079.10,0.70,196.03,76.44,4055.92,6.34,6.97
4.,Jindal Poly Film,650.90,,2850.06,0.91,-96.92,-453.42,371.66,-68.66,5.36
5.,Polyplex Corpn,903.10,63.07,2835.05,1.49,37.63,145.30,1870.72,7.54,0.98
6.,XPRO India,1170.70,142.89,2747.68,0.17,13.25,97.41,134.37,-15.07,3.78
7.,TCPL Packaging,2628.00,22.45,2391.48,1.14,21.17,-36.69,436.06,6.45,17.92
8.,Mold-Tek Pack.,709.00,32.60,2355.93,0.56,20.64,26.86,237.86,17.40,13.32
9.,Cosmo First,742.20,12.06,1948.25,0.54,36.91,53.17,1020.68,36.85,11.25
10.,Huhtamaki India,170.09,10.94,1284.55,1.18,25.60,-0.19,613.10,0.52,11.98
11.,Oricon Enterpris,60.83,62.03,955.32,0.82,-4.19,-619.62,15.22,104.57,2.08
12.,Ester Industries,91.88,,896.62,0.65,7.87,301.53,343.82,7.69,2.76
13.,Arrow Greentech,536.95,17.11,810.15,0.74,7.44,-35.31,41.78,-27.07,30.45
14.,Commerl. Synbags,153.01,22.89,617.23,0.26,7.11,-1.66,100.18,3.26,15.01
15.,Nahar Poly,243.75,7.60,599.33,0.41,20.50,44.98,167.68,7.05,10.69
16.,Pyramid Technopl,162.16,20.70,596.50,0.31,10.02,51.59,194.79,13.77,12.28
17.,Subam Papers,216.30,55.14,594.38,0.00,-2.46,-152.83,141.12,4.81,5.02
18.,Haldyn Glass,109.30,22.42,587.51,0.64,7.31,62.44,108.24,29.46,13.51
19.,Sh. Rama Multi.,43.60,23.50,581.92,0.00,4.72,-87.10,62.46,5.58,17.70
20.,Hitech Corp.,314.34,33.37,539.90,0.32,8.89,325.51,166.00,11.19,9.66
21.,TPL Plastech,66.54,17.85,519.03,1.50,8.06,18.01,114.07,23.75,22.28
22.,Sh. Jagdamba Pol,567.00,12.63,496.58,0.13,9.84,-38.81,100.97,-15.51,15.34
23.,Kanpur Plastipa.,199.20,12.53,478.33,0.45,14.59,21.90,178.72,6.37,17.18
24.,Cropster Agro,5.62,34.26,472.08,0.00,1.47,-54.49,17.68,-68.25,12.45
25.,B&B Triplewall,207.50,18.59,425.61,0.00,9.52,710.26,160.70,15.64,14.48
