S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Asian Paints,2686.70,58.06,257707.67,1.02,1185.49,43.83,9246.70,10.62,26.32
2.,Berger Paints,490.25,49.00,57163.29,0.78,335.25,17.33,2868.03,6.07,22.20
3.,Kansai Nerolac,210.89,26.86,17054.98,1.19,109.89,15.06,1953.71,7.54,13.04
4.,JSW Dulux,3110.90,32.68,14167.14,1.61,125.70,15.96,883.30,-12.92,27.11
5.,Indigo Paints,954.20,30.38,4549.21,0.37,57.34,0.77,397.91,8.36,17.94
6.,Sirca Paints,419.45,36.62,2382.17,0.36,17.71,25.07,134.29,33.07,21.47
7.,Shalimar Paints,50.76,,424.92,0.00,-7.39,22.37,155.93,-12.32,-7.92
8.,Kamdhenu Venture,5.08,835.65,167.13,0.00,-2.67,-241.27,75.00,-9.38,2.20
9.,Siddhika Coatins,205.25,12.86,126.82,1.61,5.06,35.29,27.65,13.51,32.35
10.,Retina Paints,45.00,107.86,69.03,0.00,0.44,-53.68,15.74,6.35,4.84
