S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,JK Paper,359.80,23.53,6523.85,1.39,89.68,38.61,1965.95,17.23,7.64
2.,West Coast Paper,513.25,22.51,3390.02,0.97,53.98,17.87,1245.30,19.59,6.16
3.,Seshasayee Paper,231.16,17.66,1457.88,0.87,26.05,-3.77,591.84,17.81,5.60
4.,Andhra Paper,61.58,65.76,1224.52,1.62,7.72,-1.66,527.05,29.38,1.98
5.,T N Newsprint,144.29,4.03,998.64,2.08,240.30,986.35,1271.54,-4.88,6.40
6.,N R Agarwal Inds,465.50,16.59,792.24,0.43,14.20,308.21,605.39,29.98,8.47
7.,Pudumjee Paper,82.61,8.38,784.38,0.73,19.72,4.62,200.55,5.51,19.80
8.,Kuantum Papers,76.82,15.98,670.36,3.91,14.34,-45.10,300.94,8.51,5.19
9.,Satia Industries,54.07,13.22,540.70,0.74,5.80,-83.63,389.56,-1.79,3.94
10.,Emami Paper,86.02,8.37,520.42,1.86,31.50,682.14,496.41,4.52,11.42
11.,Shree Rama News.,29.56,,436.08,0.00,-37.91,-49.40,7.87,-30.54,0.93
12.,Orient Paper,17.90,,379.81,0.00,-10.94,39.46,231.47,5.56,-4.27
13.,Pakka,80.52,19.94,361.92,0.00,3.84,-69.45,101.54,10.18,4.42
14.,Ruchira Papers,112.77,7.62,336.56,4.43,9.53,-48.21,182.01,12.57,11.06
15.,Genus Paper & Bo,12.32,21.73,316.78,0.00,3.80,21.41,226.09,0.67,6.17
16.,Sh. Ajit Pulp,272.95,8.08,242.79,0.00,9.61,111.67,174.54,12.56,14.31
17.,S. V. J. Enterp.,400.05,305.30,222.87,0.00,0.62,244.44,4.03,80.72,6.28
18.,Star Paper Mills,136.15,6.49,212.53,2.57,-1.29,-125.75,112.59,-1.31,5.03
19.,Exim Routes,111.10,20.46,208.33,0.00,7.17,40.31,114.03,55.02,24.96
20.,Nikita Greentech Recycling,80.00,17.71,197.34,0.00,4.82,-62.64,171.72,-13.47,9.29
21.,Shreyans Inds.,139.10,29.71,192.24,2.16,-10.48,-156.77,167.70,-6.35,2.48
22.,Sh. Krishna Pap.,136.20,50.05,184.17,0.00,17.28,12.79,60.65,14.69,10.13
23.,S I Paper Mills,92.20,16.10,172.88,0.00,4.57,302.21,113.99,21.09,9.06
24.,Magnum Ventures,19.53,,133.61,0.00,5.32,-15.42,128.71,8.26,2.55
25.,Aaradhya Dis.,83.90,19.54,118.62,0.00,6.21,68.75,60.27,22.48,16.90
26.,Nath Industries,50.80,14.45,96.52,0.00,-2.08,-155.32,129.59,2.76,5.44
27.,Ganga Papers,65.18,43.95,70.32,0.00,0.76,24.59,76.12,18.62,7.51
28.,Balkrishna Paper,18.26,,58.83,0.00,-2.76,-55.07,0.89,-46.71,
29.,Malu Paper,32.24,,55.00,0.00,-2.69,4.61,106.23,13.98,-8.86
30.,Three M Paper,26.55,7.12,51.08,0.00,4.13,-4.40,153.86,10.25,7.41
31.,Perfectpac,74.00,15.21,49.28,1.35,0.77,13.24,29.65,-6.20,11.17
32.,B J Duplex Board,22.81,,43.40,0.00,-0.21,-162.50,0.09,,-97.14
33.,Mohit Paper Mill,29.00,6.12,40.60,0.00,0.73,231.82,59.57,13.66,11.83
34.,Kay Power &Paper,10.32,35.70,36.06,0.00,1.06,10.42,4.89,-59.79,1.54
35.,Cella Space,15.02,6.47,30.27,0.00,3.37,157.25,5.31,4325.00,14.80
36.,Aten Papers,24.40,3.40,25.13,0.00,5.12,60.50,119.90,48.91,24.68
37.,Vapi Enterprise,100.00,15.41,22.80,0.00,0.42,13.89,0.62,3.33,5.32
38.,Shrenik,0.37,119.16,22.64,0.00,-1.03,-1387.50,11.65,145.26,
39.,Saffron Industri,31.11,14.24,22.35,0.00,0.84,95.35,1.52,-38.71,
40.,Sangal Papers,158.15,8.74,20.72,0.00,0.92,113.95,36.72,-21.56,7.37
41.,Labelkraft Tech.,58.00,14.37,18.82,0.00,0.75,-5.06,14.76,39.11,13.16
42.,Astron Paper,3.85,,17.90,0.00,-6.11,46.07,0.07,-92.05,-6.12
43.,Rama Paper Mills,15.18,,14.67,0.00,-1.62,-16.55,0.04,-93.22,-83.31
44.,Sh. Karthik Pap.,6.80,,12.99,0.00,0.29,178.38,16.74,17.97,2.12
45.,Konndor Indust.,16.45,,9.08,0.00,-0.01,-108.33,0.00,-100.00,9.37
46.,Gratex Industrie,25.71,70.82,7.79,0.00,0.04,300.00,1.27,81.43,4.47
47.,Agio Paper,4.14,,6.68,0.00,-0.40,-2.56,0.00,,-201.55
48.,Coral Newsprints,9.50,,4.80,0.00,0.17,168.00,0.13,,
49.,Tridev Infra.,6.30,,4.11,0.00,-0.02,-300.00,0.03,-25.00,0.00
50.,Simplex Papers,1327.15,,3.98,0.00,-0.02,50.00,0.00,,-31.88
51.,Gujarat Winding,7.54,,3.66,0.00,-0.49,-1533.33,0.02,,-21.78
