S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Godrej Consumer,998.00,50.33,102119.81,2.00,451.77,19.47,3900.44,10.99,19.08
2.,Dabur India,424.15,39.46,75242.19,1.95,362.00,15.14,3038.02,7.35,20.44
3.,Colgate-Palmoliv,1999.50,40.47,54383.53,2.55,353.32,3.01,1595.35,9.08,108.00
4.,P & G Hygiene,9400.00,35.63,30513.09,1.81,153.13,-1.90,941.32,-5.07,157.48
5.,Gillette India,7763.00,38.67,25299.62,1.55,192.51,21.32,792.00,3.20,90.62
6.,Cupid,137.10,170.29,18435.30,0.00,36.26,213.94,132.04,116.07,33.46
7.,Emami,384.80,21.41,16796.52,2.60,143.17,-11.71,925.10,-3.94,29.56
8.,Honasa Consumer,416.10,66.49,13538.64,0.00,69.44,176.98,657.08,23.15,19.22
9.,Bajaj Consumer,552.05,37.92,7210.78,0.00,63.60,105.29,326.66,30.41,30.60
10.,Anondita Medi.,1219.90,65.96,2206.39,0.00,21.27,85.87,83.32,82.76,43.60
11.,Radix Industries,185.90,87.18,278.98,0.27,0.45,-32.84,12.92,5.21,19.59
12.,Macobs Technolo.,214.50,72.45,210.11,0.00,1.73,92.21,22.21,214.59,0.11
13.,Recode Studios,179.70,17.06,191.28,0.00,5.67,115.59,43.01,47.80,73.89
14.,Thrive Future Habitats,100.00,,113.20,0.00,-0.68,-261.11,0.47,-28.79,-3.66
15.,Aakaar Medical,70.80,15.11,100.34,0.00,7.42,33.21,41.64,22.90,18.47
16.,Ravelcare,123.65,16.47,84.81,0.00,1.95,30.00,12.56,-13.85,29.61
17.,JHS Sven.Lab.,8.77,,76.65,0.00,-3.57,12.93,32.70,29.92,-0.78
18.,Medistep Health.,19.55,4.65,27.78,0.00,3.01,22.36,35.76,25.92,27.25
19.,Novateor Resear.,32.85,198.80,19.88,0.00,0.12,140.00,1.36,-31.31,1.67
20.,Paramount Cosmet,34.42,334.20,16.71,0.00,-0.05,-150.00,2.79,-53.34,7.94
21.,Naturo Indiabull,2.50,,4.72,0.00,-0.20,-140.82,0.00,-100.00,
