S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,UPL,637.45,28.46,53794.73,0.94,1294.00,-0.46,18335.00,17.74,10.17
2.,P I Industries,2717.90,33.24,41235.47,0.59,200.20,-39.02,1565.20,-12.42,14.69
3.,Sumitomo Chemi.,472.05,42.49,23562.17,0.25,110.61,12.40,671.49,1.01,23.46
4.,Bayer Crop Sci.,4350.10,28.37,19550.26,2.87,162.10,13.12,1100.80,5.20,29.14
5.,Sharda Cropchem,892.70,11.83,8053.98,1.01,318.72,56.53,2064.90,12.93,30.37
6.,Dhanuka Agritech,1095.90,17.20,4940.13,0.18,97.77,29.50,483.34,9.35,23.97
7.,Rallis India,227.24,21.90,4419.11,1.32,-15.00,48.98,456.00,6.05,14.14
8.,NACL Industries,161.18,221.83,3775.53,0.00,-0.86,98.91,360.95,79.19,8.08
9.,Bhagiradha Chem.,243.46,173.74,3156.92,0.06,4.07,562.50,158.10,28.93,4.53
10.,Bharat Rasayan,1422.90,15.06,2365.01,0.03,39.12,51.97,308.02,0.49,17.53
11.,Insecticid.India,714.60,14.92,2079.33,0.28,11.71,-15.69,426.26,18.76,15.86
12.,GSP Crop Science,440.15,20.24,2047.52,0.00,19.64,-9.49,402.47,30.68,18.95
13.,India Pesticides,156.56,15.05,1803.00,0.48,30.62,40.65,266.49,28.59,16.67
14.,Astec Lifescienc,758.00,,1689.04,0.00,-7.75,51.77,158.62,32.70,-5.45
15.,Meghmani Organi.,48.77,43.16,1240.29,0.00,8.03,-59.49,474.34,-14.30,6.67
16.,Punjab Chemicals,936.80,17.52,1148.52,0.32,10.98,15.34,208.56,3.10,18.58
17.,Dharmaj Crop,270.55,16.72,914.39,0.00,3.99,263.52,233.78,11.36,16.45
18.,Heranba Inds,175.93,,703.96,0.57,-58.30,-39.36,319.48,-4.57,-1.65
19.,Advance Agrolife,101.28,18.45,651.09,0.00,7.46,421.68,123.88,37.90,19.28
20.,Best Agrolife,16.15,64.58,572.79,1.24,-37.24,-70.12,155.69,-43.25,5.16
21.,Shivalik Rasayan,238.40,30.93,375.49,0.21,7.18,9.69,102.82,48.18,4.63
22.,Mahamaya Lifesc.,160.40,22.73,375.42,0.00,8.15,,165.90,,20.00
23.,Indogulf Cropsci,56.53,8.95,357.41,0.00,11.61,21.35,150.82,19.48,12.23
24.,Sikko Industries,4.11,35.13,179.52,0.00,-2.00,-127.27,10.99,-41.70,7.76
25.,Crop Life Scienc,44.00,10.85,75.42,0.00,3.76,22.96,86.90,-7.81,11.56
26.,Aristo Bio-Tech,99.25,9.41,67.57,0.50,3.01,714.29,107.26,3.18,19.54
27.,Bhaskar Agrochem,125.80,13.21,65.54,0.79,-0.82,-210.81,28.58,28.10,19.64
28.,Dhansa Labs,24.00,10.45,59.87,0.00,2.09,78.63,40.54,32.70,7.99
29.,Aimco Pesticides,52.08,,50.95,0.00,-4.16,19.22,30.64,-41.91,-33.65
30.,Super Crop Safe,9.21,18.52,37.04,0.00,-0.16,70.91,13.59,30.80,4.86
31.,Adarsh Plant,29.95,,29.68,0.00,0.06,104.69,3.19,-27.83,5.97
32.,Phyto Chem (I),22.51,,9.68,0.00,-0.28,75.86,0.23,-84.25,-1.57
33.,Natural Biocon,3.42,,8.82,0.00,-0.09,81.63,0.88,-34.81,-0.13
