S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Supreme Petroch.,697.95,39.21,13124.35,1.50,168.04,59.18,1587.02,3.12,19.23
2.,Swan Corp,311.45,35.61,9762.61,0.03,251.32,1693.84,869.65,1.62,3.87
3.,Rain Industries,197.09,21.98,6629.12,0.51,157.87,188.19,4520.73,19.98,8.26
4.,DCW,47.46,29.08,1400.81,0.21,18.08,60.57,609.06,13.23,9.69
5.,Manali Petrochem,64.58,15.65,1110.77,0.77,29.04,11.78,292.66,27.04,7.24
6.,T N Petro Prod.,86.07,8.40,774.37,1.39,8.09,-89.02,124.50,-72.62,10.91
7.,Agarwal Indl.,512.65,17.60,766.81,0.64,15.75,-48.43,405.38,-50.77,7.92
8.,Kothari Petroche,118.10,9.56,694.98,0.85,17.80,3.01,152.86,-0.04,28.60
9.,Pasupati Acrylon,74.21,9.40,661.43,0.00,26.28,133.19,244.63,45.34,21.15
10.,Neptune Pet.,188.10,14.04,426.11,0.00,15.79,29.32,645.47,6.32,31.57
11.,Rajputana Bio.,220.00,17.08,154.74,0.00,4.46,220.66,62.67,175.11,22.05
12.,Indian Acrylics,5.93,,80.24,0.00,-11.42,-100.70,74.00,-10.76,-3.31
13.,Nexxus Petro,90.00,9.93,62.55,0.00,4.24,-10.74,120.69,-44.59,19.47
14.,Polylink Poly.,20.00,36.25,44.22,0.00,0.61,710.00,21.61,-10.11,5.33
15.,Guj. Petrosynth.,56.55,14.31,33.76,0.00,0.43,-14.00,6.00,29.59,5.71
16.,Aadi Industries,10.05,,10.05,0.00,-0.07,-40.00,0.00,,-13.95
