S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Sun Pharma.Inds.,1782.20,34.27,427609.48,0.90,2709.66,13.58,14611.79,12.76,20.53
2.,Divi's Lab.,6623.00,67.03,175819.84,0.45,751.00,13.44,2831.00,9.52,21.96
3.,Torrent Pharma.,4420.90,68.27,149623.34,0.86,364.00,-20.58,4197.00,41.84,15.19
4.,Cipla,1401.30,29.74,113203.36,0.93,542.51,-54.61,6541.20,-2.80,15.49
5.,Zydus Lifesci.,1089.00,20.20,109578.88,0.09,1341.00,21.92,7587.00,16.22,21.15
6.,Dr Reddy's Labs,1278.20,25.43,106685.85,0.63,221.30,-86.14,7546.40,-11.51,13.64
7.,Lupin,2267.70,17.99,103686.62,0.53,1468.67,101.49,7474.66,31.89,30.32
8.,Mankind Pharma,2336.10,48.01,96459.72,0.04,559.42,34.23,3442.93,11.81,13.50
9.,Aurobindo Pharma,1462.30,23.94,84930.62,0.27,920.84,1.97,8853.34,5.62,12.80
10.,Laurus Labs,1446.80,87.94,78163.31,0.14,282.09,19.46,1811.57,5.31,17.66
11.,Biocon,412.30,171.59,66830.03,0.12,198.60,-62.05,4516.60,2.25,3.75
12.,Alkem Lab,5251.50,25.78,62789.56,0.86,251.11,2.04,3603.32,14.62,21.23
13.,Glenmark Pharma.,2166.20,20.71,61130.34,0.12,301.31,51.88,3770.59,15.80,39.77
14.,Abbott India,26035.00,35.65,55324.38,2.02,394.93,7.60,1709.51,6.54,44.89
15.,Ipca Labs.,1641.90,34.65,41655.70,0.24,306.69,80.90,2388.48,6.31,17.28
16.,Gland Pharma,2273.00,35.91,37495.34,0.79,366.68,96.57,1742.79,22.31,15.14
17.,Ajanta Pharma,2976.50,35.22,37187.09,0.94,266.70,18.40,1421.64,21.47,32.32
18.,Glaxosmi. Pharma,2164.10,35.91,36661.16,2.63,277.86,5.70,995.30,2.15,65.14
19.,J B Chemicals &,2169.30,48.48,34830.00,1.01,101.37,-16.99,904.23,-4.77,25.45
20.,Emcure Pharma,1756.80,35.22,33307.09,0.17,243.73,21.01,2469.70,16.70,23.97
21.,Wockhardt,1920.90,109.88,31213.12,0.00,164.00,687.64,965.00,29.88,7.55
22.,Acutaas Chemical,3328.30,76.49,27249.17,0.05,134.28,110.88,432.75,40.28,31.56
23.,Sai Life,1186.40,70.91,25165.38,0.00,104.24,17.84,602.14,3.91,19.55
24.,Piramal Pharma,166.77,,22167.87,0.08,-8.83,-25.01,2751.77,-0.08,2.69
25.,Neuland Labs.,16811.00,59.25,21568.33,0.20,212.67,664.72,776.25,136.40,26.59
26.,Astrazeneca Phar,8600.00,112.32,21500.00,0.37,44.88,-26.63,578.61,20.42,29.27
27.,OneSource Speci.,1789.70,,20518.16,0.00,4.60,-95.34,428.22,0.53,0.57
28.,Pfizer,4456.30,26.87,20386.56,1.68,199.82,-2.64,629.23,6.31,24.25
29.,Rubicon Research,1202.50,80.29,19811.22,0.00,76.79,111.83,513.92,43.49,28.35
30.,Granules India,789.85,32.48,19572.24,0.22,201.57,44.64,1470.61,22.81,15.46
31.,ERIS Lifescience,1365.20,29.93,18917.21,0.54,279.10,200.10,756.56,7.27,14.14
32.,Cohance Life,431.10,83.58,16492.47,0.00,8.31,-86.64,619.12,-26.33,8.35
33.,Natco Pharma,893.40,11.28,16001.68,0.67,269.00,-34.11,739.10,-39.47,17.14
34.,Jubilant Pharmo,973.60,35.51,15509.45,0.51,119.30,-17.45,2290.00,18.73,8.99
35.,Caplin Point Lab,2033.10,24.10,15453.94,0.30,172.88,19.32,600.16,19.45,24.63
36.,Alembic Pharma,738.40,19.90,14514.22,1.49,201.53,40.82,1847.72,4.41,12.62
37.,Alivus Life,1032.50,21.71,12672.85,0.48,162.66,14.65,689.12,6.09,24.98
38.,Concord Biotech,1209.90,47.63,12657.51,0.88,90.02,-36.58,325.89,-24.19,18.51
39.,Viyash Scientific,255.25,55.83,11151.25,0.00,66.38,455.37,919.96,129.02,19.05
40.,Sanofi Consumer,4765.70,43.41,10975.70,1.57,67.80,35.60,229.20,32.79,107.64
41.,Marksans Pharma,233.19,25.29,10567.33,0.34,149.03,63.59,856.11,20.84,18.84
42.,Corona Remedies,1725.00,52.87,10550.12,0.58,45.05,43.75,353.09,20.23,33.22
43.,Shilpa Medicare,538.05,45.10,10523.28,0.09,107.79,147.82,436.99,32.09,11.03
44.,P & G Health Ltd,6200.00,31.48,10291.62,2.02,94.60,54.63,370.45,19.12,83.53
45.,Strides Pharma,1044.60,16.64,9628.36,0.38,129.28,28.10,1323.47,11.18,18.65
46.,Akums Drugs,553.80,32.46,8716.48,0.18,81.34,-39.44,1157.87,9.69,14.94
47.,Sudeep Pharma,754.50,49.29,8521.97,0.00,48.54,10.61,182.34,15.73,28.07
48.,Blue Jet Health,465.15,32.56,8068.74,0.26,64.34,-41.56,234.67,-31.07,26.50
49.,Jeena Sikho,629.85,35.24,7829.08,0.17,45.35,78.97,215.55,54.79,70.74
50.,Supriya Lifesci.,947.95,36.42,7629.37,0.11,74.23,47.34,276.53,50.20,25.13
51.,Sanofi India,3186.40,22.32,7338.28,2.35,102.60,-14.14,472.30,-11.87,57.51
52.,SPARC,212.82,4.41,6906.47,0.00,1760.70,2987.34,1853.22,6715.81,165.00
53.,FDC,381.00,20.88,6203.06,1.31,103.40,167.39,584.79,18.89,16.67
54.,Aarti Pharma,628.30,32.22,5696.03,0.80,61.12,-30.81,582.64,3.35,10.70
55.,Innova Captab,867.50,35.37,4964.26,0.23,38.08,28.78,447.80,42.28,14.96
56.,Senores Pharma.,1034.70,41.31,4765.16,0.00,36.67,77.29,175.19,53.39,15.13
57.,Bliss GVS Pharma,438.35,35.50,4637.26,0.11,37.00,128.90,256.99,29.80,16.77
58.,Guj. Themis Bio.,413.20,96.45,4502.44,0.16,10.89,-9.25,44.23,17.20,17.86
59.,Zota Health Care,1259.70,,4362.67,0.08,-14.46,31.12,163.18,67.76,-8.47
60.,Orchid Pharma,844.25,157.89,4281.96,0.00,23.78,4.26,237.61,0.05,2.64
61.,IOL Chemicals,131.68,26.46,3865.17,0.76,53.18,68.18,619.45,17.37,11.25
62.,Gufic BioScience,369.95,58.75,3709.95,0.03,20.57,158.09,252.05,22.94,12.17
63.,RPG LifeScience.,2161.60,31.85,3575.07,0.93,29.90,33.70,176.89,23.62,26.16
64.,SMS Pharma.,369.10,33.89,3456.70,0.11,32.71,60.97,237.95,-4.13,13.30
65.,Aarti Drugs,376.85,17.65,3439.51,0.53,55.26,-12.20,720.30,6.43,11.90
66.,Novartis India,1391.10,36.86,3434.74,1.80,25.25,-13.82,90.55,7.95,16.25
67.,Panacea Biotec,540.20,,3308.77,0.00,-1.00,93.02,166.75,25.82,-2.44
68.,Dishman Carbogen,189.88,30.04,2977.00,0.00,21.74,-59.43,851.40,18.85,3.15
69.,Unichem Labs.,363.05,32.65,2556.08,0.00,10.91,-65.85,575.12,-2.05,3.99
70.,Solara Active,534.85,,2551.87,0.00,9.60,516.19,387.29,41.86,4.86
71.,Kwality Pharma,2371.40,36.20,2460.61,0.00,25.31,74.60,157.11,35.81,24.25
72.,Sai Parenteral's,545.20,168.91,2408.65,0.00,13.16,,197.93,,5.97
