S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Safari Inds.,1633.10,47.70,8001.46,0.24,37.47,-0.32,473.30,12.41,19.48
2.,V I P Inds.,329.85,,4685.58,0.00,-128.90,-316.17,436.23,-11.73,-28.89
3.,Nilkamal Ltd,1257.60,14.79,1876.34,1.59,41.69,21.65,965.18,7.96,10.50
4.,Wim Plast,335.30,6.68,402.47,2.98,12.72,-1.78,83.25,-10.56,14.85
5.,Bai-Kakaji Poly.,170.00,15.27,363.87,0.00,13.32,,192.04,,21.18
6.,Essen Speciality,123.95,,307.88,0.81,-8.80,-107.93,32.12,-28.16,-1.25
7.,Pil Italica Life,8.09,45.70,190.12,0.00,1.08,0.93,26.84,-0.30,7.67
8.,Avro India,11.25,35.85,150.94,0.00,0.86,36.51,24.03,23.29,6.67
9.,Prima Plastics,137.00,6.91,150.71,1.46,9.23,18.62,46.70,-19.23,14.28
10.,Tokyo Plast Intl,85.00,128.17,80.75,0.00,0.04,-91.67,22.88,33.33,3.94
11.,Pearl Polymers,18.64,,31.37,0.00,-4.08,7.90,5.59,-10.27,-15.61
12.,Niraj Ispat Ind.,216.00,8.00,12.96,0.00,0.39,30.00,0.89,-11.00,11.28
13.,Technopack Poly.,10.70,9.55,11.56,0.00,0.81,-6.90,4.50,-44.03,7.81
