S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Supreme Inds.,3602.00,49.05,45755.08,1.00,433.57,47.50,3527.66,16.54,20.73
2.,Astral,1518.80,74.02,40802.59,0.25,213.00,21.24,2088.50,24.21,19.86
3.,Shaily Engineer.,3062.90,87.33,14087.89,0.07,48.68,64.85,224.07,10.23,30.17
4.,Garware Hi Tech,5893.00,40.48,13690.85,0.20,108.21,39.09,596.69,8.90,18.02
5.,Finolex Inds.,172.93,17.91,10729.91,1.16,261.25,58.74,1313.88,12.12,12.71
6.,Time Technoplast,172.44,18.16,8512.25,0.72,134.31,20.38,1676.67,14.16,16.71
7.,Kingfa Science,5367.00,39.26,7273.03,0.00,59.15,41.17,578.47,23.20,23.20
8.,Prince Pipes,271.15,39.85,2997.86,0.18,56.11,132.05,850.07,18.12,6.12
9.,Jain Irrigation,31.89,,2323.58,0.00,-19.04,-164.41,1823.97,4.30,5.31
10.,Apollo Pipes,497.85,292.78,2192.94,0.14,-0.13,-89.88,347.02,10.24,2.10
11.,Jai Corp,113.03,11.62,1983.73,0.44,20.79,-11.25,120.62,-10.90,13.27
12.,R M Drip & Sprin,16.31,19.83,698.44,0.18,10.20,-0.49,61.12,27.20,37.91
13.,Premier Polyfilm,55.82,18.34,584.67,0.27,8.58,53.49,80.97,12.26,30.79
14.,Prakash Pipes,223.86,12.38,535.44,1.07,13.48,31.00,223.15,21.97,12.48
15.,Shish Industries,12.04,69.88,508.03,0.00,0.13,-26.05,38.15,7.43,6.74
16.,Shree Tirupati,498.00,172.18,504.48,0.00,1.06,-85.44,107.04,3.01,6.89
17.,Captain Polyplas,72.49,15.70,436.24,0.00,9.76,90.62,141.47,80.33,17.81
18.,Kisan Mouldings,35.66,,426.01,0.00,-3.31,-762.00,80.56,-3.29,-1.78
19.,Kriti Industries,74.73,111.56,393.80,0.00,4.01,257.10,141.78,3.11,7.21
20.,Dhabriya Poly.,351.85,12.64,380.85,0.20,8.32,54.93,69.74,9.88,25.64
21.,Polysil Irrigati,150.00,120.14,337.58,0.00,2.94,-61.47,15.22,-40.08,8.63
22.,Kaka Industries,176.00,12.81,240.42,0.00,9.92,56.22,138.34,35.19,19.36
23.,CDG Petchem,217.15,45.48,200.55,0.00,5.32,1239.29,52.22,894.67,28.84
