S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Century Plyboard,765.55,63.40,17008.45,0.13,79.42,48.92,1492.21,24.52,11.45
2.,Greenlam Industr,235.22,101.83,6001.58,0.17,40.55,1797.12,857.66,25.80,8.22
3.,Stylam Industrie,3053.50,34.62,5175.09,0.00,37.90,30.82,282.95,6.66,26.98
4.,Greenply Industr,291.79,36.47,3644.52,0.17,31.01,150.93,776.25,19.65,14.27
5.,Greenpanel Inds.,201.91,,2475.97,0.25,1.37,-95.34,398.93,6.52,-0.40
6.,Rushil Decor,14.64,63.83,429.56,0.68,10.12,-8.58,230.90,0.07,4.51
7.,Ecoboard Inds.,59.61,,157.41,0.00,-2.99,-48.18,7.89,335.91,-44.27
8.,Archidply Inds.,77.51,17.34,153.97,0.00,3.15,3250.00,179.13,10.70,10.20
9.,Duroply Indust.,131.70,46.69,142.87,0.00,-2.45,-267.57,111.59,4.93,7.81
10.,Manilam Industries,61.00,64.69,133.27,0.00,-1.15,,44.02,,8.48
11.,W I Plywoods,152.83,288.24,129.71,0.79,-0.91,-218.18,28.50,-1.93,4.04
12.,Airo Lam,79.65,21.69,119.49,0.00,0.25,-88.57,57.92,3.12,9.75
13.,Sylvan Plyboard,54.00,14.55,104.62,0.00,3.41,-2.85,132.43,-1.63,9.87
14.,Milton Industri.,40.50,38.24,68.83,0.00,1.12,55.56,24.40,11.31,5.98
15.,Archidply Decor,70.80,262.73,39.41,0.00,-0.02,600.00,11.60,-17.32,2.70
16.,Lamosaic India,33.70,20.86,34.84,0.00,-1.08,86.38,69.71,-1.36,4.56
17.,Adhata Global,35.80,,16.88,0.00,-0.75,-263.04,0.12,-90.08,-34.27
