S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,NTPC,361.65,12.96,350679.93,2.31,10614.95,37.78,49687.77,-0.29,8.33
2.,Adani Green,1525.70,137.29,251309.67,0.00,514.00,55.75,3502.00,13.96,7.39
3.,JSW Energy,584.20,46.91,107112.06,0.34,573.53,-8.94,4498.58,41.05,8.29
4.,NTPC Green Ene.,100.86,162.63,84987.96,0.00,197.17,-15.51,912.63,46.66,3.53
5.,NHPC Ltd,74.97,20.00,75307.63,2.55,1549.42,71.05,2815.53,19.96,5.73
6.,NLC India,336.60,13.25,46674.19,1.07,1481.45,189.12,5042.46,31.45,10.45
7.,SJVN,73.68,45.10,28954.73,1.98,-117.84,7.54,1496.47,196.68,5.57
8.,ACME Solar Hold.,356.65,43.49,21611.98,0.06,138.31,0.86,547.86,12.52,8.89
9.,Nava,595.50,21.39,16852.73,1.34,136.23,-45.71,1142.85,12.24,13.00
10.,Clean Max Enviro,1217.00,151.38,14249.51,0.00,45.40,151.79,557.46,25.13,6.24
11.,JP Power Ven.,19.03,28.94,13042.13,0.00,-13.37,-108.59,1386.43,3.39,6.97
12.,Reliance Power,28.59,,11824.17,0.00,-494.00,-238.21,1887.26,-4.59,6.10
13.,GMR Urban,108.31,,8459.20,0.00,-113.56,-7.90,2004.09,15.35,11.96
14.,KPI Green Energy,405.85,16.90,8022.52,0.16,155.48,46.50,795.81,39.76,13.85
15.,Inox Green,173.50,67.44,6965.89,0.00,28.35,287.66,68.67,6.40,8.42
16.,RattanIndia Pow.,9.74,99.74,5230.48,0.00,42.84,-65.98,787.69,-15.87,6.21
17.,Sustainable Ener,123.00,29.74,3985.20,8.70,52.28,23.01,194.42,1.77,5.83
18.,Guj Inds. Power,169.94,6.55,2637.74,2.41,326.85,368.74,428.26,26.61,5.47
19.,Insolation Ener,117.64,12.93,2593.37,0.09,69.84,64.76,793.93,100.10,22.20
20.,K.P. Energy,347.15,12.97,2353.61,0.19,78.69,71.85,631.81,57.48,39.22
21.,Ujaas Energy,137.44,580.20,1833.42,0.00,0.42,40.00,5.64,-27.41,4.48
22.,Orient Green,11.22,22.02,1316.14,0.00,-16.56,-17.37,38.59,-7.59,7.22
23.,Waaree Tech.,254.20,,273.73,0.00,-2.46,18.81,3.03,-34.70,-32.23
24.,Surana Telecom,18.24,9.98,247.63,0.00,15.32,-10.06,23.86,400.21,13.35
25.,Indowind Energy,9.41,,151.50,0.00,-7.51,-30.69,5.27,-20.51,2.22
26.,Globus Power,13.56,,134.17,0.00,-0.02,0.00,0.00,,-6.32
27.,Energy Devl.Co.,17.10,62.01,81.23,0.00,-13.76,63.59,4.17,47.87,14.27
28.,Waa Solar,53.15,108.48,70.51,0.00,-1.17,-114.19,18.96,36.80,3.28
29.,Karma Energy Ltd,42.06,202.75,48.66,0.00,-0.82,-373.33,0.88,-6.38,-3.77
30.,Gita Renewable,78.50,,32.28,0.00,0.20,2100.00,0.00,,0.00
31.,Advance Meter.,18.81,,30.21,0.00,-6.27,11.69,2.41,-25.62,-8.22
32.,Veer Energy,12.97,97.05,19.41,0.00,-0.62,-8.77,0.83,-66.53,0.39
33.,SRM Energy Ltd,17.76,36.57,16.09,0.00,2.06,2388.89,0.00,,108.16
34.,IND Renewable,11.30,,15.74,0.00,-1.05,,0.00,,-4.58
