S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Navneet Educat.,142.52,20.26,3152.73,2.10,39.00,-47.07,430.00,-0.92,10.23
2.,S Chand & Compan,149.09,6.71,525.87,2.68,169.50,20.45,547.82,16.21,10.20
3.,Repro India,351.25,,503.88,0.00,-11.26,-1825.66,139.47,13.33,1.28
4.,Dachepalli Pub.,75.53,7.44,113.11,0.00,5.16,122.41,35.84,94.04,23.84
5.,Chetana Educa.,44.65,6.58,91.09,0.00,4.05,27.91,50.71,14.29,18.84
6.,Shakti Press,26.82,45.78,75.53,0.00,0.54,1700.00,8.13,143.41,8.85
7.,Unick Fix-A-Form,52.47,33.86,28.78,0.00,-0.22,-121.15,14.57,9.55,6.35
8.,Infomedia Press,5.54,,27.81,0.00,-0.81,13.70,0.00,,
9.,Inland Printers,50.00,,24.72,0.00,-0.09,0.00,0.00,,-8.82
10.,Kiran Print Pack,28.65,119.42,14.33,0.00,0.02,200.00,0.24,41.18,4.81
