S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,HDFC Bank,747.05,15.13,1150281.38,1.74,21074.22,8.05,87182.50,0.46,7.04
2.,ICICI Bank,1262.10,16.70,905003.06,0.87,15680.64,9.28,49593.75,2.49,7.20
3.,Axis Bank,1272.30,15.00,395692.46,0.08,7642.08,1.71,34170.99,5.30,6.24
4.,Kotak Mah. Bank,377.45,19.74,375430.98,0.13,5423.15,4.53,17827.36,6.29,6.93
5.,IDBI Bank,73.08,8.53,78578.56,2.87,2012.56,-3.85,7803.71,11.75,6.50
6.,Federal Bank,304.15,17.26,74998.84,0.39,1392.32,22.92,7946.61,11.80,6.39
7.,Yes Bank,23.30,20.82,73129.12,0.00,1082.32,45.35,7662.27,0.51,5.98
8.,IndusInd Bank,904.80,79.27,70495.93,0.17,594.17,125.51,11005.42,3.49,5.68
9.,IDFC First Bank,72.35,38.07,62299.93,0.35,318.94,4.89,10552.77,12.11,5.99
10.,Bandhan Bank,205.87,27.11,33166.03,0.73,534.14,68.02,5428.43,-0.10,6.41
11.,Karur Vysya Bank,279.35,10.76,26999.39,0.78,724.96,41.22,2903.65,15.41,7.64
12.,RBL Bank,351.35,26.45,21753.41,0.28,229.71,234.37,3720.25,7.04,5.77
13.,City Union Bank,244.85,13.72,18194.57,0.61,359.56,24.86,1855.62,21.07,6.74
14.,J & K Bank,147.52,6.88,16244.64,1.46,798.56,37.23,3273.34,1.87,5.84
15.,T N Merc. Bank,745.90,8.83,11811.43,1.47,373.65,28.01,1550.38,15.56,7.51
16.,South Ind.Bank,44.00,7.91,11517.40,0.91,407.50,19.09,2559.48,7.84,6.42
17.,Karnataka Bank,262.00,7.56,9908.58,1.91,408.19,61.74,2257.32,-0.05,6.06
18.,CSB Bank,362.05,9.92,6281.05,0.00,201.58,5.85,1200.86,22.43,7.05
19.,DCB Bank,175.42,7.72,5649.46,0.77,205.65,16.14,1907.27,9.49,7.40
20.,Dhanlaxmi Bank,32.88,12.63,1297.77,0.00,43.49,50.07,443.05,26.36,5.81
