S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,SBI,977.70,10.83,902477.48,1.77,20507.98,0.22,131080.12,3.34,6.13
2.,Bank of Baroda,263.70,6.88,136368.82,3.22,5871.79,7.03,34513.73,5.16,5.63
3.,Union Bank (I),167.00,6.56,127481.21,2.99,5503.61,9.83,26675.95,-4.28,6.30
4.,Canara Bank,135.81,6.87,123188.51,3.09,4575.11,-9.78,31838.54,1.09,6.52
5.,Punjab Natl.Bank,106.85,6.68,122802.10,2.81,5602.47,12.07,32797.77,0.84,6.13
6.,Indian Bank,842.05,9.69,113421.10,2.17,3173.55,6.42,17488.50,10.27,6.32
7.,Bank of India,141.46,6.08,64402.04,3.29,3088.90,18.67,19573.37,5.92,5.93
8.,I O B,32.93,12.18,63411.95,0.00,1505.45,43.23,8488.96,11.21,6.06
9.,Bank of Maha,79.19,8.68,60909.42,2.78,2044.88,36.11,7755.18,15.22,6.03
10.,UCO Bank,25.26,11.45,31674.93,1.74,801.15,22.79,6656.33,-1.31,5.55
11.,Central Bank,30.38,6.16,27498.16,3.95,747.78,-32.49,9697.80,12.07,5.62
12.,Pun. & Sind Bank,23.68,12.71,16802.35,0.30,421.83,34.86,3029.99,-4.08,5.95
