S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Reliance Industries,1291.00,22.44,1747050.27,0.46,20589.00,-12.55,294059.00,12.50,10.26
2.,I O C L,138.26,4.64,195240.24,5.06,15176.08,77.99,208289.26,6.67,18.78
3.,B P C L,295.00,4.90,127985.91,5.93,5624.54,26.07,118700.88,6.72,25.69
4.,H P C L,385.05,4.54,81931.81,2.73,6065.26,77.58,114937.21,4.84,22.23
5.,M R P L,154.90,14.11,27147.76,2.58,116.99,-68.43,23949.69,-2.63,17.69
6.,C P C L,1181.40,5.67,17592.39,0.68,1421.85,202.57,16817.32,-2.50,35.11
7.,Kotyark Indust.,412.55,22.59,424.06,2.06,9.38,543.45,63.66,220.54,15.31
8.,Rajasthan Securities,46.70,4.43,359.00,0.00,61.14,9025.37,61.21,,137.57
9.,Resgen,54.95,11.30,115.26,0.00,6.16,48.79,33.20,-15.89,18.80
10.,Cont. Petroleums,94.92,26.52,89.89,0.00,0.63,85.29,20.87,-22.56,9.51
11.,Sanmit Infra,50.16,40.03,79.26,0.00,1.65,3.77,32.31,-29.64,7.65
12.,Real Eco-Energy,4.46,111.50,44.60,0.00,-0.04,-104.94,1.25,-62.69,4.56
13.,Omnipotent,3.12,,1.89,0.00,-0.07,89.71,0.00,-100.00,-21.75
