S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,DLF,577.70,33.78,142998.76,1.04,1268.56,-3.22,1814.06,-42.00,6.34
2.,Lodha Developers,894.45,26.06,89355.74,0.48,1008.10,9.35,4713.50,11.58,16.58
3.,Phoenix Mills,1751.10,50.45,62626.42,0.14,485.41,50.04,1233.20,21.34,12.83
4.,Prestige Estates,1381.10,49.76,59488.15,0.13,291.80,900.40,4073.80,166.54,10.38
5.,Oberoi Realty,1633.40,24.28,59390.79,0.49,703.28,62.36,1749.83,52.14,17.28
6.,Godrej Propert.,1708.30,27.56,51458.43,0.59,645.44,70.53,3458.13,62.99,8.28
7.,Anant Raj,570.05,36.97,20514.78,0.13,148.71,23.57,646.81,19.64,12.07
8.,Brigade Enterpr.,651.40,24.50,15934.66,0.38,190.70,-41.82,1457.60,-0.19,10.51
9.,Sobha,1342.60,74.23,14356.80,0.22,91.84,124.77,1987.84,60.23,6.90
10.,A B Real Estate,1237.80,,13825.69,0.16,5.39,-509.00,82.61,-79.07,-4.26
11.,SignatureGlobal,812.55,318.12,11417.20,0.00,1152.41,61.39,1107.27,112.76,2.60
12.,Embassy Develop,58.59,,8147.72,0.00,-323.43,-310.73,342.46,-61.47,-2.38
13.,Max Estates,444.50,580.90,7267.02,0.00,-4.08,-128.89,49.43,24.26,1.79
14.,Mahindra Life.,338.50,26.41,7221.65,1.03,90.12,5.91,669.62,7146.97,7.64
15.,Sri Lotus,137.16,28.27,6703.33,0.00,100.92,11.45,307.50,61.82,21.15
16.,Ganesh Housing,780.75,20.59,6510.45,0.64,61.36,-62.79,95.06,-62.19,18.78
17.,Kalpat.,316.00,68.52,6506.88,0.00,193.87,1326.83,1693.73,183.76,1.34
18.,Puravankara,210.44,78.33,4990.58,0.00,109.95,231.95,1501.92,177.33,11.24
19.,Keystone Realtor,390.20,62.46,4925.90,0.38,63.65,-19.10,1595.97,172.89,4.68
20.,AGI Infra,377.20,49.70,4714.90,0.03,26.69,69.57,88.12,5.81,20.11
21.,Sunteck Realty,282.30,20.28,4145.35,0.53,62.83,26.51,339.04,64.54,7.54
22.,Raymond Realty,602.10,13.16,4008.40,0.33,161.12,6613.33,1156.74,888.24,30.52
23.,TARC Ltd,128.91,199.48,3804.09,0.00,1.61,101.55,208.70,1665.65,2.26
24.,Kesar India,1235.40,124.74,3727.36,0.00,14.54,808.75,84.80,108.61,23.36
25.,Ashiana Housing,352.80,30.08,3546.52,0.71,20.98,3.15,322.81,48.14,14.45
26.,Raymond,510.10,12.47,3395.93,0.00,11.93,-89.28,602.91,8.15,3.95
27.,Kolte Patil Dev.,362.10,,3211.11,0.00,-14.51,-124.48,248.61,-65.41,-0.06
28.,Hubtown,203.30,19.46,2888.91,0.00,26.22,546.18,160.00,65.37,9.52
29.,Elpro Internatio,167.74,32.54,2842.84,0.42,-91.97,-1347.90,185.44,165.37,6.57
30.,Marathon Nextgen,408.90,13.47,2756.83,0.24,45.52,-16.14,113.55,-23.58,12.50
31.,Arvind SmartSp.,584.60,27.80,2681.38,1.03,44.17,120.99,155.39,-4.72,12.90
32.,National Standar,1236.00,255.90,2472.00,0.00,1.16,-67.78,0.00,-100.00,4.79
33.,Ajmera Realty,121.67,15.99,2394.41,0.74,58.53,119.94,431.13,184.78,14.28
34.,Alembic,87.12,7.05,2237.08,2.75,67.13,-1.93,60.04,-0.38,6.28
35.,Arkade,112.63,11.37,2091.13,0.89,-109.57,118.04,196.58,49.55,19.29
36.,Meghna Infracon,790.85,318.74,1718.02,0.01,1.77,-48.98,18.48,52.48,31.33
37.,Shriram Properti,88.18,14.93,1504.83,0.00,78.53,64.36,640.88,57.18,8.04
38.,Omaxe,75.05,,1372.67,0.00,-191.42,-28.98,348.52,-35.61,-109.77
39.,Avishkar Infra,602.30,,1349.35,0.00,-1.06,-135.58,0.00,-100.00,2.34
40.,Unitech,4.96,,1297.68,0.00,-565.67,-42.30,130.22,29.17,
41.,Arihant Super.,260.05,24.43,1124.72,0.58,11.91,5.68,180.80,18.50,10.55
42.,B-Right Real,962.35,28.29,994.22,0.00,33.43,2667.61,113.29,80.40,21.77
43.,Suraj Estate,186.69,9.88,891.88,0.00,10.76,-41.22,98.78,-27.62,14.54
44.,PVP Ventures,32.52,,846.83,0.00,-3.19,-110.74,41.44,117.76,6.22
45.,Arih.Found.Hsg.,823.90,13.92,821.07,0.00,4.29,-62.60,147.61,118.88,17.47
46.,Prozone Realty,51.36,73.32,783.75,0.00,3.91,120.30,52.57,-0.49,6.10
47.,Eldeco Housing,784.50,31.77,771.40,1.15,4.85,49.69,60.11,63.70,7.72
48.,Vascon Engineers,32.03,15.18,742.13,0.00,5.72,-83.01,253.08,-34.62,5.92
49.,Haz.Multi Proj.,26.56,16.84,718.79,1.51,32.38,92.97,158.41,-36.50,12.02
50.,GeeCee Vent.,329.95,16.40,689.98,0.00,23.57,505.91,33.18,110.00,6.31
51.,Modi's Navnirman,341.80,22.95,669.63,0.00,4.41,192.05,51.49,158.22,29.57
52.,Shraddha Prime,162.80,12.18,657.73,0.18,23.30,245.89,186.31,287.02,23.58
53.,C C C L,14.67,,655.40,0.00,-2.00,167.72,103.20,129.54,-1.85
54.,RDB Infrastruc.,24.76,44.23,553.78,0.00,4.33,273.28,21.91,7.72,7.27
55.,Peninsula Land,15.48,,513.52,0.00,-118.32,74.32,40.88,-35.20,5.34
56.,Pansari Develop.,284.55,24.96,496.45,0.00,8.25,53.06,13.58,-27.30,12.48
57.,Nila Spaces,12.32,17.00,485.27,0.00,9.40,94.92,49.80,25.25,31.32
58.,Emami Realty Ltd,85.50,,444.89,0.00,-65.85,17.36,73.09,435.07,-6.90
59.,Suratwwala Busi.,24.37,11.15,422.62,0.41,13.28,103.37,58.97,171.50,30.85
60.,RDB Real Estate,156.45,,411.59,0.00,-4.97,16.47,179.49,454.67,2.95
61.,Nimbus Projects,209.94,,405.58,0.00,-31.17,86.00,218.23,26192.77,-13.46
62.,Ratnabhumi Dev.,281.70,124.09,385.93,0.00,0.30,-88.05,14.68,-56.45,11.00
63.,Atal Realtech,30.43,57.67,374.28,0.00,3.08,528.57,60.20,37.79,10.66
64.,Nila Infrastruct,7.93,13.41,312.35,0.00,5.85,9.14,81.04,-28.55,22.54
