S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Jubilant Food.,427.20,67.79,28188.59,0.28,82.42,66.39,2499.47,19.31,14.59
2.,Travel Food,1283.80,38.33,16905.01,0.00,122.60,17.45,460.68,25.67,42.37
3.,Devyani Intl.,113.13,,13948.25,0.00,-9.84,7.80,1436.86,18.50,4.66
4.,Westlife Food,444.20,1344.99,6926.68,0.17,2.38,56.58,655.36,8.66,6.11
5.,Sapphire Foods,177.44,,5702.62,0.00,-12.63,-130.06,792.22,11.37,3.99
6.,Restaurant Brand,68.71,,4004.94,0.00,-47.43,23.58,706.84,11.74,-0.46
7.,United Foodbrands,506.00,,1977.77,0.00,-15.07,33.71,360.40,23.10,1.52
8.,Spice LoungeFood,24.72,177.84,1723.29,0.00,4.96,236.26,47.02,35.27,6.42
9.,Coffee Day Enter,38.43,,811.84,0.00,132.07,92.03,280.51,4.66,1.27
10.,Speciality Rest.,107.90,21.36,520.46,0.93,2.85,38.91,116.42,13.02,9.14
11.,Vegorama Punjabi,142.65,28.83,236.96,0.00,,,,,77.53
12.,Gourmet Gateway,14.49,,219.25,0.00,0.31,-183.33,48.97,16.40,6.01
13.,Grill Splendour,123.65,,78.00,0.00,-7.47,21.21,5.22,-10.77,-28.50
14.,Vikram Kamats,40.64,264.14,73.96,0.74,1.79,1370.00,17.12,47.46,5.73
