S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,National High,166.30,46.99,32209.83,9.01,204.55,45.58,1145.46,77.05,4.42
2.,Cube Highways,148.25,135.60,19925.83,9.29,134.99,318.54,1162.16,37.37,6.44
3.,Vertis Infra.,108.20,23.75,16338.03,8.90,230.35,54.74,1055.49,50.57,11.25
4.,RaajMarg Infra,110.97,,6658.20,0.00,10.31,,10.67,,
5.,Citius Transnet,106.59,,6501.99,0.00,-92.23,,500.85,,-0.10
6.,Indus Inf. Trust,125.45,14.52,5556.66,10.76,106.28,-27.91,187.94,-25.14,6.77
7.,IRB InvIT Fund,60.65,14.07,4797.10,13.19,96.61,3.29,528.18,87.46,7.27
8.,Roadstar Infra,62.53,,2848.10,8.48,-155.64,-1623.01,286.67,-9.82,2.18
9.,BF Utilities,635.10,949.12,2391.79,0.00,-3.64,-6985.71,1.67,-29.54,3.88
10.,Anantam Highways,104.50,11.63,2272.88,2.39,202.87,405840.00,222.54,,
11.,Innovision,295.55,19.06,703.80,0.00,11.87,8.15,267.52,6.28,20.28
12.,Highway Infra,47.28,10.58,339.10,0.00,8.69,-25.82,274.63,107.90,18.76
13.,Noida Tollbridg.,4.97,3.40,92.54,0.00,3.85,-4.90,11.24,7.66,162.47
14.,Gayatri Highways,2.26,,54.16,0.00,6.90,-26.28,14.55,1133.05,67.14
15.,MEP Infrast.,0.87,,15.96,0.00,-604.90,-767.36,20.49,1.84,-401.21
