S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Ecos (India),125.51,13.08,753.06,1.91,15.74,-12.89,206.76,16.66,30.32
2.,Voler Car,217.90,69.98,242.82,0.00,0.70,-22.22,13.95,25.90,12.05
3.,Wise Travel,97.00,7.84,230.97,0.00,17.17,31.67,446.96,46.57,16.31
4.,Ashwini Contain.,144.00,14.08,216.00,0.00,9.91,81.50,54.91,20.36,24.08
5.,Shree OSFM,52.00,10.57,80.10,0.00,2.71,-51.35,76.92,9.79,12.30
6.,Desi Farms India,624.75,294.52,61.85,0.00,0.22,100.00,0.10,-33.33,-157.45
7.,ABC India,62.01,,33.59,0.81,2.22,-359.26,45.20,-7.02,-0.31
8.,Balurghat Tech,13.50,44.67,24.57,0.00,4.61,668.33,31.81,21.46,7.23
9.,Inter State Oil,38.39,9.98,19.17,0.00,1.21,764.29,30.67,33.29,10.83
10.,Frontline Corp.,34.90,7.24,17.45,0.00,0.83,-5.68,33.05,15.96,5.37
11.,Coastal Roadways,25.75,6.85,10.69,0.00,0.04,-20.00,10.50,-1.78,8.49
12.,Mahasagar Travel,5.74,19.61,4.51,0.00,0.11,-83.82,9.37,-5.26,15.82
