S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Apcotex Industri,540.20,27.91,2800.66,1.48,34.74,107.28,397.58,13.79,19.80
2.,Pix Transmission,1608.90,20.52,2192.93,0.56,20.22,-10.73,170.77,4.91,21.76
3.,Tinna Rubber,869.60,29.64,1566.65,0.46,16.53,31.19,156.95,21.64,22.31
4.,GRP,1798.20,253.71,959.04,0.81,-1.34,-106.89,144.52,-9.87,6.70
5.,Rubfila Intl.,74.90,15.27,406.46,2.67,6.42,-22.74,160.60,8.90,12.29
6.,Harri. Malayalam,201.47,12.77,371.91,0.00,9.11,75.53,147.13,7.62,15.28
7.,Gayatri Rubbers,519.90,53.37,298.32,0.00,2.95,86.71,24.48,33.99,39.54
8.,Elgi Rubber Co,48.00,,240.48,0.00,-204.05,-179.70,86.34,-11.19,-12.92
9.,Ameenji Rubber,146.00,25.98,164.69,0.00,1.96,,80.55,,19.61
10.,Sampann Utpadan,27.15,19.55,132.52,0.00,1.20,-37.50,38.75,19.67,8.18
11.,Rishiroop,88.26,12.07,80.88,1.70,-5.62,-135.15,21.36,13.92,6.51
12.,Lead Reclaim,80.00,16.90,69.13,0.00,3.10,219.59,17.92,-18.25,21.28
13.,Pentagon Rubber,56.50,23.67,43.56,0.00,1.21,-31.25,24.11,-3.64,7.40
