S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,GE Shipping Co,1464.00,7.10,20901.11,2.40,1044.09,187.56,1511.40,23.58,18.35
2.,S C I,302.65,10.42,14097.44,2.18,404.60,118.54,1513.21,14.19,14.31
3.,Shreeji Ship. Gl,472.95,50.46,7705.22,0.21,40.32,-18.07,188.07,20.49,26.35
4.,SEAMEC Ltd,1586.10,16.04,4032.66,0.00,103.70,141.04,327.07,63.85,20.04
5.,ABS Marine,256.95,7.89,630.81,0.00,49.46,154.86,183.09,83.46,20.98
6.,Essar Shipping,23.28,,481.84,0.00,-35.57,-95.73,0.04,100.03,
7.,Transworld Shipp,163.79,,359.68,0.92,-29.52,-494.17,132.42,-12.82,-4.56
8.,Sadhav Shipping,118.10,12.94,190.53,0.00,3.15,,34.34,,8.89
9.,Garware Offshore Services,41.37,,127.19,0.00,-5.58,-118.60,12.48,39.13,-5.87
10.,Chowgule Steam,20.88,,75.82,0.00,-0.87,-495.45,0.87,-15.53,2.52
11.,Arvind Port &,28.75,41.23,49.06,0.00,0.99,-84.84,8.30,-36.25,2.64
12.,Shahi Shipping,12.97,,18.79,0.00,-0.69,-303.23,1.59,-48.21,-16.67
13.,Datiware Mari.,27.27,,13.64,0.00,-0.13,-30.00,0.10,0.00,0.96
