S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Oracle Fin.Serv.,9936.50,32.78,86511.47,4.03,841.70,30.72,2065.20,20.33,45.28
2.,Tanla Platforms,517.15,13.47,6858.31,2.32,134.32,14.48,1177.54,14.95,26.22
3.,C.E. Info System,853.40,34.83,4673.31,0.41,50.93,4.53,145.04,1.04,22.00
4.,Capillary Tech.,506.60,135.88,4026.05,0.00,43.36,54.34,191.35,25.82,3.62
5.,Technvision Ven.,5543.00,15822.73,3481.00,0.00,-4.24,-410.84,67.11,70.55,12.87
6.,Mobavenue AI Tech,1430.50,75.35,2211.49,0.07,8.44,752.53,62.62,1285.40,75.89
7.,Ramco Systems,562.25,35.19,2113.16,0.00,25.17,371.75,185.36,19.39,19.33
8.,Nucleus Soft.,718.00,14.18,1890.16,1.74,34.55,-43.21,224.77,-1.83,20.00
9.,Blue Cloud Soft.,18.21,22.67,1371.36,0.00,12.11,-7.13,277.52,51.14,14.16
10.,Quick Heal Tech,180.01,,976.52,0.00,-19.94,-513.54,48.73,-25.19,-4.65
11.,Unicommerce,86.40,47.46,970.96,0.00,3.40,1.19,51.63,14.05,21.09
12.,Subex,10.97,19.28,618.36,0.00,9.93,157.10,72.96,3.34,13.07
13.,IRIS Regtech Solutions,241.25,35.03,496.21,0.00,4.15,100.63,39.15,31.64,12.55
14.,Omega Interactiv,62.56,54.76,494.49,0.00,0.06,-80.65,70.99,,24.64
15.,ABM Knowledge,215.33,34.32,430.71,0.58,2.91,-35.04,23.91,11.16,7.51
16.,Virtual Galaxy,157.80,8.51,392.43,0.63,14.49,195.71,54.66,189.21,33.74
17.,Artificial Elect,110.70,8.33,306.30,0.00,11.93,2149.06,46.01,1019.46,
18.,Aion-Tech Soluti,44.88,,234.55,0.00,-2.69,-54.79,41.72,44.86,-1.71
19.,Atishay,199.30,32.28,219.86,0.50,1.77,-25.00,10.17,-20.79,16.98
20.,Avance Tech.,1.01,15.12,200.17,0.00,10.37,862.50,30.94,-35.96,2.68
21.,Virinchi,15.23,,171.42,0.00,-15.68,-233.56,65.97,-4.31,1.31
22.,Ace Soft. Exp.,119.00,38.50,168.25,0.00,-0.34,-119.38,14.67,7.24,5.83
23.,Xelpmoc Design,93.79,,138.80,0.00,-1.78,-5.33,1.08,52.11,-10.56
24.,Silverline Tech,6.94,,108.21,0.00,-26.43,-5973.33,3.40,-89.46,1.47
25.,Mobilise App,107.00,18.21,101.78,0.00,1.31,-23.39,5.20,-4.06,39.37
26.,BITS,8.22,137.25,91.96,0.00,0.23,155.56,0.43,43.33,3.67
27.,Trust Fintech,31.55,9.14,75.17,1.58,3.93,-5.30,21.50,47.56,10.21
28.,Cranes Software,3.83,,73.52,0.00,-0.72,-50.00,1.35,8.87,
29.,Odyssey Tech.,38.23,15.16,60.95,2.62,1.71,0.00,7.66,2.82,9.35
30.,Netlink Solns(I),185.00,23.05,46.79,0.00,-0.02,98.97,0.01,0.00,6.09
31.,Olatech Solution,102.67,27.04,45.69,0.00,-0.72,-175.79,10.31,7.28,14.39
32.,B2B Soft.Tech.,25.20,15.42,43.79,2.65,0.32,-42.86,8.04,7.49,16.13
33.,IEC Education,24.06,,36.72,0.00,-2.37,-2850.00,0.00,,-6.42
34.,TeleCanor Global,18.21,4.20,30.03,0.00,3.17,2364.29,6.87,,16.44
35.,Response Info.,23.75,9.16,20.06,0.00,1.31,98.57,6.40,-0.16,11.92
36.,New Markets Advi,31.81,,15.71,0.00,-0.13,-200.00,0.00,-100.00,-9.04
37.,COSYN,20.80,141.82,15.60,0.00,0.03,-57.14,1.69,-64.64,2.27
38.,Hit Kit Global,2.72,162.89,14.66,0.00,0.05,120.83,0.37,270.00,0.65
39.,Groarc Industrie,6.83,41.12,13.98,0.00,0.53,381.82,1.56,372.73,1.16
40.,Cont. Chemicals,59.60,26.27,13.40,0.00,0.12,-40.00,0.07,16.67,11.84
41.,Infronics Sys.,16.69,,13.23,0.00,-0.16,-139.02,0.00,-100.00,-24.79
42.,Indo-City Info.,12.53,46.54,13.03,0.00,-0.69,-64.29,0.51,-20.31,3.69
43.,CLIO Infotech,8.86,14.79,9.76,0.00,0.38,3900.00,0.72,700.00,2.87
44.,Svam Software,5.73,107.56,9.68,0.00,-0.03,86.36,0.04,,2.55
45.,Hind.Bio Science,8.29,,8.50,0.00,-0.12,-209.09,0.00,-100.00,-2.43
46.,First Fintec,7.02,,7.30,0.00,-0.33,-13.79,0.43,0.00,0.09
47.,Seshachal Tech.,94.35,327.50,6.55,0.00,-0.09,0.00,5.55,302.17,1.58
48.,Virgo Global,5.75,,6.04,0.00,0.82,32.26,0.92,,-33.09
49.,Omni Ax's,3.47,,5.97,0.00,-0.06,-200.00,0.00,,-0.52
