S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Trent,2774.20,85.69,147929.30,0.22,413.10,25.83,5027.99,19.23,28.34
2.,Lenskart Solut.,506.45,175.05,88057.51,0.00,203.62,-8.50,2515.71,45.62,8.44
3.,A B Lifestyle,101.55,59.26,12394.40,0.00,54.52,57.68,2174.16,11.95,14.67
4.,Vedant Fashions,405.40,26.23,9850.30,1.97,114.30,13.05,399.43,8.71,23.55
5.,V2 Retail,247.99,60.36,9042.65,0.00,18.19,206.00,798.14,60.11,19.06
6.,Aditya Bir. Fas.,60.09,,7334.05,0.00,-163.81,-13.52,1990.13,15.74,-3.07
7.,Aditya Vision,551.20,60.30,7118.09,0.20,21.73,35.98,625.03,28.42,16.97
8.,Arvind Fashions.,469.30,46.67,6270.94,0.34,66.34,147.37,1364.79,14.78,18.92
9.,City Pulse Multi,2158.75,1762.38,3225.16,0.00,1.29,377.78,2.71,1255.00,2.59
10.,Shankara Buildpro,1134.70,21.23,2751.57,0.44,41.50,41.69,1996.30,27.95,39.02
11.,Baazar Style,337.80,114.42,2520.57,0.00,-25.64,22.03,465.71,34.86,7.43
12.,Go Fashion (I),414.20,37.80,2237.05,0.00,7.95,-60.03,196.12,-4.24,10.58
13.,Sai Silks,106.44,11.58,1632.43,0.94,32.65,141.67,419.06,5.07,13.96
14.,Credo Brands,89.66,12.13,586.32,3.35,15.23,10.12,162.30,5.93,13.80
15.,Bhatia Communic.,26.54,22.27,373.29,0.15,4.55,55.29,170.09,63.91,21.28
16.,Logica Infoway,160.00,20.08,284.76,0.00,7.76,6.74,729.02,22.18,13.56
17.,Shankara Building,114.99,59.71,278.84,2.61,7.35,-74.17,340.50,-79.23,4.29
18.,Brand Concepts,189.57,171.46,236.62,0.00,0.77,-50.64,90.42,25.03,7.19
19.,Praxis Home,6.78,,125.98,0.00,-115.30,0.63,24.74,-9.04,-26.18
20.,Mehul Telecom,93.23,9.78,97.44,0.00,5.19,83.39,106.34,64.46,57.22
21.,Fonebox Retail,85.00,12.82,87.21,0.00,4.53,60.07,311.35,74.84,25.33
22.,Umiya Mobile,52.92,8.19,75.25,0.00,5.41,167.82,470.91,52.56,30.97
23.,Cell Point,15.75,490.50,29.43,0.00,-0.13,-120.00,190.99,11.57,5.47
24.,Raconteur Global,15.00,,16.17,0.00,-20.54,-7707.41,3.72,644.00,-24.19
25.,7NR Retail Ltd,5.59,104.40,15.66,0.00,-0.32,-124.62,-0.40,-102.68,0.56
26.,Mafia Trends,6.35,6.00,2.82,0.00,0.03,-90.62,5.08,-4.87,7.62
