S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1,Pidilite Inds.,1476.6,61.12,150284.71,0.68,584.15,32.82,3583.38,14.08,30.97
2,Gujarat Fluoroch,3558.5,66.47,39090.12,0.08,109,-41.93,1369,11.76,9.86
3,Navin Fluo.Intl.,7032.5,53.95,36074.47,0.21,212.62,113.03,937.71,33.78,21.37
4,Deepak Nitrite,1680.1,40.93,22915.39,0.45,219.83,8.56,2120.33,-2.72,11.49
5,Atul,6678.5,29.01,19662.68,0.45,211.1,66.13,1670.07,15.05,14.87
6,Aarti Industries,458.05,40.31,16608.64,0.22,137,42.71,2205,13.13,6.85
7,Anupam Rasayan,1328.2,88.89,15121.33,0.06,56,-4.31,635.78,27.12,7.36
8,Aether Industri.,1138.2,66.77,15104.98,0,54.01,4.78,305.12,27.03,11.92
9,BASF India,3417.8,35.48,14794.17,0.73,63.58,93.19,3453.04,8.28,14.68
10,Fine Organic,4754.4,35.39,14576.98,0.23,117.49,20.97,625.32,3.05,21.47
11,Vinati Organics,1304.1,27.72,13519.04,0.58,137.51,7.79,610.55,-5.84,21.33
12,Privi Speci.,3230.7,38.53,12619.99,0.31,94.11,40.86,721.52,17.6,22.09
13,Jubilant Ingrev.,626.25,34.67,9974.98,0.8,86.44,16.73,1178.65,12.12,11.35
14,Alkyl Amines,1775.3,50.44,9079.6,0.56,45.37,-1.41,386.91,0.22,16.63
15,Clean Science,791.85,36.64,8415.57,0.76,58.27,-21.35,249.25,-5.47,20.64
16,Elantas Beck,9967,54.12,7901.52,0.08,31.08,-5.45,222.17,7.78,21.21
17,Balaji Amines,2043.3,39.6,6620.5,0.54,64.77,57.79,394.79,11.92,11.03
18,Archean Chemical,518.3,62.14,6398.85,0.48,12.23,-74.93,300.94,-12.92,7.41
19,Galaxy Surfact.,1749.9,22.4,6204.23,1.26,62.43,-17.71,1314.7,14.83,13.48
20,Neogen Chemicals,1903.6,181.3,5212.38,0.05,11.39,23.67,246.56,21.57,6.46
21,Epigral,1163.9,15.4,5021.22,0.43,81.93,-5.41,736.16,17.29,15.3
22,Fineotex Chem,40.73,43.61,4743.01,0.2,43.8,58.29,313.73,161.9,18.3
23,Laxmi Organic,158.66,55.42,4398.24,0.19,21.55,-0.97,735.31,3.61,4.69
24,Vishnu Chemicals,603.4,28.55,4061.8,0.05,43.4,11.45,450.31,14.69,16.28
25,Styrenix Perfor.,2201.2,20.95,3871.91,2.45,73.48,33.83,826.1,-12.09,15.07
26,Foseco India,4826,37.28,3637.48,0.52,33.49,48.5,201.88,35.94,17.45
27,Yasho Industries,2470.1,117.9,2978.22,0.02,12.26,143.74,246.26,33.25,8.98
28,Rossari Biotech,527,19.56,2919.14,0.09,45.97,33.48,684.86,18.17,14.57
29,Jubilant Agri,1835.8,21.33,2781.69,0,19.93,30.04,485.2,21.82,39.86
30,Tatva Chintan,1183.5,65.84,2768.45,0.08,10.32,901.94,134.14,24.36,7.14
31,NOCIL,161.19,45.2,2692.27,0.93,17,-18.23,330.35,-2.75,4.66
32,DDev Plastiks,251.43,12.89,2601.71,0.7,54.52,5.39,765.66,3.92,31
33,Camlin Fine,135.08,211.31,2594.84,0,86.28,-60.5,424.81,-1.57,4.05
34,Bhansali Engg.,96.86,13.38,2410.44,4.13,51.6,30.63,341.61,-0.97,23.75
35,Titan Biotech,442.3,61.14,1827.52,0.09,6.73,66.17,48.83,38.84,22.76
36,S H Kelkar & Co.,125.52,35.45,1737.46,0.8,1.8,-96.22,649.94,14.55,5.87
37,Nitta Gelatin,1745.4,16.12,1584.82,0.34,34.1,104.57,161.73,25.24,27.39
38,Vidhi Specialty,291.1,29.58,1453.9,1.72,13.29,10.38,122.68,12.01,18.76
39,Indokem,500.65,746.65,1396.23,0,0.34,-90.81,45.5,-16.41,6.29
40,Platinum Industr,218.4,22.91,1199.56,0,14.85,166.43,132.01,36.78,15.74
41,Paushak,484.8,30.39,1195.37,0.52,12.51,30.31,55.14,5.31,9.73
42,Excel Industries,919.45,15.27,1155.81,1.5,12.28,-1.05,281.24,13.48,6.06
43,Oriental Aromat.,318.55,323.88,1072.03,0.16,3.99,180.99,282.37,11.54,4.47
44,Jyoti Resins,878.95,15.07,1054.74,1.02,20.08,1.52,92.94,18.23,36.53
45,Indo Amines,131.37,12.02,953.58,0.38,20.51,73.08,317.61,11.28,19.87
46,Sunshield Chem.,1060.05,31.5,932.3,0.28,10.66,85.71,109.67,-0.58,19.89
