S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Billionbrains,196.09,59.06,123018.96,0.00,686.35,122.06,1505.37,87.93,37.32
2.,Motil.Oswal.Fin.,855.35,27.55,51495.89,0.70,-219.11,-241.64,2676.20,124.84,12.65
3.,360 ONE,1073.90,35.88,43632.04,1.12,288.74,15.68,1115.47,35.91,12.13
4.,Angel One,332.60,33.20,30378.00,1.44,320.24,83.50,1459.42,38.20,14.77
5.,Nuvama Wealth,1574.40,27.56,28693.67,1.77,268.79,5.38,1269.14,13.34,17.49
6.,IIFL Capital,342.75,19.03,10682.49,0.88,115.12,-10.32,644.30,19.95,23.17
7.,Anand Rathi Shar,524.75,25.09,3307.31,0.00,41.99,125.15,255.29,28.25,19.82
8.,Share India Sec.,135.29,9.15,2960.49,1.00,58.04,208.26,415.91,73.70,18.41
9.,Monarch Networth,338.90,14.83,2686.40,0.30,45.56,84.16,99.87,63.80,27.68
10.,Indo Thai Sec.,221.92,36.74,2430.51,0.05,26.18,1114.73,38.34,555.38,34.58
11.,Geojit Fin. Ser.,76.82,24.78,2144.22,1.95,17.47,-43.59,188.01,6.40,9.04
12.,5paisa Capital,311.60,33.06,1460.85,0.00,10.86,7.85,85.42,19.85,9.93
13.,Dolat Algotech,73.39,10.02,1291.66,0.34,46.81,17.75,125.89,10.52,18.13
14.,SMC Global Sec.,59.88,12.29,1253.89,2.00,21.46,465.15,516.94,22.65,11.38
15.,Dam Capital Advi,150.64,14.69,1064.81,0.66,0.26,-96.93,29.23,-20.05,35.64
16.,Master Trust,81.91,7.99,1007.62,0.00,36.06,46.88,180.61,48.07,23.85
17.,Systematix Corp.,66.34,63.88,905.79,0.15,-11.79,-448.48,23.50,-20.69,8.49
18.,Emk.Global Fin.,291.86,52.29,794.74,0.51,5.66,-33.33,148.39,108.88,7.92
19.,Adit.Birla Money,136.60,12.70,771.92,0.00,18.73,100.75,129.80,30.50,9.86
20.,Arihant Capital,66.65,23.02,730.57,0.75,0.50,-96.23,49.04,5.83,11.00
21.,Pune e,280.25,22.57,441.42,0.00,9.51,72.83,27.48,20.42,15.06
22.,Shardul Sec.,27.99,,244.89,0.00,-63.74,8.55,4.59,105.41,-5.88
23.,Almondz Global,13.69,8.34,239.44,0.00,5.18,-15.77,55.79,5.76,11.74
24.,Rikhav Securitie,46.75,9.40,179.02,0.00,1.18,104.39,1596.05,609.13,13.12
25.,Indbank Merchant,33.61,21.28,149.16,0.00,1.21,-3.51,5.89,10.92,10.34
26.,Keynote Finan.,259.00,20.87,144.18,0.39,-9.48,-29.00,0.07,103.89,6.90
27.,LKP Securities,17.40,13.92,143.23,1.72,2.26,-15.99,27.79,24.34,13.61
28.,Swastika Investm,63.67,9.86,127.97,0.94,2.89,970.37,27.30,-0.66,20.39
29.,Steel City Sec.,78.28,8.28,118.26,5.11,3.36,14.68,16.57,20.42,14.46
30.,DB Intl.Stock,31.95,35.96,111.83,0.00,0.23,-82.84,6.08,-21.85,7.28
31.,Munoth Capital,115.00,,105.41,0.00,-0.29,-422.22,0.11,83.33,-3.08
32.,Asit C Mehta Fin,121.00,,99.78,0.00,1.15,-44.86,14.73,-50.12,5.79
33.,Inventure Grow.,0.95,28.58,99.75,0.00,-5.34,-163.72,10.61,-39.68,2.22
34.,Onelife Capital,26.59,18.53,99.34,0.00,12.70,224.13,3.90,217.07,11.41
35.,Wallfort Fin.,74.90,,72.56,0.00,-12.47,24.06,-16.07,1.41,-2.20
36.,My Money Sec.,41.02,16.37,68.91,0.00,2.86,226.55,-0.22,-15.79,14.69
37.,SKP Securities,100.20,6.59,68.22,2.00,1.90,63.79,10.79,27.84,21.70
38.,Joindre Capital,49.05,8.36,67.87,4.08,8.28,-20.48,9.91,1.43,12.09
39.,Hybrid Financial,16.17,17.63,47.60,0.00,0.44,-58.88,1.16,-40.82,9.45
40.,Gogia Capital,52.50,,33.19,0.00,-3.08,-84.43,0.07,106.54,-15.94
41.,Khandwala Sec.,18.50,,28.22,0.00,-0.44,78.54,2.30,94.92,-3.47
42.,GCM Securit.,0.63,,11.97,0.00,-1.23,-17.14,0.00,,-6.09
