S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Balrampur Chini,531.80,29.69,11235.19,0.66,159.57,-30.36,1603.99,6.67,9.28
2.,Triven.Engg.Ind.,367.20,28.80,8037.93,0.68,167.45,-11.83,1507.98,-7.45,8.99
3.,Sh.Renuka Sugar,22.44,,4776.33,0.00,-121.40,-233.41,2548.50,-5.31,-3.12
4.,Bajaj Hindusthan,19.75,33.57,4721.57,0.00,390.68,85.69,1668.71,7.41,2.27
5.,Bannari Amm.Sug.,3600.20,30.52,4514.54,0.35,41.58,18.26,282.29,-42.84,9.32
6.,Dalmia Bharat,342.30,11.65,2770.55,1.75,105.46,-46.94,990.73,-2.44,8.30
7.,M.V.K. Agro,468.60,50.75,2366.61,0.00,30.60,534.85,133.94,96.13,14.37
8.,Uttam Sug.Mills,246.85,9.44,941.44,1.01,51.57,-22.60,451.42,-17.92,11.71
9.,Avadh Sugar,458.55,15.65,917.94,2.18,55.61,-23.23,670.61,-1.20,6.58
10.,Dhampur Sugar,142.51,14.08,916.43,1.40,45.70,-6.88,490.65,-20.75,6.43
11.,Dwarikesh Sugar,44.80,26.92,830.15,0.22,57.41,23.92,425.43,-7.28,4.62
12.,Zuari Industries,250.80,6.44,746.91,0.40,-31.61,-56.79,283.56,4.15,5.45
13.,Dhampur Bio,109.40,28.84,726.28,1.37,46.27,3.28,539.70,16.25,4.88
14.,Magadh Sugar,453.25,9.96,638.70,2.76,48.55,-32.89,290.67,-18.17,7.81
15.,DCM Shriram Inds,39.43,12.37,514.88,5.07,15.91,-19.32,273.54,11.29,7.90
16.,Ugar Sugar Works,41.38,34.20,465.53,0.00,45.76,-10.42,389.49,-23.78,9.00
17.,Mawana Sugars,101.75,9.68,398.05,3.93,62.83,-9.55,374.41,9.20,17.01
18.,Ponni Sug.Erode,339.60,,292.00,1.47,26.68,85.87,89.54,-5.20,7.27
19.,C K K Retail,147.00,26.36,284.71,0.00,0.86,-91.83,110.76,-21.72,17.11
20.,KCP Sugar &Inds.,23.96,24.41,271.67,0.42,-15.20,31.59,68.80,7.52,4.13
21.,SBEC Sugar,54.59,13.94,260.14,0.00,90.59,95.45,158.89,-24.00,21.87
22.,KM Sugar Mills,27.01,4.65,248.49,0.00,9.24,-16.46,105.99,-30.84,13.35
23.,Sakthi Sugars,17.70,7.48,210.36,0.00,86.50,16.73,301.92,-6.19,14.14
24.,Kothari Sugars,24.70,,204.74,0.00,0.63,191.30,41.96,16.39,-5.52
25.,Rana Sugars,12.90,75.61,198.10,0.00,27.75,-76.36,437.84,-7.79,3.53
26.,Sir Shadi Lal,263.55,,138.36,0.00,-16.99,-7.30,78.05,37.63,-153.83
27.,Indian Sucrose,77.07,3.09,133.92,0.00,26.09,6.36,308.22,-1.36,17.48
28.,Dollex Agrotech,31.60,14.99,126.24,0.00,4.64,2629.41,108.59,-8.49,5.52
29.,Vishwaraj Sugar,5.67,,123.51,0.00,10.93,430.58,111.03,-33.39,-3.28
30.,Rajshree Sugars,33.42,46.73,110.74,0.00,31.64,169.39,188.93,8.24,3.18
31.,Parvati Sweetner,7.06,,105.30,0.00,-2.48,-234.78,15.06,31.99,-9.97
32.,Dhampur.Spl.Sug.,119.30,18.40,104.16,0.00,0.59,148.28,17.31,33.77,19.67
33.,Piccadily Sugar,37.40,255.76,86.96,0.00,-1.37,-956.25,0.85,1114.29,1.33
34.,Gayatri Sugars,8.36,61.50,62.12,0.00,46.50,19.69,243.81,24.86,12.40
35.,Kesar Enterprise,5.92,,59.67,0.00,-7.34,55.13,166.32,163.21,-25.16
36.,Pruden. Sugar,15.49,8.11,49.96,0.00,1.50,37.61,10.39,49.71,7.45
37.,The Ravalgaon,1002.00,,34.07,0.00,-3.51,-3800.00,0.00,,-16.70
38.,Simbhaoli Sugar,6.70,,27.66,0.00,6.45,-85.40,181.77,-42.44,-3.14
39.,Shree Hanuman Sg,3.92,,7.25,0.00,-0.20,23.08,0.00,,-0.43
