S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Sun TV Network,516.55,13.63,20356.44,2.90,232.34,-32.40,882.51,-6.30,16.51
2.,Zee Entertainmen,112.27,38.62,10783.75,2.16,-103.70,-154.98,2024.80,-7.29,2.75
3.,Hathway Cable,11.08,23.83,1961.28,0.00,11.25,-67.68,545.85,6.37,2.54
4.,Aqylon Nexus,60.07,,1524.16,0.00,-7.99,-3183.33,3.88,179.14,131.18
5.,Den Networks,27.39,7.89,1307.12,0.00,36.43,-38.24,240.57,-3.04,5.58
6.,NDTV,84.74,,956.08,0.00,-98.57,-60.71,147.96,16.46,-72.58
7.,GTPL Hathway,64.46,45.08,724.94,3.10,-13.93,-235.59,923.84,3.69,3.37
8.,T.V. Today Netw.,114.66,26.42,684.16,2.62,9.02,14.71,213.47,-14.33,4.55
9.,Dish TV India,3.04,,559.75,0.00,-303.95,-244.96,243.07,-29.27,
10.,Zee Media,8.59,80.67,537.24,0.00,-26.53,15.44,157.78,1.27,5.27
11.,BAG Films,5.15,28.60,106.97,0.00,2.34,-70.28,42.93,2.48,5.55
12.,Raj Television,13.26,87.14,68.84,0.00,0.22,104.91,21.32,-1.89,2.63
13.,Siti Networks,0.37,,32.27,0.00,-43.57,22.16,296.10,-2.12,
14.,Colorchips New,12.83,,21.82,0.00,-0.33,17.50,0.06,50.00,-8.70
15.,Crystal Business,2.09,174.67,20.96,0.00,3.19,351.18,4.60,-28.79,2.59
16.,TV Vision,5.29,,20.50,0.00,-13.29,-69.08,0.15,-98.35,
17.,Perfect-Octave,4.11,,14.26,0.00,-0.26,-972.41,0.07,-85.11,-11.67
18.,Hathway Bhawani,11.03,,8.93,0.00,-0.18,-178.26,0.60,-22.08,-9.33
19.,Ortel Commu.,1.68,,5.54,0.00,-9.31,-278.46,10.47,-42.41,-13.42
20.,Sea TV Network,3.46,8.00,4.16,0.00,0.14,-54.84,2.79,-20.29,
