S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Tata Consumer,1130.90,72.86,111909.94,0.88,424.02,34.33,5433.62,17.91,9.24
2.,CCL Products,1079.10,37.13,14409.00,0.46,114.53,12.43,1224.44,46.49,15.82
3.,Andrew Yule & Co,23.56,,1151.97,0.00,-30.51,-2751.40,92.72,-5.86,-6.25
4.,Mcleod Russel,70.91,33.44,740.70,0.00,-72.67,142.46,130.35,-21.22,-4.68
5.,Goodricke Group,178.15,21.39,384.80,1.12,-29.21,30.04,103.85,-21.23,5.06
6.,United Nilgiri,515.20,11.73,257.42,0.58,3.66,-4.44,16.31,-13.79,11.28
7.,The Peria Karamalai Tea,802.05,,248.30,0.12,-9.81,-190.80,12.10,21.36,0.27
8.,Jay Shree Tea,85.28,,246.29,0.59,-34.16,-329.15,177.68,10.00,1.18
9.,Rossell India,55.60,13.03,209.59,0.72,-23.79,-7.94,16.58,82.60,9.08
10.,Neelamalai Agro,3155.25,6.74,196.28,0.95,6.62,58.37,6.98,53.07,9.63
11.,Gillanders Arbut,90.08,20.30,192.25,0.00,-3.89,-282.63,103.39,-0.53,6.08
12.,Dhunseri Tea,131.93,,138.62,0.76,-30.90,34.92,43.97,-35.75,1.80
13.,Bengal Tea & Fab,138.30,27.74,124.55,1.08,-11.40,-95.54,3.65,-3.69,4.76
14.,Ganges Securitie,120.53,44.82,120.57,0.00,-2.71,26.95,3.00,50.00,0.76
15.,Norben Tea,76.94,,119.60,0.00,-0.79,23.30,1.43,32.41,2.96
16.,B & A,344.95,,106.93,0.00,-20.50,-86.05,43.72,1.63,3.77
17.,Grob Tea Co,893.35,16.86,103.84,0.34,-19.01,3.13,9.76,-39.53,7.36
18.,James Warren Tea,271.00,8.07,100.27,0.00,-21.27,-75.21,3.24,-60.25,6.93
19.,Shri Vasuprada,105.00,,86.99,0.00,-6.56,-60.00,22.86,-30.45,-0.67
20.,Terai Tea Co,105.65,14.03,72.68,0.00,0.79,115.90,33.14,79.72,3.87
21.,Warren Tea,43.92,,52.48,0.00,-0.63,17.53,0.00,,-1.82
22.,Diana Tea Co,25.89,22.18,38.81,0.00,-9.66,-8.66,7.62,-20.29,4.16
23.,Kanco Tea,63.45,,32.50,0.00,-14.08,-43.97,2.73,-36.07,-2.94
24.,Tyroon Tea Co.,83.00,,28.22,0.00,-5.82,14.03,2.14,-42.01,-6.07
25.,Indong Tea Co,8.80,,17.09,0.00,-1.45,48.76,8.27,-48.09,-0.31
26.,Octavius Plant.,50.19,17.93,15.06,0.00,0.16,-33.33,38.14,714.96,7.38
27.,Bansisons Tea,12.58,,7.96,0.00,-5.34,-10580.00,0.10,,-162.24
28.,Retro Green,1.48,40.14,5.62,0.00,-0.02,88.89,0.07,-90.00,0.36
