S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Indus Towers,429.65,15.86,113348.66,0.00,1792.90,0.78,8101.00,4.84,19.49
2.,Altius Telecom,170.00,46.40,51805.80,9.26,309.80,85.40,6021.20,1.38,8.66
3.,HFCL,187.23,91.93,28657.47,0.05,184.45,319.21,1824.12,127.81,10.86
4.,Pace Digitek,186.43,13.52,4024.12,0.00,105.92,73.27,1096.78,60.52,21.26
5.,Bondada Engineer,333.55,18.31,3724.80,0.03,62.88,11.39,913.85,27.93,38.66
6.,Vindhya Telelink,1993.30,10.73,2362.06,0.80,103.47,-5.89,1009.30,-18.02,8.14
7.,GTL Infra.,1.61,,2062.27,0.00,1185.58,94.92,330.36,-1.98,
8.,Suyog Telematics,736.15,13.85,862.56,0.24,14.14,202.61,52.74,5.35,14.42
9.,Sar Televenture,130.30,9.10,653.42,0.00,36.23,25.49,280.35,35.30,8.84
10.,Kore Digital,114.80,3.76,138.04,0.00,11.91,-51.61,150.42,-36.24,38.10
11.,Rama Telecom,83.50,37.87,110.21,0.00,0.48,-86.70,27.75,18.69,11.91
