S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Sterlite Tech.,619.25,634.68,30229.78,0.00,59.00,744.40,1441.00,36.98,7.75
2.,ITI,302.00,,29087.41,0.00,375.36,-24.41,627.65,-39.98,1.43
3.,Tejas Networks,576.20,,10247.77,0.43,-211.34,-194.35,332.69,-82.55,-14.64
4.,Optiemus Infra.,453.50,60.93,4022.04,0.00,22.47,0.04,484.98,7.95,10.91
5.,Valiant Commun.,1239.30,59.93,1449.00,0.08,8.14,92.89,24.24,50.37,39.73
6.,ADC India,2446.05,59.44,1125.18,1.02,3.51,18.98,61.24,33.89,31.44
7.,Birla Cable,223.90,39.82,671.70,0.00,10.81,645.52,214.10,37.04,8.95
8.,Kavveri Defence,61.71,299.22,371.03,0.00,0.28,-92.41,0.92,-88.78,1.14
9.,Frog Innovations,172.45,,268.23,0.00,-0.55,-100.66,51.14,-63.37,-1.91
10.,Umiya Buildcon,87.08,4.05,162.71,0.00,0.63,47.37,20.88,63.12,29.10
11.,Aksh Optifibre,6.71,,109.17,0.00,2.24,70.57,40.83,23.80,-6.63
12.,Telogica,10.26,46.87,67.02,0.00,0.96,100.00,14.36,89.45,7.78
13.,Punjab Commun.,50.80,20.49,61.06,0.00,0.30,-78.72,7.02,42.68,10.20
14.,Clenon Enterpri,47.00,,51.42,0.00,-0.60,31.03,0.30,,-16.35
15.,T N Telecom.,9.46,,43.21,0.00,-3.69,33.15,0.00,,
