S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,I R C T C,528.60,30.62,42288.00,1.61,326.57,-0.44,1459.72,15.07,46.09
2.,TBO Tek,1225.20,54.90,13304.18,0.00,60.10,16.86,814.36,82.54,18.00
3.,BLS Internat.,261.10,15.66,10750.56,0.77,186.90,31.57,814.56,17.58,29.34
4.,Le Travenues,155.55,91.85,6815.84,0.00,32.05,91.15,308.05,8.41,6.80
5.,Thomas Cook (I),93.86,19.82,4414.99,0.48,30.68,-40.92,1770.69,-10.07,14.83
6.,Easy Trip Plann.,6.74,,2685.66,0.00,-15.41,-188.41,151.91,8.91,0.63
7.,Yatra Online,98.84,30.83,1550.96,0.00,8.20,-46.12,189.01,-13.68,7.24
8.,DU Digital,34.80,43.47,250.36,0.00,0.04,60.66,23.90,6.18,8.14
9.,Intl. Travel Hse,300.40,10.53,240.15,1.83,5.23,-31.45,57.03,-6.00,17.93
10.,Trade-Wings,635.85,79.82,190.76,0.00,2.96,-12.68,68.49,7.88,49.96
11.,LGT Business,48.39,9.88,45.35,0.00,0.90,-65.78,64.88,43.25,21.08
12.,Helloji Holidays,130.00,35.67,44.59,0.00,0.35,-78.40,14.97,-10.09,14.26
13.,TSC India,28.00,11.02,40.65,0.00,0.96,-73.91,12.81,-7.04,12.77
14.,Landmark Global,17.84,,36.77,0.00,-9.36,-220.15,2.71,-86.19,-8.35
15.,Travels & Rent.,15.12,10.62,32.29,0.00,1.56,-10.34,4.65,-10.23,24.13
16.,Yaan Enterprises,95.06,37.78,29.47,0.00,0.41,78.26,13.75,475.31,17.31
17.,Naturewings Hol.,80.80,18.55,28.76,1.86,0.30,-16.67,12.53,39.22,18.38
18.,Western Overseas,18.50,4.07,11.12,0.00,0.54,,4.94,,38.98
19.,Winny Immigratio,39.35,,8.54,0.00,-4.63,-75.38,0.46,-88.27,-98.17
