S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Redington,239.01,11.72,18685.19,2.51,287.58,61.68,33213.03,25.62,17.47
2.,MMTC,68.03,102.01,10204.50,0.00,126.04,1461.46,0.61,190.48,8.66
3.,MSTC,512.35,16.51,3606.94,7.90,77.22,-10.06,118.80,33.71,30.27
4.,BN Agrochem,291.00,82.78,2845.19,0.00,2.95,-84.68,261.36,22.02,4.38
5.,Vintage Coffee,149.07,30.08,2171.78,0.07,21.01,34.34,165.31,57.23,18.18
6.,RRP Defense,728.80,,999.83,0.00,-2.29,-354.44,7.09,32.03,-11.12
7.,Creative Newtech,630.65,13.47,947.03,0.08,17.79,29.57,740.81,83.17,18.75
8.,Yamuna Syndicate,29890.00,17.60,918.71,1.67,33.87,3.08,18.17,18.76,4.13
9.,SMT Engineering,428.80,33.57,774.84,0.00,12.06,466.20,74.10,268.84,25.22
10.,S T C,121.97,16.43,731.82,0.00,16.55,928.57,0.00,,
11.,Polo Queen Ind.,17.41,227.45,584.54,0.00,0.34,-46.03,21.31,49.75,2.48
12.,Riddhi Siddhi Gl,818.40,29.31,583.50,0.37,-32.74,-336.80,9.05,-67.70,2.74
13.,Oswal Agro Mills,42.52,,570.75,0.00,-45.61,-163.20,0.02,-99.98,2.03
14.,Filtron Engineer,89.05,136.29,565.61,0.00,2.87,28800.00,65.12,,11.31
15.,Shiv Aum Steels,334.00,61.06,454.25,0.00,4.38,154.65,153.00,1.22,8.20
16.,Kothari Products,70.94,19.76,423.42,0.00,-1.95,-118.99,316.59,42.08,2.63
17.,Veritas (India),157.40,21.42,421.99,0.03,-15.93,-1348.18,531.74,-32.23,1.48
18.,HP Telecom,280.00,13.09,333.61,0.00,17.65,140.46,1412.60,40.89,19.89
19.,Balgopal Commer.,155.25,,324.63,0.00,-11.11,-153.65,0.00,,-16.95
20.,Sakuma Exports,2.02,33.30,316.68,0.00,6.52,44.89,714.68,-2.32,1.74
21.,Vega Jewellers,61.95,7.93,315.21,0.00,16.52,,307.03,,
22.,Encompass Design,221.10,24.09,313.60,0.00,7.97,-16.19,39.96,1.73,25.62
23.,Omansh Enterpri.,175.80,,308.14,0.00,-1.90,-1280.00,0.00,,-38.74
24.,Integra Essentia,1.65,905.06,289.62,0.00,-2.54,-4980.00,134.15,34.23,1.86
25.,Bijoy Hans,57.99,,278.48,0.00,-0.63,-200.00,0.00,,-3.75
26.,Vikas Lifecare,1.48,,274.93,0.00,-29.28,-328.93,97.03,-17.67,0.24
27.,Rotographics (I),198.95,297.33,261.65,0.00,0.07,-68.18,8.45,943.21,12.71
28.,Sicagen India,55.91,12.10,221.24,1.79,4.46,12.34,277.91,10.49,5.95
29.,Chandrima Mercan,6.53,36.32,217.56,0.00,-2.20,-122.22,3.97,-54.68,4.73
30.,Aviva Industries,63.33,109.48,205.82,0.00,0.93,4750.00,64.98,216500.00,6.46
31.,Pervasive Comm.,2.28,,205.42,0.00,14.72,2553.33,32.83,151.76,0.03
32.,Spacenet Enterpr,3.56,12.58,202.11,0.28,4.48,1.75,45.26,16.86,9.93
33.,Northern Spirits,125.30,7.41,201.12,0.24,4.98,138.28,615.92,32.04,15.71
34.,Stratmont Indus.,70.03,76.17,199.57,0.14,0.00,-100.00,63.62,115.88,11.18
35.,Parshva Enterpr.,157.00,551.66,159.98,0.00,0.07,250.00,6.41,-6.56,3.41
36.,Metroglobal,128.99,9.91,159.10,1.55,8.45,-79.10,36.75,-15.63,7.18
37.,Rockingdeals Cir,190.35,15.59,157.97,0.00,4.87,127.57,64.79,90.17,20.44
38.,Rama Vision,149.00,24.01,155.35,0.00,1.36,151.85,42.26,42.63,19.80
39.,Vaxfab Enterp.,60.75,,154.72,0.00,-3.24,-150.55,15.66,-65.79,
40.,East India Drums,103.85,31.90,153.43,1.44,1.05,8.25,56.87,-14.11,34.98
41.,Signet Industrie,49.29,7.48,145.09,1.01,6.85,-7.56,390.61,7.07,13.70
42.,Maximus Interna.,10.55,15.50,143.52,0.00,2.20,7.84,56.00,24.78,12.61
43.,Dhoot Indl.Fin,221.50,7.78,139.94,0.68,4.16,126.82,4.17,19.83,5.00
44.,Lahoti Overseas,43.99,8.94,128.33,0.45,1.45,-66.12,88.46,-28.45,7.95
45.,Landsmill Green,0.88,132.06,124.14,0.00,0.29,115.18,0.00,-100.00,0.59
46.,Anik Industries,44.00,72.68,122.10,0.00,0.74,21.31,16.58,-43.28,0.86
47.,MRC Agrotech,34.57,82.05,108.30,0.00,1.02,73.68,68.35,220.59,3.83
48.,Confidence Fut.,42.17,16.72,105.51,0.59,6.38,-2.36,55.84,-17.89,3.28
49.,Newtime Infra.,1.99,,104.44,0.00,-3.62,-1267.74,0.95,0.00,-2.58
50.,Mehai Technology,1.36,13.69,100.78,0.00,3.17,322.67,58.77,39.73,6.69
51.,Hind.Appliances,98.95,,99.21,0.00,-0.14,-800.00,0.00,,-0.22
52.,Goyal Aluminiums,6.83,31.65,97.49,0.00,2.02,1162.50,28.51,80.90,10.14
53.,Amrapali Inds.,18.58,7.59,95.52,0.00,8.80,771.29,18015.20,453.79,20.56
54.,Lykis,45.73,13.69,88.60,0.00,1.95,382.61,145.40,136.65,10.99
55.,Cravatex,343.00,13.01,88.49,3.79,1.60,11.11,39.51,-34.72,7.91
56.,Sunrise Efficie.,45.39,8.76,86.97,0.00,4.73,-5.40,89.24,20.20,15.24
57.,Binny Mills,330.05,,85.26,0.00,-10.97,-280.90,4.07,138.01,
58.,Gautam Exim,138.00,386.55,85.04,0.00,0.02,-50.00,17.86,-15.28,5.56
59.,Uma Exports,25.09,100.99,84.83,0.00,0.37,106.93,263.93,-42.48,9.25
60.,Ashnisha Indus.,3.07,325.56,81.39,0.00,0.01,-90.00,5.51,429.81,0.25
61.,Fervent Synerg.,15.69,20.54,78.45,0.00,0.87,74.00,5.20,-3.70,7.21
62.,Variman Global,3.80,22.19,74.13,0.00,0.04,107.69,44.34,106.33,10.34
63.,Bombay Cycle,1618.70,26.54,64.75,0.31,0.47,172.31,3.91,55.16,9.46
64.,Kanel Indust.,40.87,,64.37,0.00,0.02,475.00,0.00,,-2.20
65.,Genpharmasec,1.13,39.11,62.57,0.00,1.36,555.56,55.43,295.65,2.58
66.,KSR Footwear,33.00,,60.65,0.00,5.07,210.22,60.29,9.04,-10.02
67.,Sharika Enterpr.,14.00,,60.62,0.00,-2.29,-151.34,21.01,20.89,-21.98
68.,Ganesha Ecoverse,24.50,,60.26,0.00,0.91,63.92,0.36,-86.91,-22.31
69.,Dhanlaxmi Cotex,120.80,735.62,58.85,0.00,-0.22,89.47,2.52,189.66,0.11
70.,Constronics,46.47,20.65,58.22,0.00,0.17,-83.33,7.15,-61.20,7.90
71.,Safa Systems,23.15,12.17,57.82,0.00,3.74,135.22,251.95,8.16,10.42
72.,Fortune Interntl,79.95,12.45,56.28,0.00,1.77,247.06,0.00,,-0.28
73.,Le Lavoir,158.80,24.58,55.07,0.00,0.49,81.48,1.41,193.75,16.15
74.,Eforu Entertainment,89.93,61.80,53.77,0.00,-0.01,-104.55,0.00,-100.00,12.51
75.,Chandni Machines,73.69,30.69,51.87,0.00,1.85,4525.00,0.00,-100.00,21.40
76.,Callista Indus.,170.00,,51.79,0.00,0.56,191.80,0.00,,0.00
77.,Growington Vent,0.78,10.84,50.09,0.00,0.53,265.62,63.36,73.92,12.07
78.,IFL Enterprises,0.40,,49.80,0.00,-9.19,-453.46,29.17,45.78,-3.31
79.,Roni Households,42.01,,48.28,0.00,-0.52,-182.54,1.40,-66.98,-2.34
80.,Minal Industries,2.45,67.17,47.02,0.00,1.63,-58.62,15.18,-20.77,1.42
81.,Sita Enterprises,153.05,10.16,45.92,0.00,-0.11,-117.74,0.07,-88.71,29.59
82.,Bombay Metrics,37.00,29.39,45.56,0.54,0.63,-77.66,45.19,-13.25,10.53
83.,Danube Industrie,4.64,31.04,42.22,0.00,0.26,-56.67,33.51,-10.02,7.44
84.,A B M Internatl.,42.95,,40.41,0.00,1.69,196.57,14.37,-18.68,-8.50
85.,Khyati Global,57.59,6.49,40.19,0.00,3.31,58.37,84.08,37.39,16.23
86.,Rose Merc.,63.57,6.96,39.52,0.19,5.10,382.61,27.54,-62.98,21.74
87.,Chandra Pr. Intl,13.50,76.41,37.44,0.00,5.99,5000.00,164.27,-45.32,4.49
88.,Jyotirgamya Ent.,161.85,,37.23,0.00,-0.03,,0.00,,-1.21
89.,Sunil Industries,87.25,7.97,36.65,0.00,0.58,-47.27,59.85,88.68,11.41
90.,Contil India,23.24,15.70,35.96,0.00,0.45,2.27,7.16,0.70,23.97
91.,AKG Exim,11.21,98.94,35.62,0.00,0.07,-74.07,16.39,-44.55,1.99
92.,Kaiser Corporat.,6.59,,34.68,0.00,0.80,73.08,3.10,-40.38,-0.65
93.,Phoenix Overseas,17.75,10.01,34.34,3.38,4.65,36.87,371.95,29.69,6.38
94.,Nirav Commercial,858.30,371.89,33.47,0.00,0.61,80.00,6.31,67.82,0.93
95.,Kabsons Industri,18.95,31.82,33.09,0.00,-0.62,-4600.00,11.24,10.41,9.28
96.,Franklin Indust.,0.40,,30.85,0.00,-11.06,-218.73,6.37,-93.03,-23.39
97.,AA Plus Trade,1.25,67.58,30.41,0.00,0.17,-69.64,1.98,-73.81,1.55
98.,Gini Silk Mills,53.55,18.84,29.95,0.00,0.23,-30.30,10.25,-7.07,4.03
99.,Newtrac Foods,4.44,,29.84,0.00,-6.17,-3729.41,2.95,-84.11,-69.48
100.,Remedium Life,0.33,13.67,29.11,0.00,8.62,,111.06,,
101.,Prismx Global,0.64,4.58,28.10,0.00,2.21,204.25,0.37,-37.29,4.38
102.,Pulsar Intl.,0.63,269.90,26.99,0.00,-3.77,-756.82,73.68,747.87,0.47
103.,Shreenath Paper,13.40,9.21,26.34,0.00,2.08,8.90,59.28,18.94,8.97
104.,Salora Intl.,29.11,,25.65,0.00,-2.87,-133.33,11.12,-78.91,-1.13
105.,Lesha Industries,0.89,180.86,25.32,0.00,-0.04,-116.67,3.53,451.56,0.28
106.,Asian Tea & Exp,10.03,43.89,25.02,0.00,-0.36,68.70,25.04,1.17,2.04
107.,Medico Intercon.,25.00,,25.00,0.00,-2.33,-155.56,22.49,6.29,-1.43
108.,NMS Global,80.23,33.54,24.15,0.00,0.16,-23.81,35.51,829.58,24.35
109.,Sarthak Industri,25.56,6.82,23.75,0.00,1.60,131.88,97.11,-5.78,11.20
110.,Ramgopal Polytex,16.11,,23.36,0.00,-0.12,-100.00,0.22,450.00,-9.13
111.,Neeraj Paper Mkt,21.00,45.29,23.10,0.00,0.21,275.00,42.26,-2.18,3.72
112.,LWS Knitwear,15.50,9.53,22.68,0.00,0.96,-15.04,32.57,-33.99,11.25
113.,Zinema Media,18.55,44.06,22.47,0.27,0.30,25.00,3.32,906.06,4.59
114.,Mah. Corporation,0.36,,22.35,0.00,-0.02,97.30,0.00,,-0.58
115.,Dalmia Industria,10.25,345.83,20.75,0.00,0.00,-100.00,1.77,-44.51,3.08
116.,O.P Chains,29.75,19.79,20.38,0.00,1.11,-60.22,1.93,-76.41,3.71
117.,SBEC Systems,20.36,13.48,20.36,0.00,1.77,24.65,0.99,-4.81,19.92
118.,Regent Enterp.,5.91,5.39,19.77,0.00,-3.16,-12.03,271.93,37.05,10.90
119.,Hemang Resources,14.25,,18.81,0.00,-0.56,-172.73,6.84,-9.16,-2.03
120.,Shyam Telecom,16.47,,18.56,0.00,-0.36,33.33,0.00,,
121.,Continental Seed,13.20,18.04,18.40,0.00,0.81,41.38,40.95,-13.28,5.05
122.,Chambal Brewer,24.08,,18.04,0.00,-0.05,-25.00,0.00,,-18.54
123.,Neelkanth,41.21,71.88,17.97,0.00,-0.17,-173.91,0.00,-100.00,5.05
