S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Uniphos Enter.,105.24,35.34,731.94,0.48,-0.70,55.70,26.14,-64.14,0.80
2.,Vinyl Chemicals,249.60,36.35,457.69,2.80,4.65,-36.04,179.84,4.03,14.86
3.,A-1,8.15,62.59,374.90,0.46,4.36,419.05,145.27,32.52,11.66
4.,Evexia Lifecare,1.88,217.86,352.94,0.00,0.78,151.61,36.79,55.82,
5.,Bhavik Enterpris,163.00,24.47,331.84,0.00,9.30,1181.40,334.16,22.18,14.27
6.,Shiv Texchem,129.25,3.85,299.50,0.00,34.87,26.85,1273.08,8.72,15.30
7.,Dhariwalcorp,30.90,33.82,290.50,0.00,,,,,
8.,Shankar Lal Ram.,38.62,18.31,247.04,0.13,4.80,90.48,139.30,30.49,14.01
9.,Aureate Tradde,66.50,33.60,86.36,0.00,1.49,,26.15,,16.04
10.,Mysore Petro,102.94,83.67,67.77,1.94,3.02,33.63,21.59,190.19,0.38
11.,Yash Chemex,53.70,27.23,55.01,0.00,-0.44,-150.00,40.97,36.84,6.44
12.,Laffans Petroch,28.60,55.80,22.88,0.00,-3.26,-33.61,1.89,46.51,0.40
13.,Citichem India,17.20,11.70,11.70,0.00,0.32,-71.17,4.68,-91.12,7.18
14.,CHD Chemicals,5.81,,5.87,0.00,-0.02,-128.57,1.53,6.25,-0.36
15.,Patron Exim,2.31,,5.35,0.00,-1.10,-443.75,0.49,-97.99,-2.71
