S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Lloyds Enterpris,66.86,35.18,10049.36,0.15,68.52,318.23,719.64,47.07,10.57
2.,SG Mart,575.35,65.29,7251.44,0.00,41.47,25.14,1822.84,14.28,10.24
3.,Mangalam World.,378.80,22.46,1125.06,0.05,15.37,131.83,264.95,-18.24,17.63
4.,BMW Ventures,61.79,14.30,535.81,2.43,10.85,-1.00,728.63,24.58,11.95
5.,Nupur Recyclers,70.62,34.30,487.77,0.00,3.34,34.47,57.32,54.00,15.12
6.,ABans Enterprise,27.79,48.95,193.83,0.00,-7.95,-285.75,6510.40,229.83,4.98
7.,Emergent Indust.,394.90,142.10,180.47,0.00,1.33,223.15,180.97,284.55,11.36
8.,La Tim Metal & I,8.43,13.99,110.12,0.00,2.42,143.21,123.45,76.53,14.73
9.,Ashoka Metcast,15.20,3.52,37.99,0.00,2.22,311.11,10.35,59.48,9.39
10.,RR Metalmakers,37.89,,34.13,0.00,2.21,63.64,30.04,1801.27,2.05
11.,Chennai Ferrous,89.05,9.50,32.10,0.00,1.98,942.11,5.85,-89.79,3.67
