S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,PDS,320.20,40.55,4528.98,1.03,72.10,21.71,3519.03,-0.19,11.59
2.,Bhilwara Tech,35.23,,205.65,0.00,-10.29,-594.71,7.76,413.91,-6.24
3.,Aarnav Fashions,24.99,11.29,105.55,0.00,3.23,229.59,132.70,45.11,7.63
4.,Anand Rayons,41.42,12.27,88.93,0.00,2.55,13.33,118.10,37.57,10.41
5.,SPL Industries,30.50,12.53,88.45,0.00,3.96,34.69,23.28,-24.22,3.68
6.,Vivaa Tradecom,52.95,23.69,20.85,0.00,0.04,-48.08,156.70,23.63,5.18
7.,Sanblue Corp.,32.66,85.95,16.33,0.00,-0.07,-250.00,0.86,-48.50,0.41
8.,Heads UP Venture,7.24,,15.99,0.00,-3.11,-382.73,2.80,120.47,1.57
9.,Globale Tessile,12.65,,13.43,0.00,-0.41,56.38,8.06,1289.66,-3.65
10.,Nivaka Fashions,0.81,,8.32,0.00,-3.61,-1604.17,0.04,-97.01,-59.20
11.,Svarnim Trade Ud,9.23,,2.24,0.00,-0.01,88.89,0.00,,
